"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Estonia,,,,,,,,,,,,,,7473.369,7682.249,8172.161,8862.958,10309.283,10982.761,11057.561,12388.723,13514.167,14747.265,16283.183,17964.999,20409.931,23230.942,25784.404,24997.169,21518.511,22360.388,24557.244,25996.085,27464.524,28927.856,29183.777,31309.606,33903.126,36022.422,38028.514,37277.289,42049.691,44778.397,47151.825,50177.66,53092.468,55979.735,59043.503
Eswatini,1812.569,2059.743,2155.969,2163.296,2223.516,2254.32,2618.355,2826.349,3014.261,3293.838,3628.05,3711.296,3829.028,3961.761,4064.546,4263.318,4411.664,4524.689,4650.399,4809.627,4958.731,5076.825,5332.763,5598.029,5903.326,6396.461,6927.522,7365.564,7513.318,7624.232,7951.053,8239.445,8450.022,8901.07,8997.305,9023.533,8932.236,8650.839,8978.669,9286.172,9126.51,9701.113,10411.31,10802.239,11181.204,11550.883,11916.574,12298.357
Ethiopia,305.828,326.878,340.688,370.105,362.7,320.91,347.759,392.976,396.181,396.63,408.348,378.641,340.966,382.589,391.396,411.017,461.252,468.968,442.052,463.803,507.238,540.823,542.972,510.742,570.968,646.269,724.001,810.241,903.805,984.8,1084.922,1214.286,1314.853,1408.012,1680.731,1861.838,2134.42,2321.437,2519.662,2752.474,2907.85,3136.89,3407.212,3651.677,3917.041,4201.45,4510.912,4844.502
Fiji,2696.421,3054.202,3125.678,3034.169,3388.568,3311.724,3568.247,3379.994,3616.152,4196.126,4568.55,4558.723,4907.715,5114.009,5446.684,5661.183,5995.022,5908.925,6009.595,6577.187,6564.987,6792.294,7069.145,7215.907,7755.899,7841.087,8180.616,8269.852,8471.759,8366.43,8679.436,9055.823,9659.87,10378.816,11357.905,12400.559,12563.271,13316.586,14076.463,14185.79,12114.347,12047.89,13598.407,14997.085,16265.237,17249.144,18080.51,18963.608
Finland,9544.559,10546.266,11485.188,12232.426,13005.563,13823.494,14436.376,15273.385,16592.257,18062.426,18702.407,18109.101,17802.846,18011.08,19038.621,20174.673,21222.255,22886.373,24335.71,25698.026,27734.811,29044.568,29921.192,31055.02,33076.303,34948.852,37342.944,40220.933,41130.214,37866.982,39357.495,41015.786,40969.209,41587.16,41835.88,42569.551,44995.383,47621.51,49227.952,50676.29,50040.674,53757.297,58009.643,60771.684,63139.439,65296.954,67456.412,69701.251
France,10756.341,11838.317,12799.007,13396.529,14049.135,14656.079,15218.117,15925.839,17152.008,18520.988,19689.33,20452.298,21127.891,21410.345,22303.012,23203.359,23880.457,24773.586,25877.38,27010.631,28575.677,29600.565,30185.371,30825.781,32254.737,33584.769,35277.699,36871.46,37415.903,36413.312,37349.042,38789.621,39036.959,40951.508,41576.105,42289.109,44421.744,46369.701,48198.438,49768.901,46212.623,51363.756,56036.192,58336.765,60524.937,62484.102,64430.019,66450.302
Gabon,8862.348,9112.298,9855.253,10221.209,10869.893,11608.586,11344.068,9622.758,10088.801,11841.718,12639.335,13433.615,12912.136,13414.613,13863.262,14495.551,14922.997,15659.911,15987.253,14402.544,14098.997,14367.361,14261.98,14430.088,14617.921,14592.946,14396.289,15263.753,15246.606,14445.667,14967.238,15762.728,15487.112,15234.598,15499.573,14834.214,14490.228,15302.638,15585.924,16266.792,15946.595,16550.351,17848.286,18778.448,19706.826,20641.316,21611.667,22633.92
"Gambia, The",1204.524,1123.555,1389.234,1575.772,1448.977,1488.463,1493.251,1511.225,1528.63,1592.26,1677.332,1701.961,1701.838,1708.898,1629.628,1667.067,1696.041,1673.84,1747.967,1828.416,1912.396,2003.556,1906.766,2012.618,2143.362,2092.571,2080.855,2137.126,2246.639,2341.083,2435.158,2215.751,2199.788,2121.486,2027.031,2066.859,2068.743,2072.652,2209.621,2319.227,2274.094,2428.329,2645.763,2809.786,2976.613,3120.768,3243.791,3372.238
Georgia,,,,,,,,,,,,4141.626,2328.022,1723.246,1710.051,1862.162,2172.846,2533.101,2715.404,2894.76,3073.934,3358.934,3639.661,4148.422,4538.774,5157.117,5860.415,6802.66,7147.116,6964.009,7541.57,8322.29,9798.666,10609.666,11583.412,12100.141,12854.714,13595.578,14581.958,15607.868,14754.232,16906.103,18593.588,20326.035,21983.193,23683.068,25497.123,27459.426
Germany,11130.439,12173.96,12833.471,13590.761,14537.938,15364.316,16041.525,16676.829,17801.43,19033.21,20482.879,21951.892,22733.408,22917.878,23909.522,24737.972,25347.081,26230.334,27082.759,27990.735,29443.663,30592.077,30983.282,31384.058,32645.21,33963.145,36419.387,38605.05,39835.345,37939.093,40100.837,42541.246,43359.405,44993.667,47011.138,47622.332,50574.527,53373.757,55076.88,56523.391,54551.092,58377.571,63271.125,66893.392,69538.517,71959.106,74301.531,76687.007
Ghana,1201.274,1235.886,1174.813,1117.539,1184.541,1272.077,1347.281,1439.315,1550.292,1645.525,1727.486,1827.478,1906.812,1996.729,2060.567,2140.126,2227.92,2339.389,2423.576,2506.229,2463.97,2550.458,2643.605,2765.802,2923.363,3126.811,3331.414,3479.478,3779.064,3930.913,4071.218,4622.698,5152.343,5320.559,5595.442,5232.689,5020.65,5148.048,5481.368,5821.649,5798.889,6194.166,6753.84,7130.265,7503.343,7867.828,8143.25,8704.028
Greece,8784.908,9352.568,9760.833,9969.045,10481.746,11031.955,11278.359,11255.517,12115.005,13013.504,13416.81,14089.47,14378.795,14395.599,14912.906,15477.281,16131.615,17079.577,17837.178,18549.731,19662.591,20819.64,21868.065,23532.417,25329.97,26210.057,28455.749,30095.92,30501.345,29287.132,27953.502,25628.806,24818.16,25895.898,26541.279,26676.002,27489.176,28518.16,29761.277,30887.691,28456.558,32218.225,35596.048,37760.209,39626.68,41255.687,42831.874,44388.795
Grenada,2157.924,2352.854,2530.413,2634.461,2767.044,2980.632,3256.887,3668.011,3959.839,4322.383,4703.614,4925.039,4960.395,4924.251,5064.583,5234.741,5524.89,5863.681,6600.239,7132.126,7632.576,7616.552,7970.754,8865.889,9015.231,10500.682,10364.74,11270.37,11565.21,10835.701,10864.686,11116.743,11163.804,11887.335,13042.04,14151.894,15025.684,16217.5,17239.715,17579.609,15273.452,16704.903,18292.718,19412.315,20561.433,21598.332,22594.615,23568.871
Guatemala,2660.195,2857.948,2854.481,2819.281,2862.592,2861.941,2849.447,2949.156,3093.679,3260.316,3403.694,3540.501,3699.869,3825.644,3951.246,4116.029,4212.36,4361.954,4512.069,4639.228,4752.943,4862.183,5027.881,5138.536,5307.257,5512.623,5864.735,6246.15,6454.862,6395.815,6511.405,6794.298,7017.665,7183.099,7457.902,7849.062,7847.231,7912.491,8203.742,8500.462,8303.264,9153.979,9911.389,10366.976,10779.142,11158.219,11541.373,11939.869
Guinea,,,,,,,,,,,930.498,934.514,931.026,944.825,953.134,976.663,1005.86,1050.054,1079.651,1117.612,1152.089,1200.656,1261.025,1279.503,1319.503,1372.879,1417.619,1512.455,1563.64,1508.719,1549.891,1628.172,1615.263,1679.881,1670.741,1684.808,1928.285,2249.555,2389.998,2507.425,2633.638,2789.04,3029.433,3221.662,3422.663,3581.617,3745.355,3916.825
Guinea-Bissau,561.764,599.267,649.383,638.461,683.534,720.34,712.533,756.298,782.679,820.601,872.631,946.553,975.94,999.198,1027.667,1067.536,1103.398,1164.127,893.504,1036.013,1048.563,1099.929,1133.657,1128.591,1147.819,1234.764,1278.985,1318.296,1373.829,1384.955,1469.031,1585.903,1512.939,1530.465,1575.757,1873.62,1976.07,2253.422,2333.396,2428.591,2441.023,2581.044,2783.968,2934.124,3090.847,3244.272,3403.973,3572.086
Guyana,2468.501,2711.747,2625.151,2421.451,2574.708,2682.382,2751.325,2841.545,2790.769,2790.985,2831.683,3112.505,3429.448,3789.161,4180.924,4459.694,4882.496,5245.114,5192.387,5400.772,5434.136,5673.273,5828.364,5909.178,6165.956,6233.012,6741.1,7389.447,7659.48,7932.573,8356.558,8958.292,10443.668,10998.334,10942.789,11204.623,11268.43,11964.644,12723.087,13603.114,19693.818,24526.357,38258.272,52838.692,55892.499,58985.141,62200.878,65616.396
Haiti,1685.625,1831.476,1856.936,1867.148,1904.127,1944.133,1953.427,1957.724,2014.17,2028.17,2052.609,2109.693,2068.705,1972.855,1743.469,1919.356,1997.837,2049.094,2079.306,2127.677,2157.278,2162.138,2183.636,2268.201,2262.437,2366.831,2442.764,2583.934,2659.277,2787.896,2619.203,2765.212,2719.388,2902.474,2911.207,2841.174,3017.761,3079.714,3159.028,3115.976,3005.202,3031.76,3188.932,3286.608,3376.152,3457.603,3538.149,3621.192
Honduras,1392.118,1513.965,1537.487,1535.321,1609.945,1678.366,1674.305,1766.201,1857.048,1956.613,1974.526,2048.456,2151.335,2274.588,2229.036,2302.218,2359.736,2449.055,2476.906,2424.441,2588.382,2647.342,2718.14,2825.627,3007.549,3211.922,3447.439,3675.819,3820.484,3673.299,3778.879,3928.268,4032.581,4142.24,4452.583,4823.389,5146.017,5557.931,5807.485,5963.447,5399.403,6217.552,6740.374,7064.388,7372.25,7670.013,7988.709,8322.071
Hong Kong SAR,7130.724,8325.427,8956.705,9701.29,10892.082,11173.806,12515.916,14415.058,16032.843,16877.591,18099.32,19563.077,20995.387,22405.646,23784.528,24262.172,24975.456,26496.476,24962.978,25737.426,28025.56,28737.196,29688.406,31022.533,34456.073,37938.299,41456.163,45106.192,46777.468,45706.254,48995.997,51998.781,52082.354,53453.568,54604.905,56266.944,56903.213,59667.887,62220.799,61999.387,59411.173,66061.999,70448.012,75911.632,79666.016,83078.193,86546.524,90255.336
Hungary,6325.544,7125.125,7788.149,8169.413,8714.796,9002.824,9359.456,10027.596,10419.126,10952.123,11013.707,10033.762,9947.49,10132.992,10669.916,11184.852,11416.716,12001.855,12636.049,13242.403,14191.918,15135.446,16139.7,17186.229,18544.4,19975.093,21466.143,22123.797,22834.316,21470.985,22010.205,22966.957,23179.062,24459.302,25615.216,26749.404,27899.395,29837.955,32253.937,34343.64,33144.139,37128.209,40944.278,43724.074,46452.133,48986.162,51416.703,53872.16
Iceland,10927.449,12342.043,13222.388,13253.098,14125.774,14915.255,16063.041,17724.065,18080.514,18512.219,19286.729,19732.59,19211.457,19723.162,20660.544,20966.967,22244.382,23764.002,25563.4,26641.08,28260.768,29599.873,29890.375,30928.786,33989.668,36821.517,39505.817,42890.986,43576.459,39999.095,39548.369,41009.124,42154.444,44672.803,46239.206,49470.734,53942.986,56944.804,59382.762,60428.295,55717.377,59791.508,64621.199,67116.752,69357.826,72485.979,75717.883,79173.464
India,532.041,603.174,647.45,705.288,741.444,787.088,822.81,857.659,952.714,1027.048,1101.341,1127.389,1192.176,1253.46,1339.205,1442.897,1550.58,1610.8,1698.141,1834.385,1916.328,2021.142,2097.116,2270.579,2474.24,2745.053,3044.484,3381.8,3528.685,3798.485,4181.701,4493.67,4861.155,5057.233,5233.883,5464.858,5839.865,6182.921,6669.609,6965.526,6531.969,7340.903,8358.299,9118.349,9906.418,10727.06,11554.938,12408.7
Indonesia,1286.254,1485.642,1581.614,1679.27,1835.381,1929.229,2068.66,2215.353,2405.977,2674.603,2965.851,3285.429,3521.089,3827.829,4135.786,4495.053,4878.87,5136.919,4461.311,4507.902,4784.29,4999.028,5230.78,5510.422,5859.445,6297.401,6752.526,7271.341,7850.32,8155.793,8656.769,9213.212,9833.69,10188.332,10398.96,10359.28,10618.699,11073.521,11798.04,12481.915,12220.747,13099.366,14534.953,15722.563,16883.948,18002.089,19158.293,20379.16
Iran,5750.754,5713.022,7190.848,7988.833,7397.358,7481.529,6626.638,6616.014,6278.205,6758.102,7772.853,8840.042,9204.675,9149.848,9053.818,9328.703,9956.77,10094.614,10247.239,10423.672,11095.483,11424.376,12350.826,13476.366,14220.642,14906.511,15881.632,17425.993,17582.977,17646.784,18649.494,19282.626,17040.699,16253.935,16003.413,14231.155,15180.46,15737.322,15571.022,15467.024,15763.677,16908.217,18332.261,19073.43,19740.7,20349.345,20959.984,21592.908
Iraq,,,,,,,,,,,,,,,,,,,,,,,,6265.087,9603.557,9811.863,10423.334,10650.44,11472.698,11646.194,12217.104,13075.221,14843.033,15414.282,14027.484,10493.948,9592.605,10916.391,11400.589,11967.716,9951.455,10702.109,12141.299,12886.219,13216.39,13487.533,13753.314,14029.724
Ireland,7370.98,8169.179,8711.001,8924.546,9475.353,9934.354,10175.617,10788.964,11555.753,12759.728,14272.951,14913.234,15671.068,16323.692,17596.912,19605.17,21630.303,24113.977,26243.233,29084.046,32071.507,33999.66,35940.639,37142.364,39947.943,42525.345,44732.874,47029.052,45061.1,42741.535,43812.401,45036.118,46308.272,47761.217,50992.452,68872.135,71251.863,77782.489,85759.361,90405.341,96021.314,112463.438,124595.726,133530.074,141054.709,146937.405,152957.795,159262.944
Israel,7045.063,8018.368,8482.834,8854.892,9257.774,9801.422,10195.311,11049.845,11653.003,12073.892,12949.57,13188.132,13954.008,14441.652,15387.424,16769.439,17658.991,18214.166,18730.015,19189.328,20796.32,20789.147,20653.979,20919.964,22143.008,23372.428,25034.543,26806.535,27761.483,27595.847,28977.668,30647.158,31859.604,34339.102,34381.4,35482.434,37864.232,39206.06,40943.754,42429.056,41271.022,45750.26,50204.428,52657.327,54931.156,57073.197,59259.643,61543.81
Italy,10895.763,11973.705,12723.27,13334.619,14231.603,15060.229,15777.148,16664.216,17942.199,19238.696,20338.127,21309.837,21941.87,22255.397,23193.637,24314.384,25073.355,25957.803,26712.1,27526.584,29208.858,30429.865,30964.896,31513.058,32577.191,33621.261,35131.254,36478.426,36513.876,34561.925,35415.855,36250.623,36143.031,36288.529,36460.725,37175.638,40230.666,42111.532,43610.309,44702.85,41279.093,46161.424,50215.801,52618.986,54614.973,56392.029,58096.844,59571.486
Jamaica,2911.31,3269.024,3518.077,3732.957,3895.642,3923.146,4244.133,4650.162,4594.835,4989.694,5334.911,5524.915,5764.552,5982.046,6170.044,6399.981,6471.605,6412.696,6344.004,6434.41,6570.562,6745.267,6857.061,7222.765,7487.892,7763.926,8206.286,8519.509,8581.398,8312.528,8262.666,8531.299,8586.347,8895.191,9046.918,9346.692,9817.681,10286.743,10704.923,10989.634,9993.06,10850.089,11802.098,12546.554,13055.201,13553.603,14058.439,14550.296
Japan,9147.008,10358.115,11283.019,12054.507,12967.145,13989.796,14667.893,15666.266,17246.018,18719.64,20302.679,21620.806,22222.411,22558.217,23177.43,24224.047,25385.035,26014.089,25903.288,26131.265,27409.192,28068.309,28457.733,29410.86,30836.406,32372.671,33831.081,35257.877,35512.156,33742.464,35535.215,36215.055,37628.757,39436.811,39604.122,40959.265,40640.541,41408.954,42730.293,43484.553,42153.518,44738.55,48813.674,51670.129,53617.444,55364.475,57004.07,58681.721
Jordan,3513.281,4278.777,4597.272,4595.29,4823.067,4721.072,4885.331,4951.525,5032.45,4441.568,4439.261,4457.949,4883.051,4880.872,4988.809,5210.526,5178.712,5362.117,5491.671,5626.514,5893.248,6203.427,6614.1,6858.376,7414.784,8024.251,8666.674,9207.463,9574.607,9625.618,9461.326,9402.616,9189.189,9322.302,9181.046,9464.682,9445.917,10003.452,10252.425,10496.262,10353.98,10933.014,11861.124,12581.929,13306.054,14001.178,14697.739,15408.48
Kazakhstan,,,,,,,,,,,,,7052.109,6612.612,6315.295,5965.897,6182.5,6519.152,6567.988,6865.02,7727.254,8976.739,9999.424,11082.192,12369.714,13862.453,15636.772,17292.612,17737.805,17819.353,19070.565,20634.01,21878.292,24325.778,24545.57,23057.072,23653.798,24699.302,25985.047,27289.973,26550.957,28386.904,30502.019,32411.969,34306.346,36129.95,37582.399,39119.28
Kenya,1116.508,1226.478,1320.096,1345.862,1369.786,1423.464,1505.219,1574.953,1671.305,1756.545,1845.854,1874.206,1839.487,1826.655,1858.904,1924.908,1979.364,1969.353,1991.9,1999.655,1996.404,2066.564,2054.629,2096.303,2190.734,2323.854,2470.033,2634.647,2618.071,2658.213,2839.172,2977.165,3107,3405.896,3698.162,4072.47,4352.514,4649.975,4910.093,5125.633,5054.965,5519.978,6061.415,6429.271,6794.429,7154.797,7529.313,7924.419
Kiribati,898.211,972.371,1026.755,1023.719,1068.572,1032.084,1038.543,1041.111,1145.054,1124.38,1126.368,1145.48,1169.828,1194.995,1226.423,1234.21,1252.015,1277.839,1357.55,1329.298,1415.869,1403.318,1456.807,1489.233,1476.734,1566.93,1579.88,1618.035,1578.13,1566.607,1537.185,1569.262,1655.057,1729.282,1718.412,1880.35,1863.203,1866.98,1983.057,1977.494,1959.75,2035.421,2148.421,2236.181,2311.503,2372.404,2430.194,2487.422
"Korea, Republic of",2169.382,2507.264,2839.934,3296.932,3730.047,4108.97,4620.321,5284.697,6067.205,6684.637,7545.09,8555.88,9197.225,9961.025,11005.478,12193.246,13269.236,14197.182,13522.58,15177.331,16786.579,17860.116,19427.096,20328.384,21872.123,23480.115,25345.381,27401.178,28550.45,28812.526,30988.282,32546.752,33557.124,34244.314,35324.502,37907.502,39567.018,41001.069,42996.2,44658.786,44750.008,48577.784,53050.733,56326.58,59272.276,62034.891,64814.529,67676.791
Kosovo,,,,,,,,,,,,,,,,,,,,,5004.96,5350.723,5271.991,5419.652,5276.633,5617.872,5915.291,6488.291,6650.397,6918.384,7233.829,7828.578,8001.615,8371.768,8686.965,9444.731,9974.216,10392.703,11019.805,11839.605,11297.157,12833.168,13964.446,14885.079,15813.554,16700.303,17571.604,18473.678
Kuwait,33597.576,28526.6,26220.495,27415.09,29257.643,27197.787,28448.443,29866.51,26421.753,32922.236,24841.122,23727.489,42490.008,56395.344,50597.001,49036.789,47108.63,46473.96,47384.339,47523.217,51747.078,50913.244,50826.559,57787.244,60784.941,63527.654,66170.684,67440.608,69574.732,64261.196,61769.866,66969.827,72735.933,70727.47,64038.479,43308.023,40844.217,46479.559,46813.02,45851.592,43251.991,45008.707,50919.23,52939.464,54766.298,56419.615,58084.912,59812.727
Kyrgyz Republic,,,,,,,,,,,,,2072.701,1815.125,1480.179,1422.98,1527.748,1684.345,1713.373,1773.206,1885.199,2010.732,2022.775,2187.821,2375.958,2416.269,2541.845,2802.026,3047.649,3120.867,3102.849,3319.628,3654.196,4083.205,4325.505,4259.042,4727.851,5094.365,5295.987,5522.188,5006.768,5298.161,5561.818,5898.025,6166.55,6416.38,6674.698,6935.899
Lao P.D.R.,540.576,669.619,727.755,759.375,815.308,893.198,929.004,916.744,903.201,1002.726,1069.404,1116.781,1187.43,1251.27,1345.835,1434.524,1525.427,1623.061,1680.197,1741.783,1864.29,1965.553,2099.626,2239.371,2427.5,2635.722,2912.522,3172.431,3427.56,3642.422,3917.707,4251.551,4841.645,5289.478,5873.749,6168.459,6843.566,7255.169,7774.383,8156.891,8099.419,8488.818,9183.638,9661.795,10140.065,10623.677,11146.909,11719.367
Latvia,,,,,,,,,,,,,5996.688,5455.352,5783.787,6075.161,6426.301,7186.427,7804.777,8205.914,8933.405,9829.66,10839.721,12097.064,13585.688,15697.893,18296.219,20837.042,20707.617,18110.366,17858.125,19110.292,21181.265,22514.025,23724.25,24871.739,26591.254,28571.465,30668.559,32232.869,31594.068,34707.314,37329.794,39433.294,42050.813,44423.702,46865.278,49452.597
Lebanon,6344.871,6968.86,4656.024,5901.079,8780.029,11199.478,10615.588,12664.251,9353.769,5532.889,4833.775,6625.705,6725.795,6981.332,7347.148,7705.193,7977.101,8824.787,9184.071,9105.24,9181.194,9391.905,9411.679,9302.026,9861.373,9959.801,10292.557,11536.658,12831.04,14092.015,14963.249,14669.381,14819.533,14976.818,15029.25,15105.874,15535.425,16043.033,16052.292,15178.331,12034.901,,,,,,,
Lesotho,484.743,532.855,582.224,607.379,668.82,696.398,721.294,721.157,783.128,834.681,886.022,946.466,989.195,1026.717,1073.08,1071.665,1154.24,1214.097,1244.046,1280.653,1372.837,1448.64,1493.261,1583.506,1663.72,1767.933,1901.53,2036.678,2139.342,2146.356,2267.63,2415.582,2454.056,2748.731,2992.192,3210.948,3101.369,2752.736,2791.771,2822.672,2667.788,2803.375,3033.984,3136.865,3241.806,3342.572,3389.982,3420.036
Liberia,,,,,,,,,,,,,,,,,,,,,976.388,989.359,1024.726,729.471,764.043,812.456,877.703,979.748,1016.094,1033.778,1074.156,1145.498,1241.108,1432.636,1466.609,1359.019,1480.848,1655.355,1672.953,1618.619,1550.241,1641.525,1779.365,1887.023,1993.22,2097.181,2205.683,2321.126
Libya,36260.863,30339.858,31230.381,29677.305,27026.184,28205.856,24552.421,20580.274,20316.14,21648.796,24724.75,28884.519,28097.064,27073.529,27641.281,24201.877,24823.538,24690.16,24427.021,24494.643,25520.512,25245.279,25012.45,28400.591,29966.438,34080.035,36757.766,39524.517,32421.866,31229.728,32171.3,11167.411,23665.799,15877.89,8573.419,7671.709,7996.689,10708.893,12797.287,14598.22,5892.355,16847.819,18345.135,19529.377,20686.99,21741.797,22768.285,23815.324
Lithuania,,,,,,,,,,,,,,,,6855.441,7402.812,8216.517,8995.316,9082.166,9699.173,10652.224,11641.647,13232.851,14644.287,16538.602,18607.506,21486.784,22703.695,19675.853,20670.176,22884.952,24703.756,26721.624,28184.346,28842.243,30922.135,33826.612,36363,38809.063,39214.232,42943.84,46479.454,49114.854,51901.177,54497.783,57070.381,59680.19
Luxembourg,15914.8,17506.595,18766.14,19868.915,21541.979,23421.904,26157.531,27683.179,30818.913,34820.929,37617.432,41683.982,42823.32,45037.081,47070.808,48517.807,49435.921,52596.77,55944.2,60746.903,66404.079,69126.573,71644.131,74261.255,78317.41,81653.081,87742.523,95958.788,95969.648,91618.939,94565.385,95675.91,97758.245,102112.957,106567.988,109162.471,114487.597,116621.016,119506.21,123205.417,120085.786,131874.615,140693.962,145943.781,151837.526,156611.486,161506.593,166569.415
Macao SAR,,,,,,,,,,,,,,,,,,,,,,36017.263,39457.042,44299.191,55615.874,59221.919,65294.031,73246.238,75622.512,78086.395,97052.189,119402.985,129875.833,145946.787,141806.572,108260.128,109178.17,120248.881,128272.154,125002.3,57881.626,71122.609,85611.62,106910.518,127703.185,141393.331,149977.991,157281.64
Madagascar,1013.795,974.552,988.996,1010.492,1037.754,1054.002,1066.047,1073.953,1116.487,1172.225,1211.64,1139.801,1145.165,1161.595,1150.413,1158.016,1167.6,1193.389,1215.059,1250.092,1294.374,1360.062,1173.488,1274.659,1337.144,1402.614,1480.077,1561.134,1650.075,1550.184,1535.059,1548.329,1530.939,1535.496,1555.829,1546.837,1607.581,1586.398,1613.02,1652.052,1498.17,1630.605,1777.651,1880.207,1961.194,2072.848,2168.402,2269.362
Malawi,502.456,506.867,537.801,563.764,594.523,613.627,591.395,579.267,582.517,582.903,615.488,675.92,632.959,706.583,642.876,737.803,810.265,857.16,852.267,870.876,875.467,839.713,835.994,881.514,933.832,974.953,1023.195,1120.064,1195.094,1266.446,1331.427,1385.168,1347.724,1444.805,1405.803,1332.538,1347.139,1357.06,1409.895,1470.941,1460.199,1510.832,1602.739,1673.572,1749.124,1841.678,1935.59,2029.075
Malaysia,3337.809,3813.004,4182.352,4505.604,4908.031,4862.039,4883.186,5139.62,5708.049,6316.418,6846.151,7636.471,8272.479,9053.024,9827.278,10731.812,11715.045,12469.045,11386.386,11946.654,12945.83,12959.339,13532.215,14256.268,15278.813,16184.812,17383.124,18789.433,19711.418,19202.103,20525.538,21701.738,22963.302,23224.571,24273.001,24074.09,24779.859,25897.244,27491.285,29098.953,27734.597,29686.253,32901.066,35312.758,37494.929,39498.313,41595.849,43619.623
Maldives,1599.385,1817.486,2010.633,2104.607,2472.266,2791.398,2978.446,3238.526,3552.777,3932.926,3767.906,3976.401,4211.319,4423.416,4730.73,5089.642,5533.174,6084.942,6618.075,7052.757,7444.426,7707.282,8169.318,10280.492,11022.479,9732.164,12431.127,13485.724,14819.279,13607.723,14528.175,15834.725,16435.788,18250.006,20337.738,21931.337,23409.634,24927.362,27140.581,29040.411,19222.019,26270.129,29132.628,32127.801,34501.755,36575.671,38716.148,40999.975
Mali,541.565,554.563,509.926,535.658,557.359,583.239,621.696,644.011,658.156,745.653,830.268,904.404,888.464,917.362,946.769,969.549,1032.062,1072.226,1087.342,1140.446,1133.257,1298.399,1319.185,1423.082,1437.719,1529.447,1596.672,1641.407,1695.346,1728.741,1786.888,1826.648,1763.84,1812.966,1915.36,2032.666,2189.01,2246.755,2338.213,2419.844,2347.989,2446.763,2575.407,2711.928,2839.546,2953.858,3070.28,3191.864
Malta,5853.051,6522.549,6891.161,7083.235,7457.597,7811.407,8055.316,8663.391,9514.972,10488.248,11276.864,12023.641,13150.434,13853.269,14653.603,15849.381,16697.552,17668.449,18341.742,19191.557,19313.764,19384.466,20026.538,21111.771,21569.319,22838.451,23995.233,25781.076,27132.633,26793.628,28404.536,29062.601,30423.681,32560.229,34754.607,37922.113,40137.463,44936.003,47205.985,49026.312,43618.362,49559.882,54647.356,58397.363,61852.957,64866.906,68027.871,71296.692
Marshall Islands,,,,,,,,,,,,,,,,,,2095.324,2073.042,2045.291,2106.736,2330.675,2496.044,2491.261,2527.733,2630.42,2691.377,2840.59,2674.985,2772.749,2961.144,2989.717,2968.101,3125.8,3140.001,3208.658,3275.202,3433.929,3609.864,3902.56,3829.94,3898.091,4192.007,4420.657,4610.361,4770.219,4907.494,5044.618
Mauritania,,,,,,,,,,,2861.144,2878.702,2915.238,3073.068,2958.665,3225.28,3378.71,3205.902,3238.652,3308.886,3158.999,3112.91,3113.577,3298.797,3448.908,3756.938,4729.021,4630.767,4578.616,4493.08,4548.918,4715.713,4754.599,5098.713,4662.137,4585.9,5158.554,5636.44,5898.118,6212.986,6044.525,6341.327,6920.234,7278.852,7931.918,8393.292,8703.5,9085.689
