"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Taiwan Province of China,3446.189,3967.229,4338.255,4843.05,5441.392,5808.781,6541.777,7475.605,8264.09,9243.556,9999.434,11091.867,12171.167,13186.409,14353.832,15475.934,16602.114,17731.284,18526.532,19903.696,21460.875,21512.344,22927.291,24277.209,26562.487,28767.258,31220.651,34138.84,34951.775,34484.556,38404.269,40532.641,41741.269,43435.454,45494.282,46910.952,47272.281,48500.845,51005.031,53476.035,56037.844,62526.794,68729.509,72876.834,76317.421,79514.396,82775.299,86186.378
Tajikistan,,,,,,,,,,,,,1462.803,1322.413,1055.304,932.654,897.539,914.63,954.905,975.225,1062.493,1176.257,1278.928,1408.964,1567.736,1689.657,1824.75,1977.353,2127.672,2176.264,2293.764,2458.602,2708.847,3004.451,3303.956,2958.106,3089.443,3237.941,3494.449,3744.206,3879.177,4329.23,4629.918,4848.514,5077.94,5299.606,5529.271,5772.603
Tanzania,580.085,618.702,640.681,660.931,686.888,718.863,758.51,798.946,837.991,876.509,942.781,962.302,956.763,958.338,962.884,988.761,1025.122,1053.66,1080.672,1122.297,1174.979,1240.673,1314.009,1392.684,1499.033,1613.766,1692.739,1833.132,1918.041,1976.619,2066.521,2210.068,2099.43,2194.768,2243.354,2348.069,2478.806,2527.809,2687.04,2840.419,2925.615,3103.812,3358.284,3534.987,3723.44,3906.068,4100.639,4303.002
Thailand,1576.137,1791.226,1965.897,2117.434,2278.401,2415.509,2553.72,2814.675,3244.263,3722.863,4251.167,4708.106,5207.217,5740.799,6274.513,6857.318,7296.215,7132.67,6582.423,6900.44,7294.585,7644.604,8172.984,8866.931,9611.27,10261.335,11036.589,11884.186,12256.485,12188.321,13196.814,13519.129,14870.976,15407.665,15480.211,15822.371,16616.195,17422.952,18533.932,19216.85,18197.922,19209.587,21057.275,22587.12,23999.373,25288.915,26603.106,27951.464
Timor-Leste,,,,,,,,,,,,,,,,,,,,,1231.604,1446.387,1351.256,1327.222,1345.51,1403.314,1359.833,1507.253,1671.971,1801.548,1939.065,2060.248,2345.545,2483.175,2721.042,2912.736,3130.591,3177.485,3168.043,3779.737,4174.477,4052.723,3339.202,3445.691,3504.586,3597.075,3690.197,3809.892
Togo,997.27,1020.103,1006.116,955.124,1009.812,1043.212,1062.957,1028.935,1138.393,1197.693,1282.41,1287.698,1248.027,1047.05,1191.306,1419.383,1350.28,1382.214,1322.936,1333.062,1310.575,1314.217,1349.963,1432.298,1419.805,1360.156,1401.511,1384.566,1429.05,1477.23,1543.984,1632.628,1655.51,1720.574,1792.303,1885.301,1954.215,2012.241,2110.383,2210.778,2221.738,2373.326,2599.138,2774.451,2954.374,3133.327,3320.427,3519.301
Tonga,723.103,897.474,1069.156,1163.025,1718.225,1881.668,2099.526,2182.327,2169.354,2267.886,2451.094,2667.466,2611.545,2658.462,2776.535,3049.333,3097.598,3125.753,3220.537,3327.169,3516.174,3632.892,3839.526,3901.399,3914.454,4003.887,4020.296,4009.172,4269.647,4063.607,4135.318,4488.443,4608.493,4728.634,4940.191,5074.688,5517.673,5813.063,5977.414,6136.58,6259.049,6481.54,6783.118,7206.47,7612.902,7975.914,8286.224,8610.08
Trinidad and Tobago,6974.788,7859.2,8522.384,7817.905,7521.807,7343.271,7165.361,6942.227,6850.161,7009.021,7331.111,7764.162,8689.03,8786.278,9250.025,9767.256,10627.347,11602.717,12667.884,13852.818,15105.728,15960.938,17293.115,19982.323,21910.46,23811.916,27897.456,29735.862,31159.103,29700.04,30928.228,31320.799,30084.919,30088.486,29727.24,27651.728,26374.641,27277.878,27616.845,27959.539,26125.123,26802.121,29884.003,31534.12,33239.926,34124.292,34979.476,35876.776
Tunisia,2242.571,2519.313,2598.804,2761.15,2990.032,3155.301,3053.313,3268.593,3329.604,3486.606,3756.898,3955.853,4275.79,4392.794,4560.251,4697.704,5033.179,5339.191,5598.5,5953.602,6287.793,6614.54,6752.224,7154.624,7744.094,8195.968,8810.261,9559.865,10049.474,10308.284,10678.623,10556.817,10692.256,10709.667,10944.959,10735.106,10897.887,11138.348,11567.508,11826.644,10741.84,11423.789,12299.682,,,,,
Turkey,3516.261,3926.528,4214.957,4486.247,4857.894,5116.463,5471.033,6051.131,6280.292,6427.173,7159.251,7344.767,7831.631,8523.369,8101.209,8729.416,9368.681,10096.034,10376.778,10035.022,10819.359,10288.123,10988.38,11712.504,13045.27,14483.143,15768.293,16804.886,17041.96,16089.087,17376.351,19459.771,20504.429,22221.39,23945.523,25691.067,26513.617,28242.491,29345.629,29719.191,30448.713,34755.241,37488.16,39331.716,41318.138,43097.452,44935.425,46859.849
Turkmenistan,,,,,,,,,,,,,4329.611,3949.124,3251.311,3012.444,2808.639,2494.299,2655.062,3098.535,3714.305,4521.846,5260.494,6216.691,7245.322,8356.309,9451.864,10654.959,12310.455,12986.989,15033.512,17027.433,17095.776,16673.23,17210.396,16849.51,16037.679,17511.847,17899.994,17101.762,16457.775,17720.986,18856.742,19647.753,20274.857,20830.884,21356.031,21916.83
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,2742.358,2697.715,2683.185,2629.7,2711.109,2938.706,3151.425,2955.227,2879.748,3120.356,3008.525,3186.26,3287.138,3617.296,3812.067,4103.838,4251.701,4909.071,4998.701,5317.522,5798.16,6157.235,6535.667,6896.2,7263.722,7637.38
Uganda,525.467,579.697,646.292,683.203,665.077,643.571,639.78,657.463,710.374,757.219,807.203,820.201,860.076,908.411,967.36,1044.956,1097.758,1131.851,1177.402,1248.504,1284.129,1383.35,1455.537,1520.847,1596.737,1752.674,1870.077,2005.754,2180.63,2293.692,2415.549,2569.511,2372.961,2395.126,2440.641,2405.011,2359.139,2383.251,2500.489,2671.997,2574.596,2736.069,2960.521,3151.707,3325.001,3544.068,3729.479,3888.488
Ukraine,,,,,,,,,,,,6947.912,6382.709,5622.957,4463.723,4034.854,3732.647,3714.531,3716.856,3794.609,4147.652,4654.744,5021.326,5651.901,6535.504,7001.631,7813.605,8734.185,9142.82,7842.853,8295.96,8959.21,9388.766,10749.363,10804.267,10224.946,11215.911,11942.821,12724.967,13447.358,13196.407,14325.239,,,,,,
United Arab Emirates,89074.08,96707.295,89599.711,85304.257,85269.509,81397.857,64243.652,66551.378,56221.3,65073.255,84138.778,84998.104,85904.503,84876.479,86936.838,87498.064,92628.977,96853.918,89871.072,88352.109,102780.872,100665.087,99074.254,103680.038,110145.349,109107.286,101203.912,86479.413,70073.846,65805.589,67133.971,72143.637,74088.15,74733.86,77094.162,67253.732,65650.718,68504.474,70501.536,73141.899,71139.081,73574.962,78255.046,82023.732,85981.978,89816.302,93869.375,98317.185
United Kingdom,9085.061,9870.745,10699.929,11580.588,12247.193,13121.882,13776.71,14847.763,16200.444,17198.638,17904.835,18226.777,18653.131,19509.927,20624.634,21511.076,22383.253,23825.533,24785.191,25793.784,27253.053,28335.404,29262.789,30604.77,31998.662,33598.482,35288.404,36767.171,37077.088,35479.046,36379.238,37363.815,38511.147,40232.72,41584.048,42928.485,44606.06,46553.491,48163.69,49575.598,45329.054,50388.334,55300.908,57393.882,59418.995,61764.334,63905.461,65918.607
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53245.516,55083.507,56729.681,57839.992,59885.714,62769.664,65051.88,63078.471,69231.4,76027.043,79709.604,82434.441,85110.466,87818.196,90627.571
Uruguay,4617.822,5115.591,4892.64,4885.966,4975.19,5175.332,5714.827,6285.429,6563.672,6858.26,7096.864,7552.584,8287.667,8657.608,9397.455,9396.88,10040.335,10665.006,11183.402,11042.637,11030.097,10837.477,10169.979,10480.138,11289.782,12471.645,13360.891,14616.154,15945.179,16653.947,18069.707,19306.763,19489.132,20475.344,21491.934,21614.465,22092.545,22637.313,23203.971,23617.162,22361.661,24233.22,26662.558,28192.478,29572.331,30837.869,32040.211,33295.124
Uzbekistan,,,,,,,,,,,,,2394.344,2340.711,2222.666,2208.478,2243.573,2326.836,2417.339,2520.201,2685.646,2823.965,2946.749,3092.684,3373.623,3678.067,4030.788,4473.303,4894.436,5235.602,5579.569,5888.157,6106.886,6355.118,6551.283,6739.703,6855.585,6897.807,7318.613,7733.084,7821.097,8585.073,9243.079,9795.996,10329.148,10898.467,11493.118,12125.748
Vanuatu,944.044,1042.318,1091.934,1141.016,1255.557,1259.765,1246.294,1222.566,1209.905,1267.885,1449.334,1514.798,1558.399,1576.37,1678.721,1687.278,1713.626,1782.368,1777.411,1763.289,1867.387,1803.358,1697.456,1763.878,1841.106,1954.622,2136.281,2206.358,2321.23,2356.148,2356.997,2425.718,2439.926,2438.089,2503.995,2481.245,2586.434,2739.021,2820.913,2897.796,2682.335,2715.572,2850.587,2934.567,3010.116,3083.704,3130.449,3174.753
Venezuela,7947.413,8332.046,8818.81,8034.167,8519.784,8624.837,9221.621,9660.912,10392.473,9074.979,9699.678,10744.449,11387.292,11426.533,11145.897,11574.827,11515.738,12208.997,12139.928,11348.984,11638.601,12101.976,11020.349,10200.466,12194.137,13658.037,15231.41,16753.767,17706.212,16992.963,16692.632,17493.729,18553.419,18861.611,18209.227,17014.178,14212.889,12321.887,10680.642,7342.593,5176.852,5381.316,5949.033,6307.881,,,,
Vietnam,538.174,610.507,687.514,750.868,827.458,884.377,913.951,939.154,1002.546,1101.037,1151.216,1236.333,1350.267,1468.308,1604.954,1765.743,1934.81,2095.661,2207.278,2310.315,2489.261,2684.52,2881.255,3124.414,3426.502,3765.771,4114.332,4484.274,4782.897,5023.933,5357.054,5826.158,6400.242,6762.711,7281.166,7635.282,8316.211,9085.612,9867.432,10559.323,10897.029,11533.882,12880.717,14103.587,15338.212,16606.065,17953.957,19403.551
West Bank and Gaza,,,,,,,,,,,,,,,2143.911,2187.665,2128.272,2346.591,2629.551,2799.045,2539.453,2291.008,1981.383,2241.612,2729.918,3043.467,3016.788,3123.008,3328.424,3543.639,3697.884,4035.484,4720.42,4825.991,5192.039,5612.253,5944.744,6025.007,6089.409,6127.942,5365.646,5781.664,6243.442,6505.263,6673.575,6798.257,6923.05,7054.75
Yemen,,,,,,,,,,,2002.121,2100.021,2208.362,2235.159,2324.355,2404.847,2470.661,2561.001,2666.219,2728.064,2880.032,2971.257,3048.612,3135.31,3254.566,3446.883,3565.829,3681.616,3783.873,3848.868,4082.86,3540.961,3429.987,3626.62,3593.329,2548.239,2275.993,2149.652,2166.575,2185.958,1979.726,1977.257,2077.661,2148.388,2307.981,2459.078,2606.841,2752.147
Zambia,1321.438,1493.246,1491.454,1485.507,1467.548,1487.632,1498.397,1513.022,1661.459,1613.968,1613.941,1608.158,1629.967,1620.321,1392.281,1425.362,1501.483,1543.079,1512.601,1562.423,1616.807,1696.887,1755.882,1866.959,1999.396,2152.916,2329.387,2519.512,2688.107,2868.811,3108.172,3249.598,3348.124,3503.855,3467.109,3360.018,3332.669,3407.306,3520.21,3526.107,3366.139,3549.216,3776.372,3913.486,4048.029,4179.775,4322.937,4489.477
Zimbabwe,,,,,,,,,,,,,,,,,,,2440.665,2454.245,2410.034,2459.457,2311.499,1973.28,1884.626,1784.419,1747.477,1729.349,1465.085,1569.285,1883.804,2174.895,2385.894,2545.906,2576.737,2643.158,2668.326,2311.529,2444.065,2293.622,2157.234,2342.561,2523.028,2620.071,2713.807,2802.873,2893.849,2985.293
Africa (Region),1870.808,1976.933,2096.453,2144.386,2219.352,2284.967,2300.483,2311.294,2411.12,2517.727,2450.907,2511.641,2495.746,2502.875,2546.709,2602.547,2712.392,2773.43,2837.15,2894.5,2995.811,3111.434,3230.919,3373.687,3571.941,3808.824,4050.684,4303.344,4451.32,4500.543,4692.438,4732.588,4854.882,4924.627,4986.541,4991.715,5000.762,5016.849,5182.536,5316.093,5133.106,5494.425,5921.875,6198.463,6460.245,6716.37,6974.287,7251.236
Asia and Pacific,1177.393,1331.013,1444.413,1553.202,1680.605,1804.525,1902.762,2037.847,2232.339,2401.837,2584.786,2755.644,2943.26,3112.672,3295.617,3524.239,3762.767,3947.386,3935.941,4110.079,4383.3,4585.558,4810.248,5138.047,5573.89,6093.646,6684.856,7362.11,7778.368,8045.961,8725.906,9368.554,10010.567,10531.388,10910.129,11245.392,11622.394,12162.607,12987.474,13646.807,13555.153,15043.375,16624.042,17849.552,19045.768,20229.124,21451.164,22730.018
Australia and New Zealand,10268.833,11520.66,12110.361,12381.03,13489.112,14387.569,14815.075,15637.93,16517.825,17606.79,18254.951,18407.983,19065.331,20126.289,21349.631,22210.465,23243.783,24408.71,25423.651,26631.743,27821.931,28861.633,30187.561,31365.534,33170.719,34792.682,36273.827,38173.036,38991.28,39169.787,40029.877,41366.954,41261.997,44751.161,45385.987,44832.682,46621.001,48216.347,49961.585,51132.8,50257.142,54773.911,60026.518,62606.954,64732.578,66680.499,68833.812,71116.269
Caribbean,2841.172,3120.287,3277.803,3281.656,3350.837,3403.799,3538.171,3650.372,3729.238,3886.654,4127.824,4227.134,4355.849,4385.416,4367.447,4611.303,4820.251,5001.212,5133.759,5326.44,5540.356,5685.14,5860.412,6237.049,6522.155,6870.337,7438.045,7819.73,8014.598,7825.885,7822.684,8045.769,7997.04,8193.045,8226.408,8041.016,8073.171,8396.496,8644.198,8730.928,8202.209,8713.565,9957.385,10952.254,11410.85,11776.777,12134.834,12500.439
Central America,2478.565,2680.745,2726.787,2777.347,2878.396,2915.165,2966.737,3107.65,3176.591,3344.363,3442.498,3586.664,3865.382,4093.372,3996.829,4170.769,4316.978,4542.07,4742.384,4905.239,5107.431,5231.83,5393.812,5510.6,5766.049,6164.519,6688.376,7228.839,7565.964,7484.185,7836.192,8256.542,8554.88,8989.929,9611.5,10349.148,11040.873,11607.311,12167.948,12609.342,11672.612,13307.83,14618.815,15443.243,16233.213,16994.602,17781.678,18611.771
Central Asia and the Caucasus,3516.261,3926.528,4214.957,4486.247,4857.894,5116.463,5471.033,6051.131,6280.292,6427.173,7159.251,7344.767,5601.736,5742.419,5418.331,5653.988,6009.715,6431.414,6621.712,6561.764,7135.689,7116.383,6869.641,7376.805,8175.098,9117.495,10076.809,10946.811,11302.551,11044.066,11870.82,12985.675,13710.253,14758.867,15569.43,15996.057,16341.947,17229.231,17820.108,18204.259,18270.548,23845.978,25658.432,26959.39,28302.189,29534.897,30758.831,32040.467
East Asia,1331.658,1507.11,1651.558,1793.616,1973.362,2152.694,2286.708,2482.591,2746.12,2954.452,3176.913,3432.75,3659.701,3884.893,4157.878,4465.704,4779.586,5049.402,5166.559,5424.732,5838.547,6173.053,6549.154,7024.189,7650.695,8404.182,9301.821,10371.952,11088.146,11548.676,12642.099,13669.927,14644.878,15493.43,16071.949,16651.087,17109.872,17855.208,19154.777,20293.378,20683.684,22983.774,25374.725,27315.605,29183.411,31036.17,32975.562,35023.526
Eastern Europe ,5030.495,5303.836,5611.953,6039.551,6394.396,6666.469,6980.074,7297.895,7646.702,7932.129,7668.5,7110.907,8675.356,8250.646,7672.375,7902.806,7926.756,8158.977,8150.529,8594.642,9456.508,10153.346,10819.761,11757.747,12981.113,14208.388,15791.586,17496.948,18732.622,17682.277,18532.819,19755.138,20806.612,22181.837,22516.19,22054.216,22815.987,24556.625,26094.793,27419.51,26960.259,29610.607,32871.142,34103.688,35888.413,37496.202,39084.399,40729.577
Europe,9347.351,10190.713,10861.475,11482.298,12174.469,12846.279,13427.194,14124.184,15149.716,16213.446,17108.386,17754.285,15325.714,15280.949,15566.679,16058.629,16471.821,17093.77,17644.327,18453.378,19729.073,20714.526,21418.672,22300.199,23665.239,25051.589,26882.123,28669.775,29597.489,28284.882,29302.026,30549.634,31335.861,32718.13,33486.497,33938.428,35623.803,37703.003,39446.576,40895.682,39045.974,42900.356,47905.982,50136.816,52351.609,54351.564,56310.062,58279.497
Middle East (Region),12565.717,13236.584,12733.277,12396.459,12107.46,11767.609,11575.379,11410.385,11644.464,12122.552,12330.302,13571.385,14280.792,14414.615,14354.493,14662.308,15201.483,15569.761,15838.553,15714.631,16767.298,16929.351,17215.997,16838.891,18469.925,19418.627,20566.837,21580.127,22249.746,21925.192,22818.003,26054.781,26059.77,25781.451,25312.869,21743.816,21297.593,22376.195,22771.9,22977.717,21956.557,23311.667,25671.895,26878.901,27866.451,28782.338,29701.025,30680.017
North Africa,3747.134,3779.67,4107.149,4282.05,4440.76,4672.913,4633.901,4572.052,4755.134,5028.53,5307.862,5594.269,5614.49,5591.038,5766.527,5771.862,6068.386,6224.9,6528.876,6764.167,7081.784,7342.44,7568.972,8038.439,8481.096,9090.693,9704.159,10351.551,10557.311,10724.679,11103.002,10565.29,11444.597,11201.789,10709.035,10838.427,10632.081,10591.553,11115.512,11586.122,11211.445,12298.24,13411.131,14175.577,14893.598,15615.598,16368.101,17178.691
North America,11065.469,12344.206,12710.121,13493.859,14741.273,15627.254,16175.805,16926.586,17994.067,19137.569,20000.834,20419.955,21276.719,22072.541,23176.192,23772.373,24838.321,26118.987,27275.321,28595.474,30137.063,30766.354,31414.156,32524.881,34316.288,36193.853,37995.278,39378.203,39815.821,38513.703,39745.504,40961.514,42294.782,43473.791,44953.136,46008.557,47123.796,48747.778,50951.415,52546.776,50600.014,55339.007,60571.916,63449.631,65570.686,67637.797,69733.419,71907.471
Pacific Islands ,1305.156,1430.593,1487.801,1525.067,1599.223,1625.313,1717.969,1767.408,1835.627,1903.081,1915.291,2023.348,2154.425,2351.384,2547.192,2516,2643.59,2506.222,2565.021,2635.1,2579.127,2590.631,2599.881,2751.173,2827.746,2931.08,3030.826,3190.795,3204.237,3282.313,3422.029,3407.334,3463.812,3601.276,3988.91,4216.454,4363.571,4530.895,4593.507,4725.338,4392.479,4492.112,4900.811,5196.612,5421.823,5607.307,5779.853,5958.464
South America,4619.525,4817.21,4980.061,4916.558,5206.08,5471.552,5864.705,6120.618,6276.845,6365.795,6347.145,6683.139,6907.15,7263.631,7646.696,7960.449,8140.487,8543.903,8612.015,8489.541,8815.491,8964.221,8982.369,9221.728,10025.331,10736.71,11554.812,12519.805,13244.891,13043.028,13904.842,14734.995,14995.224,15567.931,15685.009,15128.368,14847.494,15390.666,15693.524,15698.033,14656.692,16240.519,17536.823,18319.441,19099.856,19790.042,20493.397,21125.417
South Asia,578.651,655.662,707.919,766.781,807.394,860.212,900.298,939.02,1030.031,1105.209,1181.593,1223.728,1291.416,1351.391,1436.4,1536.486,1646.765,1708.274,1786.487,1909.603,1997.41,2092.957,2168.949,2331.391,2533.632,2800.245,3084.982,3398.098,3549.037,3767.594,4096.036,4385.424,4721.653,4912.59,5099.313,5321.112,5630.145,5948.192,6406.761,6701.425,6344.859,7081.641,7999.484,8684.727,9393.797,10127.376,10872.132,11643.307
Southeast Asia,1442.882,1646.895,1781.87,1897.931,2015.165,2103.34,2205.807,2315.281,2544.515,2826.819,3098.932,3374.868,3616.386,3918.136,4234.374,4585.462,4918.226,5121.371,4353.904,4491.947,4801.37,4993.867,5254.263,5591.544,6030.05,6488.787,7001.169,7567.965,8003.748,8140.692,8731.605,9236.819,9928.089,10291.364,10606.213,10731.864,11164.25,11740.501,12525.247,13199.571,12786.587,13598.327,15048.873,16216.131,17348.606,18441.282,19580.465,20777.928
Sub-Saharan Africa (Region) ,1283.053,1411.844,1466.521,1475.876,1527.459,1542.09,1576.07,1613.026,1687.934,1747.549,1780.738,1795.005,1779.73,1796.426,1815.512,1885.003,1958.357,2004.792,2037.377,2062.837,2128.494,2221.779,2327.57,2414.274,2572.479,2743.413,2920.633,3106.68,3251.634,3286.258,3450.931,3614.229,3599.139,3735.717,3908.894,3896.69,3953.232,3975.219,4083.415,4165.128,4030.742,4271.481,4588.534,4791.783,4987.551,5176.69,5364.724,5567.283
Western Europe,10295.246,11266.779,12022.311,12693.874,13466.806,14232.463,14876.671,15661.675,16837.035,18070.197,19219.845,20119.946,20730.19,21091.719,22055.617,23019.894,23809.621,24901.408,25896.645,26967.421,28540.256,29694.434,30332.333,31080.672,32481.327,33906.805,35862.305,37643.611,38248.617,36678.22,37775.256,38993.323,39538.224,40897.465,41967.638,43080.525,45424.664,47713.94,49558.121,51048.08,48094.929,52793.617,57605.405,60439.296,62887.498,65095.036,67245.646,69377.265
Western Hemisphere (Region),7985.605,8751.005,9001.042,9379.521,10147.157,10712.628,11148.124,11637.072,12247.123,12874.169,13282.694,13633.936,14173.742,14731.526,15375.557,15808.823,16401.157,17222.654,17835.091,18449.23,19359.789,19729.273,20058.749,20716.237,21959.398,23217.142,24495.779,25627.748,26167.306,25409.628,26393.238,27363.056,28139.886,28983.105,29791.016,30100.801,30563.651,31627.02,32884.39,33675.085,32183.297,35286.033,38510.884,40314.653,41727.355,43064.333,44419.236,45732.24
ASEAN-5,1389.779,1582.646,1709.872,1817.434,1925.05,1976.505,2079.821,2218.999,2439.651,2713.041,2976.918,3247.012,3482.394,3771.213,4072.431,4416.875,4742.142,4928.982,4494.781,4623.276,4934.316,5137.748,5403.064,5742.836,6164.122,6608.358,7095.719,7645.095,8102.337,8248.527,8805.567,9297.917,10003.973,10374.871,10690.587,10801.985,11264.635,11838.101,12637.161,13335.886,12883.908,13756.593,15249.368,16474.896,17668.179,18822.197,20024.59,21286.195
Advanced economies,10225.297,11326.511,11967.118,12750.125,13768.581,14646.006,15340.412,16220.277,17478.388,18749.34,19873.116,20672.679,21371.403,21888.65,22939.436,23768.481,24779.919,25927.261,26776.553,27954.739,29565.817,30506.187,31288.12,32347.717,34091.379,35916.479,37909.215,39721.582,40329.906,38989.965,40479.083,41805.257,42878.804,44423.121,45655.993,46919.643,48437.171,50412.11,52573.246,54230.893,52147.009,57052.447,62442.26,65653.148,68215.285,70601.965,72968.618,75384.702
Emerging and Developing Asia,556.944,633.429,692.866,755.957,824.712,893.907,948.998,1019.767,1132.805,1228.195,1325.676,1429.61,1564.14,1716.695,1886.029,2065.088,2244.718,2386.745,2406.571,2562.554,2754.693,2947.82,3152.847,3440.414,3785.996,4217.035,4730.331,5340.598,5775.253,6187.597,6796.11,7406.009,8056.478,8501.575,8863.923,9140.383,9561.877,10079.09,10895.606,11582.064,11541.264,12807.994,14257.759,15425.013,16604.394,17789.487,19021.699,20313.385
Emerging and Developing Europe,4484.133,4801.73,5097.32,5462.137,5817.358,6078.514,6402.106,6815.85,7112.974,7338.412,7465.983,7204.877,8547.427,8299.082,7710.635,7825.791,7903.81,8198.854,8213.842,8534.877,9372.522,9841.303,10500.904,11381.256,12603.232,13818.479,15295.75,16820.687,17867.665,16889.121,17812.47,19197.961,20260.2,21698.257,22252.608,22164.507,22894.339,24591.937,26004.619,27097.499,26959.268,29947.031,33100.287,34369.223,36136.753,37721.396,39319.319,40979.088
Emerging market and developing economies,1603.442,1743.583,1824.072,1879.528,1979.674,2068.802,2146.634,2231.553,2358.911,2480.421,2591.146,2735.925,3216.325,3316.534,3412.114,3554.293,3733.977,3912.616,3942.641,4066.753,4331.979,4521.851,4713.162,5044.636,5503.352,5992.345,6570.283,7206.66,7642.857,7777.824,8334.501,8917.399,9396.416,9791.465,10053.049,10032.768,10282.571,10756.387,11376.884,11853.858,11602.765,12797.092,13966.637,14853.668,15747.728,16619.131,17511.318,18435.814
European Union,9230.123,10059.847,10705.135,11281.299,11958.107,12579.677,13141.484,13783.45,14763.843,15825.603,16735.097,17430.544,17706.651,17795.318,18626.304,19296.348,20007.18,20854.342,21695.261,22596.384,23980.326,25039.151,25694.221,26406.334,27761.479,29121.259,31031.247,32822.683,33646.343,32343.245,33369.747,34623.113,35093.063,36294.289,37331.184,38491.346,40855.784,43182.991,45123.693,46749.027,44417.625,48749.645,53201.23,56094.178,58628.52,60881.824,63105.367,65367.104
Latin America and the Caribbean,4672.599,5022.895,5188.236,5119.938,5397.411,5632.335,5863.742,6085.594,6242.703,6415.5,6529.213,6876.096,7129.964,7458.58,7785.116,7899.364,8176.755,8622.72,8795.488,8793.318,9179.785,9306.906,9340.897,9577.121,10293.972,10937.544,11737.301,12562.725,13141.584,12795.584,13558.482,14302.315,14632.258,15108.23,15383.022,15120.946,15204.166,15735.743,16142.641,16213.519,15073.975,16624.5,17968.475,18811.992,19586.156,20288.763,21006.728,21685.543
Major advanced economies (G7),11065.061,12272.266,12942.023,13820.367,14956.075,15928.598,16656.197,17571.254,18929.431,20272.566,21430.734,22219.582,23025.436,23658.472,24721.969,25704.978,26730.207,27884.978,28822.179,29972.364,31602.131,32507.433,33199.618,34280.724,36010.251,37852.596,39797.021,41465.819,41992.356,40477.022,41942.544,43285.029,44501.122,46054.854,47347.657,48541.722,49956.996,51865.844,54021.689,55692.394,53378.545,58332.606,63844.812,67012.227,69431.002,71755.293,74045.431,76373.955
Middle East and Central Asia,5087.916,5342.2,5368.494,5378.214,5373.6,5405.41,5386.525,5347.52,5526.942,5802.54,6167.978,6694.758,6450.643,6441.454,6503.533,6630.24,6913.153,7091.443,7287.651,7369.232,7810.389,8029.153,8023.731,8520.707,9269.693,9911.433,10626.465,11304.352,11662.428,11619.333,12078.628,12811.216,12833.717,12792.206,12658.157,11588.435,11367.598,11680.837,12014.378,12254.586,11777.766,13010.898,14194.676,14900.559,15531.343,16142.568,16759.634,17416.479
Other advanced economies,6775.978,7619.282,8144.778,8678.91,9478.659,10101.341,10759.161,11604.136,12513.963,13456.217,14386.712,15211.385,15980.729,16853.125,18065.405,18826.477,19888.237,20981.024,21225.566,22527.538,24174.983,25086.587,26297.354,27399.557,29432.519,31420.253,33673.841,36055.257,37016.793,36590.378,38903.434,40720.744,41685.169,43420.249,44537.416,45707.98,47197.104,49155.078,51354.956,52944.005,52293.893,57258.5,62547.954,66062.569,69092.787,71815.372,74589.366,77447.485
Sub-Saharan Africa,1297.472,1425.463,1477.569,1488.009,1549.731,1565.557,1594.002,1627.755,1701.934,1762.769,1791.515,1799.073,1778.237,1793.426,1811.537,1869.597,1941.332,1984.928,2011.258,2033.409,2092.92,2177.017,2281.111,2363.079,2520.562,2688.282,2858.174,3042.989,3189.235,3236.274,3404.613,3547.285,3580.53,3721.618,3880.564,3870.641,3879.958,3936.968,4054.304,4145.201,4014.363,4261.377,4583.672,4786.614,4978.044,5160.969,5343.391,5541.153
