"GDP per capita, current prices
Eswatini,1353.87,1390.764,1208.985,1207.844,999.523,762.131,936.249,1172.28,1332.878,1306.668,1552.212,1567.762,1699.814,1750.159,1859.518,2171.72,2012.452,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.132,4325.841,4133.645,3766.458,3513.8,4031.056,4225.909,4031.589,3526.66,4109.397,4035.54,4250.351,4453.984,4638.669,4811.843,4887.915
Ethiopia,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,142.808,154.564,147.254,129.859,121.551,128.621,123.892,116.452,120.601,138.282,164.937,198.696,244.495,326.82,351.341,324.285,361.829,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,995.67,1039.773,1129.521,1265.389,1363.21,1481.889,1604.821
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6142.933,5084.436,5147.19,5685.258,6268.682,6817.895,7273.538,7663.932,8078.868
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50033.305,48666.505,49159.28,54007.746,53744.875,56772.05,59269.642,61532.886,64027.597,66362.232
France,13052.055,11393.065,10764.181,10245.002,9667.515,10028.463,13922.959,16776.515,18204.104,18218.703,22432.059,22329.525,24538.409,23059.189,24215.692,27721.67,27716.205,24999.792,25783.476,25517.131,23149.274,23229.175,25058.792,30628.86,34980.08,36000.917,37762.463,42998.453,46927.305,43079.371,42100.289,45378.299,42348.741,44130.832,44545.718,37918.771,38332.675,40053.616,43021.379,41939.21,40162.147,44852.597,44747.264,46893.42,48903.059,50863.185,52673.706,54408.34
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8220.504,8111.34,7277.369,8975.816,10390.314,10273.659,10412.338,10659.641,10984.528,11466.868
"Gambia, The",1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,755.415,812.482,843.846,885.448,930.243,975.631,1011.443,1051.326
Georgia,,,,,,,,,,,,,,,172.502,413.487,688.365,818.069,869.52,690.38,763.715,820.016,875.193,1034.539,1338.078,1682.51,2052.269,2700.438,3419.91,2890.709,3221.628,4003.46,4409.627,4622.549,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4263.133,5014.158,5617.963,6286.07,6925.351,7621.19,8368.498,9193.992
Germany,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.043,25602.961,27233.633,31829.61,30664.393,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.859,42338.844,42379.71,46697.376,43883.393,46299.371,48035.802,41107.222,42124.452,44636.698,47995.381,46800.183,46215.596,50794.947,51103.976,54763.257,57406.032,59795.62,62125.241,64378.27
Ghana,3489.408,5537.341,6271.389,4114.168,1391.696,1213.37,1094.377,895.168,930.218,924.054,1045.579,1142.78,1102.828,881.064,793.783,918.725,950,945.574,1002.591,1012.265,606.494,630.69,714.412,860.458,973.275,1151.293,1320.27,1520.628,1688.059,1477.632,1757.029,2131.731,2197.891,2405.776,2003.714,1784.251,1982.243,2086.598,2275.769,2265.713,2225.506,2440.962,2303.29,2397.83,2489.232,2582.53,2669.781,2844.603
Greece,5898.163,5376.978,5576.511,5008.015,4854.243,4791.75,5623.163,6522.421,7568.289,7812.784,9597.714,10196.17,11139.445,10363.63,11029.098,12887.889,13660.507,13370.349,13412.55,13784.361,12164.719,12473.285,14065.791,18378.281,21829.501,22417.643,24648.873,28656.233,31902.014,29577.642,26743.4,25437.01,21845.045,21712.016,21554.224,18023.869,17906.08,18552.181,19750.743,19130.444,17603.435,20255.859,20939.754,22162.42,23347.69,24455.109,25521.109,26417.664
Grenada,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5041.015,5213.797,5682.707,5741.653,6644.217,6658.218,7213.002,7832.366,7290.821,7258.182,7291.739,7444.082,7789.618,8370.031,9096.535,9628.26,10152.834,10466.805,10834.496,9273.2,9856.433,10471.939,11146.784,11732.348,12317.92,12915.476,13500.762
Guatemala,1070.284,1140.215,1126.186,1139.957,1163.059,1338.718,705.755,796.957,841.769,946.757,808.879,966.003,1045.432,1110,1228.967,1348.884,1408.233,1559.644,1656.359,1527.239,1555.638,1654.953,1795.772,1847.291,1951.798,2151.742,2336.955,2556.76,2873.086,2654.1,2836.06,3172.124,3267.792,3397.625,3632.101,3825.882,3982.02,4233.007,4240.545,4371.265,4317.448,4673.632,4863.909,5027.163,5287.295,5546.078,5817.89,6102.601
Guinea,,,,,,,,,,,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,991.735,1094.959,1230.132,1427.798,1525.491,1619.167,1691.691,1768.258,1847.667
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,866.451,810.558,812.391,878.334,872.978,930.22,994.39,1061.876,1132.128,1197.538
Guyana,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.702,9643.596,17107.524,20625.226,20525.81,21055.969,22033.21,23057.287
Haiti,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1765.242,1671.512,1733.409,1780.794,1827.416,1875.246,1922.977
Honduras,955.25,1017.067,1015.875,1044.202,1092.454,1161.918,1180.458,1249.586,1351.372,1467.031,841.249,822.855,891.443,888.614,845.738,948.437,888.005,948.716,1023.397,1003.065,1093.106,1133.185,1134.068,1158.179,1217.816,1308.089,1430.056,1583.048,1739.357,1789.707,1904.346,2088.311,2144.337,2102.595,2206.056,2302.204,2342.024,2451.936,2506.62,2567.967,2396.689,2789.583,2925.447,3022.506,3129.277,3259.698,3402.629,3547.765
Hong Kong SAR,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43488.204,46025.665,48310.038,48274.944,46437.742,49727.395,49849.841,52654.121,55014.15,57522.504,60136.917,62928.71
Hungary,2151.468,2207.127,2249.984,2046.399,1989.903,2022.961,2338.799,2582.847,2838.561,2909.702,3312.337,3350.242,3733.447,3871.071,4170.571,4491.215,4520.76,4591.492,4738.015,4786.245,4619.293,5269.607,6644.61,8410.769,10275.774,11188.448,11469.411,13904.826,15742.787,13035.623,13173.209,14195.846,12935.511,13665.526,14251.799,12690.167,13086.074,14608.721,16423.28,16731.469,15948.413,18968.393,20335.818,22569.519,24517.226,26376.481,28084.617,29732.853
Iceland,15129.182,15449.046,14003.083,11857.373,12130.436,12506.275,16571.593,22776.756,24820.302,22627.388,25629.431,27159.576,27357.171,23725.669,24117.987,26682.487,27713.605,28048.848,31219.801,32577.642,32344.364,29061.339,32516.441,39620.411,47579.937,57405.559,58238.886,70375.326,57296.251,41188.906,43293.021,47798.807,46159.8,50100.084,54864.159,53227.627,62530.419,73085.132,75374.147,69524.623,59386.9,69033.314,74417.385,77574.342,81192.122,85371.408,89558.49,94020.166
India,271.031,274.726,277.965,296.291,281.099,302.945,315.161,346.171,357.799,352.182,374.002,308.37,322.512,306.44,352.172,380.321,406.968,422.809,420.573,449.751,451.089,459.491,479.248,556.316,638.787,726.917,814.353,1046.898,1019.511,1121.248,1384.174,1458.106,1443.882,1449.61,1573.885,1605.605,1732.554,1980.668,1998.259,2070.413,1935.04,2282.97,2515.435,2745.439,2984.42,3243.328,3503.595,3769.728
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3885.465,3947.248,4196.329,3922.604,4356.56,4690.749,5085.015,5423.7,5767.08,6125.666,6502.373
Iran,2439.396,2485.685,2965.579,3560.281,3531.17,3793.905,4225.457,5467.98,6009.203,7133.821,10661.483,5445.574,890.842,1121.078,1368.369,1941.99,2631.462,3015.203,3300.975,4356.025,5713.528,5068.496,2001.239,2353.361,2764.807,3291.94,3863.502,5057.408,5890.712,6016.8,6983.777,8322.46,5548.306,5566.802,5872.408,5137.233,5692.783,5979.039,6233.881,7875.954,11148.802,16783.815,20261.008,20563.239,21205.241,21921.568,22676.277,23511.917
Iraq,,,,,,,,,,,,,,,,,,,,,,,,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4637.004,5178.921,5950.825,5981.102,4223.218,5088.115,7038.242,6907.6,6788.997,6734.273,6763.269,6861.782
Ireland,6252.207,5886.368,6078.144,5839.832,5591.81,5934.548,7993.15,9419.506,10365.284,10754.616,13644.791,13748.196,15331.894,14262.798,15455.354,19086.797,20781.392,22468.61,24202.501,26233.643,26186.264,28120.1,32482.077,40940.136,47389.262,50476.482,53738.712,60770.052,60989.977,51943.353,48612.201,52116.927,49000.81,51459.003,55499.027,61861.466,62633.727,69488.855,78844.353,80646.176,85229.899,99013.377,101509.49,109551.758,116475.362,122476.772,128521.357,134496.938
Israel,6096.707,6413.923,6752.808,7374.492,6892.403,6294.15,7629.984,8966.967,10925.93,10928.613,12502.88,13354.935,14407.213,14107.137,15698.653,18154.264,19391.933,19705.404,19439.247,19152.867,21071.762,20324.926,18449.182,18998.835,19919.021,20594.662,21859.442,24966.228,29659.792,27793.383,30791.278,33787.427,32681.199,36515.115,37864.407,35822.856,37341.6,40790.933,42079.335,43965.661,44181.168,51416.022,54688.303,56595.707,58695.236,60767.408,62771.62,64719.32
Italy,8559.468,7749.767,7652.888,7936.213,7840.76,8093.591,11461.158,14385.826,15934.159,16560.648,20651.767,21795.672,23116.604,18572.914,19149.546,20675.32,23094.426,21858.45,22348.051,22029.683,20153.067,20505.939,22386.279,27580.457,31342.833,32031.448,33448.085,37828.34,40818.96,36982.806,35815.593,38276.034,34743.751,35534.99,35836.161,30463.696,31190.776,32648.756,34917.583,33627.881,31707.077,35472.831,34777.089,36678.146,38454.238,40053.307,41552.692,42797.32
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2249.32,2234.803,2660.153,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3709.572,3586.441,3855.674,4241.399,4494.63,4829.296,5134.246,4507.186,4894.369,5332.52,5448.456,5238.147,5105.511,5204.825,5183.462,5413.03,5729.757,5781.785,5102.762,5525.304,5730.397,5901.366,6122.349,6438.522,6705.452,6978.634
Japan,9659,10574.371,9772.809,10636.463,11205.352,11815.804,17466.671,21177.787,25575.098,25336.199,25895.956,29511.775,32069.069,36425.222,39953.195,44210.242,39164.322,35651.27,32436.923,36622.885,39172.963,34410.68,32832.296,35410.222,38307.096,37819.1,36021.9,35847.226,39992.06,41469.773,45135.796,48760.905,49175.054,40934.756,38522.771,35005.656,39411.424,38903.298,39826.248,40590.142,40048.93,39339.836,39243.371,42459.397,44563.861,47152.247,49377.665,51252.823
Jordan,1694.589,1835.938,1884.123,1899.891,1841.321,1778.343,2190.163,2222.874,2002.619,1290.011,1203.194,1191.517,1391.966,1357.66,1449.044,1494.348,1509.576,1541.175,1650.348,1670.089,1703.199,1773.963,1858.309,1934.83,2108.801,2251.553,2591.481,2820.767,3454.31,3559.692,3736.645,3852.89,3915.87,4050.139,4137.283,4169.99,4181.254,4237.443,4314.243,4411.709,4288.805,4416.632,4635.073,4893.249,5176.564,5470.797,5772.786,6082.367
Kazakhstan,,,,,,,,,,,,,168.645,304.849,751.98,1061.475,1358.804,1459.416,1480.091,1132.126,1230.49,1491.652,1657.157,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.372,9005.041,11552.573,12300.185,13789.174,12713.563,10435.169,7662.006,9186.712,9749.07,9750.431,9062.958,9976.904,10003.119,11540.073,12040.746,12648.509,13162.547,13709.048
Kenya,1305.247,1185.18,1101.075,983.361,986.51,950.251,1093.491,1156.785,1158.818,1111.265,1124.819,1029.415,983.514,663.428,771.897,951.64,1047.966,1034.12,1096.62,972.176,897.619,870.082,898.186,953.835,941.165,1056.471,1203.39,1412.69,1314.844,1123.285,1176.309,1178.584,1396.213,1490.414,1613.092,1625.155,1688.865,1805.384,1983.028,2111.425,2079.959,2204.724,2251.98,2288.159,2380.87,2500.055,2625.248,2733.299
Kiribati,710.42,734.209,670.98,620.845,667.442,499.974,479.459,529.522,649.788,627.533,594.271,642.924,643.903,621.703,715.435,720.549,847.867,840.499,806.333,833.736,803.324,734.58,827.798,1020.831,1132.962,1214.941,1168.998,1377.365,1456.192,1331.192,1512.468,1726.239,1783.594,1715.889,1628.35,1537.93,1587.423,1649.393,1696.174,1513.51,1519.519,1705.808,1745.094,1849.199,1919.439,1976.121,2028.767,2082.297
"Korea, Republic of",1714.62,1883.456,1992.29,2198.939,2413.291,2482.4,2834.888,3554.62,4748.676,5817.065,6609.985,7637.199,8126.451,8886.386,10381.18,12565.033,13402.925,12416.754,8271.412,10666.862,12263.471,11563.04,13159.675,14672.418,16482.75,19398.494,21730.952,24083.338,21387.709,19139.732,23077.161,25100.188,25459.168,27179.519,29252.933,28737.439,29274.232,31600.737,33433.172,31936.795,31638.455,34801.086,34994.199,37272.406,39169.653,41081.532,42954.269,44847.013
Kosovo,,,,,,,,,,,,,,,,,,,,,1506.094,1704.288,1807.197,2205.535,2274.678,2318.3,2400.14,2865.639,3025.013,2878.492,3013.162,3562.033,3396.893,3699.477,3920.467,3554.1,3745.863,3991.249,4389.236,4432.489,4318.82,5031.045,5355.287,5809.499,6235.676,6646.624,7039.301,7418.403
Kuwait,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,27194.073,29903.564,28513.431,22683.638,28578.756,38755.059,36904.519,35490.243,34890.429,34807.763,35006.835
Kyrgyz Republic,,,,,,,,,,,,,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1388.647,1195.723,1282.979,1327.009,1372.242,1409.835,1476.068,1542.94,1599.1
Lao P.D.R.,596.196,341.873,334.404,596.412,831.39,1017.414,691.926,473.879,300.081,360.325,414.261,474.15,528.183,578.467,654.369,741.537,753.99,696.054,259.296,270.226,323.04,324.75,335.686,405.322,468.205,535.248,672.947,800.15,983.374,1045.979,1201.126,1412.137,1581.818,1830.284,1997.957,2138.833,2323.281,2452.861,2567.549,2620.937,2546.103,2514.027,2318.822,2373.973,2437.386,2528.288,2650.287,2783.14
Latvia,,,,,,,,,,,,,632.991,1022.374,1725.206,2163.746,2419.564,2670.492,2961.556,3140.583,3343.185,3553.667,4120.694,5121.737,6342.833,7569.828,9690.456,14079.583,16435.208,12243.071,11316.935,13371.009,13786.589,14927.223,15685.975,13728.365,14259.247,15626.276,17806.561,17871.427,17622.776,20581.122,21311.146,22871.581,24848.736,26678.281,28485.943,30302.696
Lebanon,1552.837,1481.175,1005.587,1377.269,1618.263,1344.575,1044.67,1219.75,1217.822,983.644,999.179,1503.376,1778.897,2290.378,2641.04,3109.262,3551.799,4246.445,4618.673,4582.361,4428.662,4349.954,4504.149,4440.345,4630.727,4575.074,4626.82,5207.76,6111.36,7354.971,7761.616,7675.291,7952.12,7933.253,7687.746,7663.878,7653.694,7819.591,8058.463,7471.464,4002.74,,,,,,,
Lesotho,340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1106.83,1105.765,1166.068,1150.976,1122.337,999.345,1180.51,1212.571,1270.667,1341.19,1416.562,1477.039,1532.845
Liberia,,,,,,,,,,,,,,,,,,,,,325.463,328.515,334.824,248.982,307.15,314.889,357.241,415.958,497.445,503.596,541.579,625.257,695.516,772.241,765.368,747.177,767.373,763.108,731.317,672.863,647.089,723.785,776.35,804.102,816.749,855.947,897.916,947.143
Libya,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2723.365,2907.457,4685.07,6361.578,6004.471,2891.462,4821.508,7196.794,6602.854,6309.465,6155.004,6098.041,6037.186
Lithuania,,,,,,,,,,,,,,,,1845.103,2327.496,2830.268,3166.72,3113.271,3293.307,3525.849,4140.734,5499.475,6699.372,7860.178,9236.616,12305.917,15017.555,11848.202,12009.033,14393.268,14376.001,15734.38,16577.328,14265.41,15004.186,16879.45,19194.88,19577.941,20216.057,23472.866,25015.372,27241.472,29567.566,31644.006,33700.713,35778.328
Luxembourg,17666.745,15190.085,12464.023,12234.668,11984.274,12393.783,17950.002,22149.518,24875.488,26226.903,33066.888,35346.49,39061.02,39483.057,43306.887,50705.085,49718.865,44202.559,45636.553,49341.225,48984.173,48719.11,53221.558,66160.476,77037.418,81723.316,91480.802,108346.807,121616.397,110249.419,112056.738,120516.827,113963.696,121414.35,125204.692,106718.037,107938.828,111211.388,118466.551,114357.509,117063.472,136701.396,135045.821,140684.469,148222.855,154313.667,160429.945,166321.155
Macao SAR,,,,,,,,,,,,,,,,,,,,,,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69647.776,69887.828,77233.097,82835.778,81231.549,37455.87,43771.842,50577.672,63292.718,76070.163,84704.558,90131.443,94839.504
Madagascar,594.73,529.787,518.939,495.274,402.08,380.975,423.6,304.151,293.209,283.399,338.948,272.525,301.997,320.564,269.561,284.823,354.742,297.115,297.254,279.921,293.607,334.442,319.216,368.797,284.488,319.537,338.751,438.655,536.352,467.54,471.959,531.266,518.155,541.069,530.863,467.235,476.226,515.935,518.489,512.176,457.487,501.615,504.308,511.451,536.607,571.144,602.116,634.422
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,567,545.065,498.276,513.327,536.043,559.051,582.609
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2585.824,2885.098,3380.219,3717.374,4028.37,4672.139,5176.282,4996.967,3520.915,3762.771,4347.727,4189.053,4441.812,4740.324,5244.861,5678.747,6354.977,7485.942,8771.026,7550.251,9046.985,10397.92,10806.84,10851.664,11172.4,9663.283,9544.246,9969.495,11086.113,11234.658,10351.083,11399.123,13268.339,14375.978,15256.546,16200.421,17121.798,18054.035
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.793,6128.48,7337.951,7450.805,8086.697,8078.305,8719.582,9766.235,10787.471,11781.029,12348.712,13200.955,14479.839,15056.424,9882.737,13189.636,14078.416,15374.808,16436.477,17415.943,18441.064,19531.8
Mali,286.454,229.416,198.621,187.965,184.082,182.083,249.094,286.223,283.437,340.745,381.395,380.32,381.039,369.975,275.823,348.164,347.271,317.786,321.178,323.608,270.663,307.708,336.179,393.308,440.758,489.293,523.071,597.55,697.011,700.95,710.854,837.458,779.118,805.046,848.522,751.553,780.509,829.713,895.211,879.083,863.784,919.942,896.585,957.549,1016.694,1056.372,1109.343,1153.445
Malta,3811.847,3691.859,3467.399,3262.692,3114.332,3126.09,3953.405,4898.042,5522.986,5728.285,6811.662,7215.068,7945.163,7009.556,7684.416,8978.862,9107.638,9147.98,9621.951,9983.877,10482,10447.791,11346.456,13730.313,15260.887,15930.142,16818.012,19696.182,22378.184,21223.678,21842.065,23222.385,22674.787,24972.679,27080.097,25228.175,25897.872,29329.339,32181.374,31853.646,28966.25,33329.118,33094.278,35485.832,37876.102,40077.763,42325.535,44524.089
Marshall Islands,,,,,,,,,,,,,,,,,,2257.329,2276.743,2269.421,2237.183,2416.081,2651.491,2619.045,2625.82,2668.167,2749.066,2864.642,2894.225,2864.633,3030.394,3239.108,3383.558,3451.206,3388.375,3406.479,3720.619,3898.576,4061.676,4292.884,4412.992,4463.23,4755.731,5015.031,5227.095,5405.688,5563.032,5719.327
Mauritania,,,,,,,,,,,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.55,1851.725,1943.797,1955.501,2153.329,2141.061,2190.8,2413.555,2509.727,2554.004,2802.237
Mauritius,1268.107,1186.583,1124.4,1179.733,1080.41,1085.141,1454.116,1827.431,2104.548,2146.046,2555.86,2781.631,3091.412,3148.796,3446.307,3902.222,3993.479,3703.632,3701.865,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10485.014,11205.901,11088.359,8618.643,8744.34,8892.105,9899.553,10980.017,11869.392,12647.613,13325.19
