"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Fiji,1.709,1.983,2.082,2.073,2.364,2.347,2.552,2.427,2.6,3.077,3.377,3.397,3.687,3.872,4.157,4.354,4.647,4.613,4.726,5.209,5.237,5.457,5.719,5.878,6.362,6.476,6.803,6.924,7.127,7.073,7.372,7.729,8.283,8.942,9.832,10.782,11.02,11.784,12.525,12.692,10.899,10.9,12.37,13.719,14.961,15.954,16.816,17.735
Finland,45.54,50.493,55.268,59.226,63.335,67.649,70.892,75.231,81.943,89.488,93.033,90.518,89.531,91.046,96.676,102.866,108.591,117.46,125.264,132.593,143.425,150.483,155.438,161.682,172.649,183.014,196.259,212.244,218.01,201.691,210.619,220.471,221.286,225.68,228.059,232.93,246.904,262.075,271.4,279.628,276.489,297.482,321.233,336.658,349.799,361.658,373.478,385.71
France,577.953,639.608,695.434,732.12,771.225,808.39,843.255,886.779,959.932,1042.172,1113.963,1162.522,1206.625,1228.294,1283.873,1340.053,1383.537,1439.742,1508.624,1580.03,1681.913,1754.324,1801.641,1852.686,1951.586,2047.437,2166.041,2278.481,2324.832,2274.583,2344.221,2446.475,2474.005,2608.524,2662.033,2719.224,2863.816,2997.297,3125.381,3239.795,3016.963,3361.627,3677.579,3839.354,3994.533,4135.395,4276.136,4422.583
Gabon,6.63,6.967,7.701,8.163,8.872,9.683,9.671,8.384,8.983,10.776,11.755,12.896,12.783,13.602,14.409,15.443,16.295,17.528,18.341,16.936,16.994,17.75,18.061,18.73,19.448,19.901,20.123,21.976,22.785,22.409,24.1,26.345,26.868,27.464,28.956,28.63,28.685,30.987,31.995,33.842,33.612,35.33,38.574,41.076,43.616,46.212,48.93,51.809
"Gambia, The",0.724,0.717,0.919,1.085,1.038,1.11,1.159,1.221,1.286,1.394,1.528,1.614,1.68,1.786,1.762,1.859,1.948,2.009,2.164,2.335,2.52,2.725,2.678,2.918,3.208,3.23,3.312,3.505,3.795,4.074,4.367,4.095,4.191,4.166,4.103,4.311,4.446,4.589,5.038,5.447,5.502,6.051,6.792,7.429,8.107,8.755,9.374,10.038
Georgia,,,,,,,,,,,,,12.728,9.212,8.43,8.831,9.937,11.171,11.648,12.151,12.655,13.562,14.527,16.452,17.872,20.2,22.785,26.345,27.499,26.665,28.656,31.405,36.64,39.451,43.054,45.036,47.93,50.663,54.385,58.116,54.84,63.036,69.136,75.341,81.21,87.185,93.522,100.338
Germany,855.295,937.245,987.315,1041.928,1110.043,1170.245,1222.667,1271.318,1365.314,1474.374,1617.093,1755.564,1830.039,1855.111,1940.192,2011.395,2064.932,2138.041,2205.789,2279.076,2398.385,2493.79,2527.57,2559.339,2659.156,2762.46,2956.298,3126.729,3217.262,3053.452,3219.486,3415.02,3487.234,3628.559,3807.115,3890.125,4164.749,4411.728,4566.19,4696.684,4536.523,4856.766,5269.963,5575.882,5798.313,5999.573,6191.677,6386.168
Ghana,12.858,13.546,13.189,12.853,14.565,15.992,17.324,18.935,20.871,22.674,24.368,26.395,28.204,30.251,31.981,34.033,36.308,39.075,41.494,43.985,46.599,49.472,52.564,56.341,60.98,66.811,72.878,77.898,86.544,92.048,100.391,116.773,133.277,140.883,151.592,144.984,142.203,148.983,161.999,175.629,178.482,193.768,216.676,234.6,253.185,272.27,289.004,316.802
Greece,84.196,90.728,95.245,97.908,103.477,109.431,112.21,112.39,121.342,130.891,135.79,144.737,149.067,150.16,156.434,163.068,170.807,181.543,190.737,199.368,211.877,225.601,238.105,256.874,277.119,287.522,313.147,332.139,337.373,324.933,310.823,285.079,275.144,284.948,290.011,289.649,296.436,307.089,319.671,331.258,305.013,344.173,378.693,400.065,418.113,433.512,448.229,462.617
Grenada,0.192,0.213,0.236,0.253,0.272,0.298,0.326,0.365,0.389,0.419,0.453,0.475,0.482,0.484,0.503,0.525,0.558,0.596,0.673,0.731,0.785,0.786,0.826,0.922,0.941,1.099,1.088,1.185,1.22,1.146,1.154,1.187,1.2,1.286,1.42,1.551,1.657,1.798,1.921,1.969,1.719,1.89,2.081,2.221,2.365,2.499,2.628,2.757
Guatemala,19.183,21.133,21.644,21.923,22.83,23.411,23.906,25.374,27.291,29.48,31.531,33.576,35.92,38.022,40.193,42.842,44.848,47.491,50.235,52.828,55.375,57.981,61.385,64.234,67.917,72.193,78.57,85.574,90.41,91.564,95.265,101.567,107.165,112.026,118.754,127.566,130.131,133.883,141.635,149.744,149.246,167.884,185.473,197.946,210.003,221.811,234.095,247.105
Guinea,2.74,3.018,3.262,3.434,3.608,3.908,4.111,4.351,4.789,5.176,5.602,5.936,6.27,6.742,7.162,7.654,8.142,8.712,9.131,9.612,10.076,10.68,11.407,11.777,12.376,13.147,13.891,15.196,16.128,15.982,16.857,18.173,18.497,19.731,20.122,20.799,24.4,29.177,31.773,34.168,36.785,39.929,44.455,48.458,52.768,56.599,60.667,65.03
Guinea-Bissau,0.439,0.478,0.529,0.531,0.581,0.625,0.631,0.683,0.721,0.771,0.836,0.928,0.978,1.024,1.077,1.144,1.209,1.303,1.022,1.211,1.252,1.341,1.412,1.436,1.492,1.639,1.735,1.827,1.947,2.007,2.145,2.367,2.307,2.386,2.51,3.05,3.288,3.832,4.055,4.313,4.431,4.788,5.279,5.683,6.114,6.551,7.014,7.511
Guyana,1.885,2.075,2.008,1.847,1.954,2.023,2.059,2.107,2.051,2.026,2.039,2.235,2.463,2.728,3.023,3.242,3.564,3.85,3.827,3.997,4.032,4.216,4.331,4.388,4.576,4.628,5.015,5.513,5.729,5.957,6.292,6.772,7.916,8.37,8.36,8.594,8.714,9.307,9.952,10.673,15.498,19.358,30.287,41.955,44.513,47.117,49.835,52.729
Haiti,10.024,11.088,11.444,11.714,12.161,12.641,12.93,13.193,13.735,14.112,14.575,15.259,15.255,14.848,13.405,15.04,15.95,16.664,17.219,17.935,18.501,18.853,19.348,20.417,20.689,21.993,23.073,24.812,25.96,27.665,26.415,28.339,28.318,30.706,31.283,31.002,33.431,34.631,36.049,36.076,35.29,36.096,38.476,40.186,41.834,43.417,45.024,46.698
Honduras,5.113,5.738,6.008,6.186,6.688,7.188,7.386,8.025,8.691,9.422,9.784,10.444,11.283,12.27,12.369,13.143,13.863,14.806,15.407,15.51,17.017,17.875,18.835,20.08,21.904,23.958,26.319,28.703,30.491,29.94,31.431,33.314,34.844,36.446,39.876,43.955,47.719,52.444,55.762,58.265,53.681,62.901,69.388,74.001,78.583,83.193,88.172,93.465
Hong Kong SAR,36.081,43.126,47.112,51.902,59.154,61.46,69.66,80.945,90.932,96.65,104.107,113.765,123.612,134.389,145.545,152.124,161.506,172.67,164.341,170.835,188.094,193.41,199.678,209.843,234.222,259.415,286.226,312.965,325.754,319.779,345.525,369.685,373.483,385.448,396.044,411.294,419.838,442.425,465.891,466.266,441.229,489.064,522.16,564.194,594.623,623.688,653.494,685.452
Hungary,67.745,76.28,83.295,87.182,92.73,95.42,98.835,105.383,109.028,114.138,114.269,104.085,103.195,105.032,110.437,115.618,117.832,123.631,129.899,135.774,145.07,154.382,164.221,174.303,187.614,201.708,216.314,222.698,229.371,215.375,220.41,229.348,230.214,242.367,253.001,263.642,274.251,292.352,315.379,335.64,323.803,361.286,398.278,425.167,451.533,475.996,499.436,523.101
Iceland,2.48,2.83,3.07,3.122,3.368,3.589,3.891,4.327,4.476,4.664,4.895,5.049,4.99,5.175,5.476,5.598,5.961,6.413,6.963,7.345,7.886,8.387,8.566,8.922,9.876,10.81,11.847,13.196,13.747,12.774,12.562,13.059,13.472,14.378,15.059,16.281,17.938,19.267,20.692,21.572,20.289,22.051,24.197,25.503,26.742,27.921,29.12,30.38
India,371.871,431.502,474.089,528.563,568.564,617.36,659.873,703.008,797.869,878.47,961.777,1004.812,1084.054,1162.464,1266.355,1390.841,1523.236,1612.25,1731.227,1904.198,2024.745,2172.728,2292.813,2523.801,2794.959,3150.25,3548.305,4001.378,4236.785,4625.515,5161.394,5618.382,6153.153,6477.517,6781.022,7159.796,7735.002,8276.933,9021.596,9526.243,9005.107,10218.623,11745.26,12931.937,14176.283,15485.183,16822.228,18214.299
Indonesia,189.71,223.449,242.586,262.655,292.747,313.799,343.129,374.724,415.013,470.468,532.011,599.111,652.732,721.363,792.324,875.433,961.158,1023.683,899.317,919.204,986.83,1045.827,1109.917,1185.929,1279.028,1394.231,1516.315,1656.103,1813.468,1910.902,2057.206,2229.512,2413.435,2535.041,2622.252,2647.707,2744.897,2894.126,3116.589,3331.572,3302.094,3566.283,3995.064,4361.948,4726.918,5084.771,5458.119,5854.633
Iran,225.953,233.24,305.036,352.124,338.784,356.024,327.654,335.181,325.895,359.443,423.589,493.601,521.5,526.006,528.118,552.138,597.954,616.478,636.384,658.276,712.541,746.023,818.86,907.162,971.91,1034.363,1119.592,1243.627,1270.655,1291.681,1382.998,1449.084,1295.741,1250.61,1255.791,1131.04,1221.423,1281.375,1282.415,1287.862,1326.345,1436.872,1573.467,1653.453,1728.41,1799.518,1872.053,1947.868
Iraq,,,,,,,,,,,,,,,,,,,79.244,100.251,98.072,93.694,87.735,162.639,256.161,268.62,292.521,306.1,337.64,351.286,378.271,415.269,483.559,515.106,490.962,369.519,346.956,405.43,434.638,468.122,399.376,440.668,512.926,558.551,587.757,615.41,643.853,673.87
Ireland,25.259,28.344,30.545,31.509,33.693,35.435,36.302,38.554,41.11,45.121,50.418,52.979,56.126,58.786,63.58,71.141,79.03,89.032,97.92,109.749,122.784,132.21,142.188,149.358,163.775,178.6,193.28,209.036,203.486,194.345,200.132,206.473,213.241,221.16,238.003,324.658,339.965,375.332,419.001,447.468,479.43,566.661,633.533,685.172,730.403,767.824,806.594,847.525
Israel,27.613,31.653,34.088,36.339,38.483,41.467,43.803,48.249,51.731,54.522,60.314,65.233,71.494,75.948,83.009,92.931,100.335,106.071,111.768,117.389,130.723,133.806,135.626,139.892,150.708,161.898,176.535,192.369,202.84,206.474,220.833,237.916,251.921,276.637,282.342,297.227,323.49,341.474,363.558,384.027,380.286,428.522,478.01,509.647,540.437,570.786,602.443,635.999
Italy,614.396,676.266,719.171,754.246,805.012,852.233,892.952,943.103,1015.697,1089.857,1153.057,1209.208,1245.704,1264.579,1318.382,1382.137,1425.275,1476.385,1520.035,1566.513,1662.671,1733.306,1764.791,1802.118,1876.837,1951.525,2047.765,2134.379,2154.383,2053.69,2113.984,2173.17,2172.384,2187.375,2200.256,2241.524,2420.426,2529.502,2613.905,2673.976,2461.947,2734.428,2972.091,3112.229,3228.702,3332.781,3432.331,3517.958
Jamaica,6.149,7.028,7.692,8.325,8.708,8.902,9.717,10.724,10.659,11.598,12.618,13.154,13.827,14.468,15.054,15.757,16.083,16.092,16.077,16.463,16.967,17.571,17.965,18.992,19.76,20.561,21.81,22.723,22.97,22.328,22.272,23.059,23.269,24.136,24.568,25.418,26.72,28.04,29.235,30.047,27.353,29.733,32.378,34.46,35.898,37.311,38.745,40.146
Japan,1068.091,1218.353,1336.487,1437.751,1556.708,1689.973,1781.351,1911.765,2113.466,2303.045,2506.131,2679.432,2763.735,2814.583,2899.875,3038.574,3191.182,3278.059,3272.846,3307.878,3476.344,3568.39,3625.525,3753.838,3938.87,4135.674,4321.794,4504.455,4534.63,4303.871,4534.092,4629.401,4799.614,5021.591,5034.456,5200.905,5159.726,5248.419,5405.183,5488.653,5304.968,5614.998,6110.075,6439.205,6650.699,6833.636,6999.797,7167.161
Jordan,8.355,10.547,11.785,12.276,13.43,13.691,14.731,15.507,16.388,15.098,15.83,16.764,19.423,20.507,22.002,23.91,24.51,25.998,27.151,28.311,30.188,32.365,35.171,37.269,41.376,46.265,51.927,57.595,62.776,66.352,68.704,72.051,74.34,79.417,81.884,87.705,90.249,97.892,102.169,106.03,105.643,112.271,122.18,129.749,137.33,144.77,152.49,160.648
Kazakhstan,,,,,,,,,,,,,120.227,111.753,99.782,93.52,95.709,99.014,98.226,102.3,114.87,133.314,148.659,165.692,186.471,210.977,240.758,269.272,283.493,288.732,313.53,344.049,369.966,417.452,427.478,407.416,423.833,448.473,478.011,508.459,501.205,542.917,590.37,634.552,679.027,722.631,759.573,798.542
Kenya,17.552,20.001,22.31,23.553,24.793,26.619,29.051,31.499,34.596,37.59,40.609,42.544,43.044,44.022,46.101,49.085,52.057,53.173,55.375,57.39,58.894,62.617,63.899,67.082,72.075,78.546,85.71,94.057,96.083,100.215,109.592,117.598,125.523,141.004,156.802,176.338,192.816,211.109,228.319,243.98,246.14,274.898,308.671,334.722,361.57,389.106,418.382,449.828
Kiribati,0.053,0.058,0.063,0.063,0.067,0.066,0.068,0.07,0.079,0.08,0.082,0.084,0.087,0.09,0.094,0.096,0.099,0.102,0.111,0.11,0.12,0.12,0.127,0.132,0.134,0.145,0.149,0.156,0.156,0.158,0.158,0.164,0.176,0.187,0.188,0.209,0.21,0.213,0.23,0.233,0.234,0.247,0.266,0.281,0.296,0.309,0.321,0.334
"Korea, Republic of",82.705,97.089,111.684,131.582,150.716,167.67,190.42,219.958,255.012,283.756,323.453,370.433,402.36,440.224,491.301,549.83,604.078,652.411,625.913,707.517,789.105,846.037,925.599,973.574,1051.667,1131.379,1227.687,1333.989,1400.534,1420.683,1535.597,1625.275,1684.563,1726.903,1792.6,1933.849,2026.536,2105.893,2218.889,2309.266,2317.181,2510.534,2735.87,2900.87,3049.023,3188.037,3327.648,3471.22
Kosovo,,,,,,,,,,,,,,,,,,,,,7.369,7.878,7.965,8.33,8.605,9.275,9.905,11.022,11.437,12.09,12.84,13.935,14.528,15.242,15.679,16.732,17.789,18.691,19.79,21.102,20.216,23.056,25.189,26.957,28.753,30.487,32.206,33.994
Kuwait,46.029,40.85,39.252,42.932,46.812,46.236,51.207,56.746,52.844,69.137,52.912,32.269,60.336,83.465,92.593,96.112,98.457,102.652,107.6,107.165,114.734,117.564,122.995,147.167,167.381,190.024,210.619,229.271,239.462,223.944,221.263,247.607,276.884,275.264,258.671,181.157,176.815,206.276,216.351,219.006,202.018,213.166,245.182,259.163,272.579,285.493,298.824,312.847
Kyrgyz Republic,,,,,,,,,,,,,9.142,8.142,6.668,6.439,7.021,7.851,8.107,8.522,9.19,9.897,10.049,10.968,12.054,12.41,13.19,14.704,16.12,16.691,16.812,18.184,20.288,23.124,24.987,25.107,28.459,31.28,33.136,35.28,32.629,35.256,37.792,40.88,43.643,46.37,49.204,52.209
Lao P.D.R.,1.734,2.19,2.435,2.606,2.874,3.235,3.459,3.511,3.558,4.064,4.498,4.836,5.292,5.735,6.336,6.925,7.537,8.197,8.644,9.119,9.925,10.633,11.534,12.488,13.745,15.16,17.027,18.86,20.725,22.396,24.482,26.987,31.202,34.6,39,41.583,46.85,50.445,54.899,58.48,58.928,62.642,68.703,73.242,77.859,82.594,87.714,93.302
Latvia,,,,,,,,,,,,,16.051,14.558,15.196,15.191,15.87,17.57,18.894,19.688,21.277,23.133,25.159,27.816,30.928,35.316,40.762,46.026,45.387,39.17,37.868,39.646,43.312,45.564,47.483,49.398,52.357,55.718,59.325,61.886,60.271,65.709,70.532,74.358,79.135,83.433,87.843,92.507
Lebanon,16.426,18.079,12.134,15.473,23.162,29.701,28.247,33.788,25.112,15.085,13.549,19.358,20.689,22.662,25.005,27.187,28.803,32.285,33.921,34.124,35.281,37.483,39.362,40.821,45.06,46.799,48.99,54.999,61.137,67.825,74.114,76.31,82.065,88.558,94.099,98.682,104.309,109.403,110.109,104.058,82.144,,,,,,,
Lesotho,0.621,0.701,0.785,0.84,0.908,0.968,1.028,1.076,1.2,1.316,1.436,1.555,1.69,1.796,1.917,2.012,2.15,2.263,2.32,2.39,2.564,2.708,2.794,2.965,3.117,3.315,3.568,3.848,4.069,4.11,4.372,4.688,4.795,5.407,5.926,6.402,6.225,5.563,5.68,5.781,5.501,5.85,6.408,6.706,7.014,7.32,7.514,7.672
Liberia,,,,,,,,,,,,,,,,,,,,,2.59,2.721,2.886,2.09,2.232,2.437,2.725,3.165,3.423,3.624,3.9,4.288,4.773,5.647,5.922,5.624,6.283,7.203,7.467,7.409,7.276,7.898,8.776,9.538,10.323,11.128,11.989,12.922
Libya,108.353,94.836,102.224,101.224,96.167,99.81,90.26,78.895,87.867,97.886,105.327,125.937,125.313,123.455,128.532,114.959,120.146,121.476,122.379,124.678,132.196,132.79,133.566,153.931,165.115,190.507,209.152,228.452,190.641,186.129,194.35,66.148,148.702,99.491,53.661,48.497,51.056,69.056,83.347,96.026,39.147,113.049,124.326,133.674,143.012,151.805,160.561,169.622
Lithuania,,,,,,,,,,,,,,,,24.879,26.662,29.376,31.927,32.007,33.942,36.972,40.083,45.193,49.455,54.95,60.845,69.43,72.612,62.233,64.021,69.298,73.809,79.034,82.647,83.784,88.692,95.675,101.873,108.438,109.599,119.795,129.658,137.01,144.782,152.026,159.202,166.482
Luxembourg,5.796,6.395,6.861,7.264,7.882,8.586,9.634,10.262,11.523,13.148,14.366,16.136,16.804,17.925,19.007,19.684,20.348,21.928,23.614,25.963,28.793,30.347,31.814,33.291,35.631,37.661,41.159,45.694,46.43,45.214,47.478,48.971,51.309,54.839,58.578,61.454,65.973,68.884,71.943,75.635,75.187,83.705,90.532,95.204,100.412,104.996,109.769,114.769
Macao SAR,,,,,,,,,,,,,,,,,,,,,,15.714,17.381,19.788,25.73,28.68,33.524,39.414,41.532,42.331,53.602,66.543,75.588,88.663,90.217,70.023,70.409,78.535,85.609,84.952,39.539,48.591,59.66,75.769,92.043,103.133,110.526,116.655
Madagascar,8.867,8.755,9.119,9.562,10.081,10.52,10.942,11.345,12.145,13.135,14.053,13.612,14.087,14.724,15.032,15.605,16.233,17.123,17.994,19.105,20.408,22.116,19.674,22.025,23.805,25.719,27.944,30.338,32.996,31.886,32.469,33.667,34.211,35.257,36.702,37.486,39.997,40.515,42.807,45.495,42.756,46.108,51.521,55.837,60.203,64.562,69.13,74.027
Malawi,3.298,3.421,3.723,4.012,4.38,4.725,4.81,5.009,5.35,5.635,6.179,6.945,6.583,7.392,6.771,7.869,8.813,9.555,9.765,10.254,10.567,10.365,10.712,11.546,12.499,13.312,14.368,16.173,17.743,19.343,20.922,22.393,22.415,24.722,24.747,24.133,25.1,26.013,27.804,29.844,30.479,32.444,35.409,38.039,40.901,44.305,47.906,51.666
Malaysia,46.347,54.253,61.028,67.382,75.233,76.932,79.385,85.732,97.576,110.589,125.061,141.635,157.735,177.453,197.938,221.953,248.624,271.442,254.298,273.692,304.161,312.623,334.612,360.969,395.799,428.524,466.415,509.194,544.035,539.233,586.796,630.696,677.647,701.7,745.387,750.777,783.874,829.297,890.231,946.385,903.704,970.748,1089.499,1183.942,1272.36,1356.033,1444.143,1530.878
Maldives,0.243,0.287,0.327,0.355,0.432,0.507,0.561,0.626,0.705,0.801,0.797,0.881,0.959,1.035,1.137,1.246,1.384,1.554,1.726,1.877,2.011,2.127,2.292,2.931,3.191,2.859,3.717,4.111,4.588,4.283,4.65,5.153,5.438,6.14,6.957,7.628,8.279,8.964,9.924,10.796,7.266,10.097,11.385,12.767,13.94,15.026,16.172,17.414
Mali,3.84,4.012,3.768,4.042,4.289,4.568,4.944,5.192,5.378,6.187,7.016,7.81,7.863,8.336,8.838,9.294,10.153,10.823,11.265,12.138,12.405,14.635,15.325,17.052,17.783,19.539,21.081,22.408,23.927,25.208,26.892,28.34,28.185,29.823,32.435,35.447,39.327,41.593,44.608,47.569,47.544,51.035,55.335,60.017,64.729,69.358,74.259,79.519
Malta,1.845,2.074,2.205,2.351,2.455,2.593,2.746,2.974,3.289,3.661,3.974,4.351,4.81,5.118,5.468,5.966,6.318,6.739,7.046,7.416,7.508,7.587,7.903,8.388,8.625,9.196,9.718,10.457,11.066,11.01,11.76,12.061,12.703,13.757,14.924,16.674,18.079,20.684,22.456,24.197,22.444,25.578,28.486,30.653,32.63,34.391,36.247,38.178
Marshall Islands,,,,,,,,,,,,,,,,,,0.103,0.104,0.104,0.108,0.118,0.124,0.125,0.128,0.135,0.139,0.147,0.14,0.145,0.157,0.159,0.158,0.167,0.169,0.173,0.177,0.187,0.197,0.214,0.211,0.217,0.235,0.25,0.263,0.274,0.284,0.295
Mauritania,,,,,,,,,,,5.71,5.903,6.144,6.659,6.593,7.393,7.966,7.776,8.081,8.496,8.348,8.468,8.719,9.507,10.224,11.448,13.965,14.06,14.282,14.388,14.942,15.889,16.42,18.036,16.883,16.995,19.569,21.878,23.415,25.215,25.069,26.887,29.993,32.246,35.92,38.853,41.183,43.945
Mauritius,1.928,2.235,2.503,2.611,2.834,3.125,3.499,3.95,4.367,4.74,5.271,5.691,6.2,6.67,7.094,7.553,8.121,8.731,9.365,9.745,10.782,11.38,11.745,12.694,13.595,14.225,15.326,16.641,17.874,18.585,19.632,20.857,21.304,22.487,23.312,24.28,26.155,27.082,28.771,30.168,25.983,28.118,31.72,34.502,36.784,38.759,40.811,42.978
Mexico,404.343,480.331,507.355,508.842,545.189,574.732,568.252,592.337,621.094,671.949,733.175,789.918,836.529,879.797,942.99,902.193,980.94,1066.175,1133.852,1181.49,1267.975,1291.299,1310.902,1356.11,1447.108,1526.933,1644.803,1727.961,1781.237,1697.898,1806.252,1911.319,2012.768,2064.491,2173.228,2230.644,2383.39,2472.586,2587.222,2628.61,2443.011,2666.61,2890.685,3051.967,3183.309,3312.234,3444.955,3583.476
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,0.217,0.215,0.205,0.213,0.219,0.235,0.246,0.251,0.26,0.259,0.272,0.28,0.282,0.281,0.286,0.296,0.312,0.312,0.306,0.304,0.321,0.327,0.343,0.352,0.362,0.36,0.363,0.383,0.406,0.427,0.442,0.454,0.466
Moldova,,,,,,,,,,,,,13.089,13.238,9.343,9.403,9.01,9.312,8.805,8.625,9.006,9.771,10.697,11.628,12.824,14.218,15.36,16.248,17.851,16.888,18.304,19.772,21.055,23.961,25.218,26.233,29.732,32.101,34.281,36.186,33.582,39.855,42.483,44.634,48.377,52.03,55.709,59.655
Mongolia,2.955,3.505,4.032,4.433,4.864,5.303,5.92,6.281,6.837,7.402,7.489,7.03,6.524,6.467,6.746,7.327,7.628,8.062,8.425,8.806,9.109,9.746,10.419,11.407,12.817,14.079,15.698,17.534,19.267,18.99,20.623,24.692,28.89,30.402,32.507,31.928,32.818,35.392,39.044,41.969,40.539,42.824,46.421,51.162,55.829,60.392,64.967,69.569
Montenegro,,,,,,,,,,,,,,,,,,,,,5.002,5.171,5.351,5.594,5.996,6.444,7.214,7.913,8.646,8.196,8.519,8.974,8.604,9.237,9.558,10.164,11.324,12.263,13.194,13.976,11.98,14.029,15.476,16.611,17.496,18.355,19.277,20.249
