"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Trinidad and Tobago,7.566,8.661,9.545,8.897,8.688,8.594,8.479,8.293,8.249,8.501,8.952,9.543,10.746,10.927,11.558,12.25,13.364,14.618,15.983,17.509,19.141,20.296,22.087,25.649,28.267,30.872,36.338,38.908,40.957,39.231,41.077,41.85,40.459,40.731,40.499,37.892,36.333,37.754,38.383,39.003,36.562,37.706,42.259,44.817,47.472,48.965,50.424,51.953
Tunisia,14.468,16.711,17.658,19.207,21.041,22.937,23.058,25.212,26.12,27.844,30.93,33.299,36.786,38.59,40.844,42.815,46.587,50.104,53.182,57.177,60.987,64.728,66.606,71.115,77.577,82.8,89.831,98.448,104.588,108.462,113.62,113.607,116.403,117.962,121.97,121.024,124.271,128.449,134.868,139.355,127.862,137.297,149.184,,,,,
Turkey,159.188,181.854,199.712,217.406,240.621,258.8,282.337,318.331,336.546,350.629,397.415,414.661,449.491,497.151,480.066,525.373,572.48,626.189,652.819,640.415,700.332,674.933,729.649,786.931,887.212,997.317,1099.523,1186.19,1218.79,1167.44,1281.037,1454.112,1550.688,1703.67,1860.471,2022.94,2116.184,2282.304,2406.459,2471.299,2545.939,2943.074,3212.072,3409.063,3621.495,3818.713,4023.68,4238.949
Turkmenistan,,,,,,,,,,,,,17.21,15.856,13.393,12.69,12.056,10.878,11.738,13.867,16.817,20.702,24.34,29.064,34.229,39.905,45.648,52.066,60.89,65.038,76.479,88.101,90.058,89.473,94.076,93.772,90.491,99.986,103.277,101.562,99.75,109.016,117.672,124.291,129.939,135.171,140.231,145.55
Tuvalu,,,,,,,,,,,,,,,,,,,,,0.023,0.024,0.026,0.026,0.026,0.026,0.027,0.029,0.032,0.03,0.03,0.033,0.032,0.034,0.035,0.039,0.041,0.044,0.045,0.053,0.054,0.057,0.063,0.067,0.071,0.076,0.08,0.085
Uganda,5.919,6.729,7.731,8.427,8.469,8.475,8.727,9.301,10.428,11.53,12.739,13.404,14.512,15.849,17.433,19.431,21.092,22.447,24.078,26.36,28.019,31.162,33.881,36.677,39.848,45.21,49.89,55.37,62.317,67.777,73.725,81.034,77.235,80.26,84.146,85.359,86.252,89.786,97.077,106.407,106.131,116.175,129.476,141.972,154.272,169.369,184.481,201.021
Ukraine,,,,,,,,,,,,,331.074,290.793,228.991,205.27,188.125,185.628,184.151,186.372,201.84,224.549,240.135,268.138,307.825,327.321,363.065,403.452,420.235,359.066,378.281,407.226,425.994,486.365,461.987,435.49,475.722,504.188,534.24,561.196,546.376,588.433,,,,,,
United Arab Emirates,89.965,106.378,104.832,103.218,111.703,112.329,92.511,99.827,100.636,121.036,155.152,163.834,172.754,176.798,193.869,210.958,226.293,249.883,254.695,267.972,307.829,318.806,331.8,368.168,414.257,448.041,507.273,537.816,565.75,539.606,554.8,605.575,631.707,647.296,678.339,601.179,598.811,637.385,660.376,695.121,660.342,703.375,779.234,833.096,886.399,939.816,996.96,1059.862
United Kingdom,511.761,556.295,602.31,652.172,690.852,742.095,780.919,843.412,922.064,981.647,1024.837,1046.928,1074.141,1125.996,1193.383,1248.18,1301.9,1389.362,1449.314,1513.682,1604.823,1674.991,1737.215,1825.177,1918.32,2029.785,2146.488,2254.526,2292.254,2208.961,2283.161,2364.569,2453.353,2579.159,2686.205,2795.074,2928.299,3074.393,3199.803,3311.501,3040.718,3402.762,3751.845,3910.719,4065.081,4241.437,4404.443,4559.15
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22997.5,25346.805,26695.15,27745.531,28790.404,29855.871,30966.064
Uruguay,13.57,15.136,14.57,14.644,15.007,15.71,17.445,19.295,20.268,21.296,22.158,23.718,26.183,27.516,30.15,30.337,32.615,35.045,37.04,36.834,36.942,36.322,34.036,34.987,37.724,41.809,44.866,49.093,53.625,56.258,61.377,65.887,66.779,70.438,74.226,74.939,76.887,79.077,81.353,83.098,78.957,85.859,94.783,100.55,105.807,110.675,115.335,120.212
Uzbekistan,,,,,,,,,,,,,51.142,51.15,49.526,50.11,51.895,55.535,58.575,61.954,65.765,70.071,74.01,78.64,86.727,95.708,106.061,119.275,132.503,144.154,156.236,171.483,180.491,190.612,199.767,209.082,216.467,221.561,239.002,257.168,265.176,296.691,326.015,352.428,379.041,407.932,438.793,472.205
Vanuatu,0.109,0.124,0.134,0.144,0.163,0.17,0.173,0.172,0.175,0.185,0.215,0.229,0.24,0.247,0.276,0.284,0.296,0.316,0.324,0.329,0.357,0.352,0.339,0.361,0.385,0.418,0.468,0.494,0.532,0.551,0.565,0.595,0.612,0.626,0.657,0.666,0.705,0.763,0.804,0.845,0.809,0.847,0.92,0.98,1.039,1.101,1.156,1.213
Venezuela,118.828,128.394,139.933,131.082,142.906,148.703,160.92,172.818,190.559,170.467,188.284,213.592,231.698,237.843,237.216,251.761,255.863,276.857,280.797,267.752,283.914,300.164,277.846,261.357,317.449,361.186,409.088,456.921,490.261,477.603,476.148,506.34,544.83,561.817,550.033,520.974,436.529,375.106,308.707,204.249,144.698,148.451,160.132,167.413,,,,
Vietnam,29.158,33.767,38.776,43.152,48.464,52.806,55.678,58.509,63.662,71.319,77.722,85.018,94.521,104.577,116.246,130.007,144.752,159.251,170.328,180.973,197.635,216.021,234.921,257.144,284.615,315.695,348.145,383.045,412.493,437.546,471.247,511.889,568.401,607.018,660.612,700.257,770.872,851.064,934.11,1018.806,1061.437,1134.024,1278.061,1411.823,1548.457,1689.945,1840.981,2003.851
West Bank and Gaza,,,,,,,,,,,,,,,4.967,5.432,5.599,6.531,7.551,8.291,7.754,7.19,6.39,7.43,9.302,10.677,10.897,11.615,12.717,13.899,14.878,16.646,19.95,20.886,22.996,25.426,27.536,28.519,29.558,30.497,27.371,30.222,33.403,35.61,37.362,38.908,40.486,42.135
Yemen,,,,,,,,,,,24.197,26.59,29.428,31.331,34.151,36.844,39.257,42.023,45.049,47.409,51.48,54.642,57.677,61.02,65.147,70.947,75.455,80.081,84.594,88.427,96.383,85.876,85.441,92.756,94.312,68.589,62.781,60.729,62.647,64.661,59.877,61.119,65.603,69.262,75.935,82.528,89.201,95.975
Zambia,7.806,9.111,9.392,9.648,9.825,10.261,10.645,11.071,12.524,12.539,12.933,13.281,13.863,14.18,12.556,13.19,14.267,15.067,15.177,16.107,17.114,18.43,19.561,21.332,23.445,25.93,28.842,32.096,35.255,38.752,43.256,46.612,49.509,53.42,54.506,54.473,55.712,58.735,62.565,64.602,63.559,69.054,75.69,80.786,86.057,91.504,97.452,104.201
Zimbabwe,,,,,,,,,,,,,,,,,,,28.692,28.773,28.18,28.684,26.887,22.969,22.107,21.11,20.987,20.821,17.757,19.192,23.246,27.098,31.163,34.191,35.502,37.028,37.965,33.371,35.785,34.187,32.767,36.292,39.906,42.352,44.725,47.061,49.47,51.966
Africa (Region),693.649,753.93,822.644,866.15,923.593,981.376,1016.426,1049.903,1125.546,1208.396,1458.155,1537.645,1576.406,1626.549,1698.102,1775.015,1895.711,1988.502,2116.512,2211.522,2355.395,2506.609,2667.037,2861.367,3104.554,3391.514,3697.027,4026.138,4268.523,4423.097,4729.933,4897.03,5160.723,5367.288,5572.208,5717.573,5870.171,6046.794,6401.721,6727.46,6652.208,7288.796,8045.451,8624.177,9206.261,9798.978,10420.739,11099.055
Asia and Pacific,2874.433,3309.801,3661.213,4008.353,4414.717,4827.057,5184.545,5673.895,6329.105,6931.607,7592.792,8227.312,9134.676,9809.149,10539.571,11438.13,12395.709,13188.632,13505.216,14288.024,15430.227,16342.261,17437.407,18845.784,20676.693,22856.847,25344.204,28207.567,30144.157,31502.616,34512.638,37449.352,40438.587,42965.049,44957.827,46774.263,48891.757,51645.432,55642.447,58973.256,58967.329,65362.074,72702.912,78557.69,84337.075,90107.422,96094.327,102379.269
Australia and New Zealand,183.916,209.26,223.291,231.063,254.789,275.42,287.57,307.999,330.663,357.463,375.605,384.263,402.09,428.543,459.338,484.086,512.85,544.134,572.577,606.046,639.939,671.701,711.118,748.22,800.565,850.596,900.057,963.576,1003.543,1025.094,1061.811,1113.123,1128.05,1241.607,1278.071,1282.102,1356.959,1426.642,1502.514,1561.775,1546.385,1688.359,1865.318,1968.993,2062.395,2151.276,2247.858,2350.746
Caribbean,33.385,37.334,39.657,40.271,41.566,42.819,45.168,46.908,48.604,51.313,54.045,56.086,58.619,59.924,60.639,64.97,68.89,72.519,75.496,79.399,83.693,86.992,90.745,97.682,103.357,110.168,120.714,128.451,133.27,131.678,133.214,138.692,139.48,144.62,146.936,145.316,147.597,155.25,161.633,165.064,156.703,168.246,194.25,215.862,227.214,236.914,246.634,256.703
Central America,69.509,77.238,80.45,84.134,88.851,91.688,95.244,101.676,105.212,112.917,118.742,126.087,138.172,148.964,157.026,167.499,177.107,190.268,202.664,213.777,226.355,236.642,248.53,258.594,275.483,299.75,330.385,362.891,385.937,387.804,412.51,442.165,465.059,495.913,537.874,587.415,635.53,677.542,720.279,756.812,709.162,819.456,912.667,977.515,1041.783,1105.796,1173.092,1244.959
Central Asia and the Caucasus,,,,,,,,,,,,,706.382,731.339,690.237,726.879,780.12,844.272,877.148,878.883,962.825,970.01,1074.187,1169.84,1315.021,1487.868,1667.672,1839.754,1929.586,1915.523,2093.352,2335.774,2505.083,2742.501,2942.468,3074.01,3192.109,3412.695,3606.552,3741.51,3802.762,4235.941,4621.119,4920.96,5234.707,5534.013,5837.238,6157.212
East Asia,1554.162,1782.559,1982.753,2180.81,2429.191,2685.257,2893.584,3188.945,3578.07,3902.552,4250.295,4647.959,5008.975,5374.039,5811.736,6303.831,6812.793,7265.037,7497.18,7931.865,8598.198,9150.568,9766.671,10533.899,11534.996,12737.848,14166.94,15871.662,17047.292,17833.359,19608.321,21326.092,22997.235,24456.939,25522.395,26560.349,27453.401,28789.412,30989.116,32924.593,33592.264,37325.273,41196.174,44316.055,47297.574,50231.754,53279.864,56473.181
Eastern Europe ,,,,,,,,,,,,,2677.801,2600.787,2412.561,2587.035,2616.942,2747.106,2735.602,2873.472,3151.437,3366.683,3566.476,3858.63,4244.095,4626.664,5126.008,5666.703,6050.793,5704.988,5967.53,6352.289,6687.206,7126.677,7230.052,7078.189,7316.737,7863.506,8338.795,8747.519,8570.686,9374.066,9045.543,9371.003,9844.491,10266.606,10680.387,11107.831
Europe,4163.629,4558.812,4872.598,5165.166,5487.211,5803.256,6081.229,6412.233,6898.628,7412.37,7869.254,8205.623,10551.622,10644.733,10849.951,11415.879,11770.724,12342.89,12736.268,13314.938,14243.798,14950.695,15459.323,16110.014,17117.052,18149.89,19506.475,20849.676,21570.624,20657.269,21427.026,22381.442,22999.643,24052.732,24661.182,25051.832,26352.958,27927.818,29250.333,30364.871,28991.109,31825.26,33617.291,35216.246,36799.919,38229.421,39625.928,41028.831
Middle East (Region),891.663,975.484,973.391,984.351,998.445,1007.116,1028.924,1045.265,1100.797,1181.66,1384.664,1565.697,1699.523,1758.384,1833.1,1920.74,2036.988,2135.306,2300.756,2352.231,2549.926,2626.388,2722.357,3074.456,3455.78,3730.82,4064.976,4388.041,4668.671,4704.771,5004.801,5278.835,5406.903,5476.269,5524.243,4837.189,4842.022,5191.316,5379.264,5522.573,5344.872,5760.014,6451.096,6860.875,7224.608,7579.748,7945.763,8338.597
North Africa,330.09,342.624,382.938,410.403,437.185,474.317,483.077,488.062,521.15,564.111,600.012,646.013,662.159,676.448,711.581,726.723,778.107,812.904,867.266,914.236,974.936,1027.69,1076.833,1163.023,1246.887,1358.718,1475.451,1599.667,1662.453,1720.623,1815.796,1758.917,1947.219,1944.133,1896.43,1958.321,1957.482,2009.785,2146.072,2274.032,2230.515,2485.668,2753.604,2956.59,3155.339,3360.316,3577.494,3813.372
North America,3572.562,4038.993,4212.655,4527.735,5005.544,5369.65,5624.847,5956.557,6408.47,6900.472,7307.844,7569.233,7999.8,8415.134,8952.37,9300.234,9839.206,10477.003,11074.089,11747.784,12523.131,12925.295,13339.875,13954.905,14872.307,15846.022,16809.867,17613.072,18000.085,17592.698,18329.26,19058.924,19853.234,20581.031,21464.364,22149.714,22873.885,23843.336,25096.338,26056.102,25309.145,27808.023,30606.42,32251.141,33534.377,34802.22,36095.801,37444.141
Pacific Islands ,5.531,6.199,6.598,6.92,7.416,7.724,8.321,8.499,9.045,9.73,10.12,10.952,12.364,13.778,15.274,15.477,16.653,16.18,16.915,17.765,17.768,18.237,18.699,20.214,21.221,22.464,23.719,25.494,26.128,27.313,29.745,30.949,32.886,34.874,39.39,42.447,44.778,47.408,48.994,51.377,48.69,50.768,56.472,61.055,64.953,68.496,71.994,75.683
South America,1094.326,1168.21,1234.196,1244.364,1345.711,1439.476,1572.567,1673.117,1748.625,1806.344,1847.351,1981.556,2084.532,2230.353,2387.646,2525.913,2641.935,2815.704,2882.051,2883.18,3041.505,3136.146,3184.149,3310.352,3643.376,3948.719,4300.125,4712.755,5042.34,5021.545,5416.226,5800.389,5964.397,6255.181,6366.074,6202.579,6143.898,6422.992,6590.612,6655.607,6278.102,7001.062,7607.518,8000.999,8402.382,8773.591,9156.201,9558.401
South Asia,515.061,597.715,660.957,733.105,790.257,861.653,922.613,984.162,1103.696,1210.292,1322.347,1398.237,1508.795,1611.475,1747.699,1906.994,2084.344,2204.352,2349.476,2558.562,2727.083,2908.286,3066.081,3353.139,3704.09,4159.435,4653.616,5203.209,5526.719,5952.088,6561.229,7118.911,7762.994,8177.827,8592.533,9074.225,9752.653,10431.253,11369.532,12036.73,11507.855,12985.846,14828.02,16269.743,17782.11,19367.244,21000.259,22710.981
Southeast Asia,456.575,532.214,587.903,639.048,692.444,738.202,790.121,865.96,971.084,1100.94,1237.009,1371.24,1496.07,1649.976,1815.287,2000.863,2188.949,2314.658,2191.92,2294.904,2484.413,2623.459,2800.652,3020.472,3300.8,3598.636,3932.201,4303.871,4610.889,4749.238,5158.18,5524.504,6012.338,6311.302,6582.97,6741.129,7091.857,7538.021,8125.739,8657.27,8469.372,9075.886,10135.809,11020.884,11895.336,12754.639,13657.115,14611.467
Sub-Saharan Africa (Region) ,363.559,411.306,439.707,455.747,486.408,507.059,533.349,561.841,604.396,644.285,858.143,891.632,914.247,950.101,986.52,1048.292,1117.604,1175.597,1249.246,1297.286,1380.458,1478.919,1590.204,1698.345,1857.667,2032.796,2221.576,2426.471,2606.07,2702.474,2914.137,3138.113,3213.504,3423.156,3675.778,3759.252,3912.689,4037.009,4255.649,4453.427,4421.694,4803.128,5291.847,5667.587,6050.922,6438.662,6843.245,7285.683
Western Europe,3760.192,4130.643,4416.693,4670.506,4960.576,5251.503,5500.949,5803.183,6259.337,6748.214,7224.514,7607.982,7873.821,8043.945,8437.39,8828.844,9153.782,9595.785,10000.665,10441.466,11092.36,11584.012,11892.847,12251.384,12872.956,13523.227,14380.468,15182.973,15519.831,14952.281,15459.496,16029.153,16312.437,16926.055,17431.13,17973.643,19036.221,20064.312,20911.538,21617.352,20420.423,22451.195,24571.748,25845.243,26955.428,27962.815,28945.541,29920.999
Western Hemisphere (Region),4769.781,5321.775,5566.958,5896.504,6481.672,6943.633,7337.827,7778.258,8310.911,8871.046,9327.982,9732.963,10281.122,10854.375,11557.681,12058.616,12727.138,13555.494,14234.3,14924.141,15874.684,16385.074,16863.299,17621.534,18894.523,20204.659,21561.091,22817.168,23561.633,23133.725,24291.21,25440.17,26422.171,27476.745,28515.248,29085.024,29800.91,31099.12,32568.862,33633.585,32453.113,35796.787,39320.855,41445.518,43205.756,44918.522,46671.728,48504.204
ASEAN-5,431.958,502.268,553.903,600.836,649.434,680.683,731.093,796.516,893.263,1013.345,1139.14,1263.931,1379.3,1519.552,1669.144,1841.577,2015.751,2126.444,1968.832,2054.77,2215.79,2342.546,2500.485,2695.097,2932.878,3187.168,3467.016,3783.169,4062.188,4189.436,4530.752,4845.437,5280.402,5547.711,5787.359,5919.831,6244.284,6634.421,7157.667,7639.255,7456.742,8025.881,8982.142,9795.208,10601.14,11394.649,12228.177,13108.779
Advanced economies,8411.268,9388.722,9986.546,10704.647,11624.68,12435.748,13100.512,13932.073,15109.056,16322.181,17445.354,18309.013,19179.238,19942.629,21042.229,22276.099,23371.021,24604.595,25562.501,26844.146,28575.109,29677.792,30630.469,31861.982,33780.616,35813.583,38039.59,40125.379,41018.445,39887.05,41622.736,43221.174,44539.886,46344.983,47854.929,49428.329,51292.635,53609.274,56137.808,58136.108,56121.852,61466.652,67447.346,71104.537,74086.607,76890.619,79680.017,82532.935
Emerging and Developing Asia,1181.021,1368.365,1526.174,1695.672,1883.474,2079.816,2250.508,2473.751,2799.702,3091.559,3394.143,3722.093,4138.483,4614.453,5149.354,5724.896,6319.397,6817.115,7077.219,7637.172,8313.935,9009.491,9753.889,10768.065,11985.121,13499.367,15304.683,17459.722,19074.921,20640.403,22891.661,25196.455,27692.289,29501.058,31055.437,32308.009,34112.511,36273.706,39523.695,42353.479,42459.509,47397.754,53075.051,57745.158,62495.544,67298.916,72309.628,77573.613
Emerging and Developing Europe,,,,,,,,,,,,,3088.92,3004.733,2793.235,2834.929,2893.106,3063.304,3068.022,3185.011,3510.15,3679.129,3914.961,4236.718,4688.467,5135.561,5683.346,6252.825,6642.987,6290.294,6644.893,7174.196,7587.854,8147.428,8375.145,8361.087,8656.027,9311.808,9860.423,10290.02,10218.222,11343.072,11199.561,11648.561,12265.553,12820.672,13379.714,13960.24
Emerging market and developing economies,4981.887,5531.079,5910.259,6215.876,6680.958,7126.69,7548.439,8027.48,8655.931,9282.898,10187.493,10960.228,14064.111,14750.561,15436.176,16332.498,17455.463,18606.537,19330.868,20247.033,21886.808,23157.387,24544.886,26679.883,29502.963,32558.777,36178.311,40214.359,43248.838,44589.554,48410.047,52321.568,55990.404,59108.412,61495.028,62140.154,64570.42,68415.123,73227.937,77210.31,76365.281,84657.765,92796.818,99725.893,106832.446,113903.191,121248.848,128996.991
European Union,3468.762,3798.54,4055.211,4285.737,4551.123,4797.531,5023.938,5280.944,5673.301,6104.951,6497.612,6801.126,7099.344,7275.923,7627.123,8176.744,8487.579,8856.311,9220.119,9615.98,10217.828,10684.831,10986.026,11327.284,11950.255,12584.135,13452.807,14278.975,14679.317,14146.406,14614.488,15190.617,15420.571,15968.719,16446.305,16995.738,18076.125,19133.593,20026.436,20789.401,19780.899,21706.048,23730.275,25053.276,26215.512,27252.183,28273.813,29311.958
Latin America and the Caribbean,1601.563,1763.113,1861.658,1877.611,2021.317,2148.715,2281.231,2414.037,2523.534,2642.522,2753.313,2953.648,3117.851,3319.038,3548.301,3660.575,3868.872,4144.666,4294.063,4357.847,4619.528,4751.078,4834.326,5022.739,5469.323,5885.57,6396.027,6932.058,7342.785,7238.925,7768.202,8292.566,8581.705,8960.205,9224.112,9165.955,9310.415,9728.37,10059.746,10206.093,9586.979,10655.373,11605.12,12246.344,12854.688,13428.536,14020.882,14643.539
Major advanced economies (G7),6773.531,7561.887,8020.751,8610.735,9364.866,10026.975,10543.666,11183.965,12123.458,13075.568,13942.323,14582.809,15229.87,15766.432,16583.933,17353.106,18157.085,19059.862,19818.691,20730.721,21991.895,22760.969,23384.206,24286.018,25659.029,27133.825,28689.474,30067.985,30626.469,29675.15,30902.849,32059.167,33108.635,34422.555,35562.137,36647.776,37910.503,39517.819,41307.435,42722.256,41114.59,44993.476,49365.287,51940.055,53950.765,55893.76,57814.156,59769.811
Middle East and Central Asia,1293.3,1401.759,1453.071,1501.357,1548.49,1607.188,1650.612,1683.065,1787.654,1926.84,2184.251,2431.042,2858.8,2919.266,3018.534,3130.093,3327.549,3481.588,3724.655,3856.686,4157.931,4345.531,4565.93,5078.036,5636.187,6151.527,6734.417,7317.795,7766.229,7898.198,8380.951,8709.203,9072.658,9240.524,9353.441,8737.633,8823.264,9282.634,9748.964,10128.618,9895.479,10686.024,11869.342,12679.746,13449.631,14225.506,15029.994,15894.995
Other advanced economies,762.701,869.279,941.834,1015.534,1121.016,1206.134,1296.588,1412.461,1539.699,1673.083,1808.9,1936.426,2056.934,2192.159,2375.419,2697.449,2878.972,3065.156,3126.073,3342.195,3619.194,3794.59,4002.835,4194.451,4531.503,4866.281,5257.841,5677.627,5891.329,5877.071,6294.218,6643.806,6857.951,7196.333,7440.358,7695.996,8010.433,8396.47,8834.575,9167.989,9080.475,9932.607,10883.879,11538.706,12120.028,12653.994,13200.022,13765.001
Sub-Saharan Africa,343.377,387.818,413.739,429.17,460.421,480.417,503.472,529.246,569.203,607.192,813.63,841.143,860.057,893.07,926.752,982.005,1046.539,1099.863,1166.908,1210.319,1285.264,1372.158,1475.779,1574.326,1723.865,1886.752,2059.839,2251.959,2421.916,2521.734,2724.339,2949.148,3055.898,3259.197,3486.893,3567.47,3668.202,3818.605,4035.109,4232.1,4205.092,4575.542,5047.744,5406.083,5767.029,6129.562,6508.63,6924.605
World,13393.156,14919.801,15896.804,16920.524,18305.638,19562.438,20648.951,21959.554,23764.986,25605.078,27632.847,29269.241,33243.349,34693.19,36478.405,38608.597,40826.484,43211.132,44893.369,47091.18,50461.918,52835.18,55175.355,58541.865,63283.578,68372.36,74217.901,80339.738,84267.283,84476.604,90032.782,95542.742,100530.29,105453.395,109349.957,111568.483,115863.055,122024.396,129365.745,135346.419,132487.132,146124.418,160244.164,170830.429,180919.052,190793.811,200928.865,211529.926
