General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Eritrea,,,,,,,,,,,,,6.9,4.2,8.7,-22.9,-18.4,-5.6,-40.3,-59.7,-36.5,-39.3,-34.1,-22.2,-21.5,-28.7,-18.2,-20.2,-31.6,-21,-17.7,-6,-5.6,-8,-0.4,-3.1,-1.7,-6,4.2,0.6,-4.4,-4,-1,0.1,0.8,0.9,0.9,1
Estonia,,,,,,,,,,,,,,,,-0.2,-0.9,3,0.7,-3.4,-0.1,0.2,0.4,1.8,2.4,1.1,2.9,2.7,-2.6,-2.2,0.2,1.1,-0.3,0.2,0.7,0.1,-0.4,-0.7,-0.6,0.1,-5.6,-2.4,-3.8,-3.6,-3,-2.5,-2,-1.5
Eswatini,5.1,-3.4,0.1,-0.4,1,-1.1,-2.3,2,3.4,5.7,5.3,3.2,-2.7,-3.1,-3.3,0.8,-0.9,2,1,-1.2,-1.2,-2.2,-3.6,-2,-3.9,-1.6,8.4,2.3,1.5,-2.9,-9.1,-3.8,3.3,0.6,-2.7,-6,-9,-6.8,-9.5,-7,-5.4,-5.7,-5.8,-2.6,-1.9,-1.1,-0.9,-0.6
Ethiopia,-2.6,-2.2,-3.6,-7.6,-3.7,-4.7,-4,-3.5,-3.5,-4.3,-6.9,-6,-4.9,-4.1,-5.4,-2.8,-3.9,-1.8,-3.6,-8.5,-8.9,-3.8,-5.8,-5.6,-2.7,-4.1,-3.8,-3.6,-2.9,-0.9,-1.3,-1.6,-1.2,-1.9,-2.6,-1.9,-2.3,-3.2,-3,-2.5,-2.8,-2.8,-4,-3.3,-2.8,-2.5,-2.5,-2.5
Fiji,,,,,,,,,,,,,-2.2,-1.9,-0.2,0.8,-3.5,-4.5,5.4,1.2,-1.3,-4.5,-3.7,-3.5,-1,-1.2,-0.8,0.3,1.3,-2.9,-1.3,-0.7,-0.7,-0.1,-3.5,-3.9,-5.7,-2.1,-4.4,-3.6,-7.9,-12.9,-13.3,-8.9,-4.8,-3.5,-3,-2.7
Finland,2.9,4.8,2.4,0.4,2.7,2.6,3.3,0.7,4.9,7.1,6.6,0.3,-4.9,-8.1,-6.4,-6,-3.4,-1.3,1.5,1.6,6.7,4.9,4,2.3,2.2,2.6,3.9,5.1,4.2,-2.5,-2.5,-1,-2.2,-2.5,-3,-2.4,-1.7,-0.7,-0.9,-0.9,-5.4,-2.8,-2.5,-1.6,-1.4,-1.2,-1.2,-1.2
France,-0.4,-2.4,-2.8,-2.5,-2.7,-3,-3.2,-2,-2.6,-1.8,-2.4,-2.9,-4.6,-6.4,-5.4,-5.1,-3.9,-3.7,-2.4,-1.6,-1.3,-1.4,-3.2,-4,-3.6,-3.4,-2.4,-2.6,-3.3,-7.2,-6.9,-5.2,-5,-4.1,-3.9,-3.6,-3.6,-3,-2.3,-3.1,-9.1,-7,-5.6,-3.8,-3.4,-3.3,-3.3,-3.3
Gabon,,,,,,,,,,,-3.8,-2,-4.9,-5.4,-1.5,2.6,2.1,1.4,-13.1,1.1,11.1,4.1,3.7,7.8,7,8,8.7,8.1,11,6.8,2.7,1.7,6.2,-3.1,6,-1.1,-4.7,-1.7,-0.2,2.1,-2.2,-1.5,1.6,3.5,2.9,2.4,2.4,2.3
"Gambia, The",,,,,,,,,,,,,,,,,,,,,-0.1,-2.5,0.1,-1.7,-1.8,-3.3,-3.2,0.3,-0.5,-1.6,-2.9,-3,-2.8,-5.1,-3.9,-5.4,-6.2,-4.3,-5.7,-2.5,-2.2,-4.4,-4.4,-2.3,-1.5,-0.7,-0.4,-0.4
Georgia,,,,,,,,,,,,,,,,-4.9,-5.9,-6.6,-4,-4.7,-1.9,-0.7,-0.2,-0.5,3.6,2.1,3.3,0.8,-1.9,-6.4,-4.5,-0.8,-0.7,-1.3,-1.8,-1.2,-1.5,-0.5,-0.8,-1.8,-9.3,-6,-3.9,-2.6,-2.2,-2.2,-2.1,-2
Germany,,,,,,,,,,,,-3.2,-2.6,-3.1,-2.5,-9.4,-3.6,-2.9,-2.6,-1.7,-1.6,-3,-3.9,-3.7,-3.3,-3.3,-1.7,0.3,-0.1,-3.2,-4.4,-0.9,0,0,0.6,1,1.2,1.3,1.9,1.5,-4.3,-3.7,-3.3,-0.7,-0.1,0.3,0.4,0.4
Ghana,-4.9,-3.9,-2,-1.2,-1,-1.2,-1.4,-1,-1.2,-0.9,-2.1,-1.6,-4.9,-5.9,-5.4,-4.9,-6,-6.6,-5.7,-6.1,-4.3,-3.9,-2.9,-2.1,-2.2,-2,-3.3,-5.3,-5.9,-5.3,-7.5,-5.5,-8.3,-9.1,-7.8,-4,-6.7,-4,-6.8,-7.3,-15.6,-11.6,-8.7,-7.8,-7.7,-7.4,-7.4,-7.1
Greece,-2.5,-7,-5.5,-6.1,-7.2,-9.5,-8.6,-8,-9.6,-11.8,-13.2,-9.6,-10.6,-11.4,-8.4,-9.8,-8.2,-6.1,-6.3,-5.8,-4.1,-5.5,-6.1,-7.9,-8.9,-6.2,-6,-6.8,-10.3,-15.3,-11.3,-10.5,-6.7,-3.8,-4.1,-3,0.3,0.9,0.8,0.2,-10.9,-8.7,-4.8,-1.8,-1.3,-1.1,-1.1,-0.9
Grenada,,,,,,,,,,,-7.8,-4.3,-1.5,-0.2,-2.8,-0.5,-3,-4.9,-2.4,-2.4,-2.2,-6.1,-14,-3.3,-0.6,0.9,-5.3,-5.9,-3.8,-4.8,-3.2,-4.7,-5.4,-6.8,-4.2,-0.8,2.7,3,4.6,5,1.2,0.3,-3.4,1.7,2.2,2,2.3,2.4
Guatemala,,,,,,,,,,,,,,,,-0.5,0,-0.8,-2.3,-3,-1.9,-2,-1,-2.5,-1,-1.7,-1.9,-1.4,-1.6,-3.1,-3.3,-2.8,-2.4,-2.2,-1.9,-1.5,-1.1,-1.4,-1.9,-2.2,-4.9,-1.2,-2.4,-2,-1.9,-1.9,-1.8,-1.8
Guinea,,,,,,,,,,,-3.9,-3.2,-2.3,-2.6,-2.6,-1.9,-2.2,-2.1,-0.5,-2.2,-2.5,-3.3,-3.5,-4.7,-3.9,-1.1,-2.2,1.3,0.4,-4.9,-9.7,-0.9,-2.5,-3.9,-3.2,-6.9,-0.1,-2.1,-1.1,-0.5,-2.9,-1.5,-4.4,-4.2,-3.6,-3.6,-3.2,-2.7
Guinea-Bissau,,,,,,,,,,,,1.6,-0.3,-0.3,-5.5,2.4,3.5,-2.6,-6,-4.1,-2.8,-1.8,-3.7,-5.6,-5.9,-5,-4.6,-8.8,-0.7,2.7,-0.2,-1.4,-2.1,-1.7,-2.4,-3.2,-5.3,-1.3,-4.9,-4,-10,-5.9,-4.1,-4,-3.5,-3,-3,-3
Guyana,,,,,,,,,,,,,,,,,,-1.7,-2.7,-0.5,-2.3,-3.7,-2.4,-4.8,-2.9,-6.5,-6.2,-3.4,-2.8,-2.7,-2.1,-2.3,-3.3,-2.3,-4.1,-0.9,-3.3,-3.3,-2.8,-2.8,-7.9,-7.4,0.1,0,0,0,0,0
Haiti,,,,,,,,,,,,,,,,,,0.4,0.2,-1.5,-1.4,-1.5,-1.8,-2.2,-1.3,-0.8,-0.9,-1.5,-1.8,-2,-1.5,-1.4,-2.7,-4,-3.6,-1.5,0,0.1,-1,-2.1,-2.4,-2.5,-1.1,-1.6,-2.1,-2.3,-2.4,-2.4
Honduras,,,,,,,,,,,-2.2,-2.2,-1.5,-5.2,-1,-0.2,0.1,0.1,2.9,1.4,1.5,-3.1,-5,-5.1,-2.5,0,-1.4,-0.3,-0.3,-4.9,-3.4,-2.9,-3.5,-5.7,-2.9,-0.8,-0.4,-0.4,0.2,0.1,-4.6,-2.8,-2.1,-0.4,-0.1,0,-0.1,-0.2
Hong Kong SAR,,2.8,-0.4,-1.1,0.9,1,1.8,3,3.3,2,0.6,3.1,2.6,2,1,-0.3,2,6.3,-1.8,0.8,-0.6,-4.8,-4.8,-3.2,-0.3,1,4,7.3,0.2,1.7,4.1,3.8,3.1,1,3.6,0.6,4.4,5.5,2.3,-0.6,-9.2,-0.2,-3.2,-0.8,-0.4,0.6,0.7,0.7
Hungary,,,,,,,,,,,,,,,,-8.6,-4.4,-5.5,-7.5,-5.1,-3,-4.1,-8.8,-7.1,-6.3,-7.8,-9.3,-5,-3.6,-4.6,-4.4,-5.2,-2.3,-2.6,-2.8,-2,-1.8,-2.4,-2.1,-2.1,-8.1,-6.8,-5.4,-3.9,-2.9,-2.1,-0.9,0.8
Iceland,1.4,1.3,1.7,-2,2.2,-1.6,-3.9,-0.8,-1.9,-4.3,-3.2,-0.7,-1.9,-4.4,-4.6,-2.9,-1.5,0,-0.6,1.3,1.4,-0.3,-2.3,-2.3,0.3,5,6.4,5.6,-12.1,-8.6,-6.7,-6.5,-2.6,-1.2,0.3,-0.4,12.5,1,0.9,-1.5,-8.7,-8.9,-5.1,-3.3,-2.2,-1.5,-1,-0.7
India,,,,,,,,,-6.9,-7.5,-7.9,-7.8,-7.8,-8.4,-7.9,-6.7,-6.6,-8.1,-9.6,-8.6,-8.3,-10.8,-10.9,-11.2,-9.1,-7.4,-6.3,-4.5,-9,-9.5,-8.6,-8.3,-7.5,-7,-7.1,-7.2,-7.1,-6.2,-6.4,-7.5,-12.8,-10.4,-9.9,-9.1,-8.5,-8,-7.7,-7.5
Indonesia,,,,,,,,,,,,,,-0.6,0,0.6,1,-1,-1.9,-1,-1.9,-1.8,-0.6,-1.1,-0.3,0.4,0.4,-0.9,0.1,-1.6,-1.2,-0.7,-1.6,-2.2,-2.1,-2.6,-2.5,-2.5,-1.8,-2.2,-6.1,-4.6,-4,-2.9,-2.9,-2.6,-2.4,-2.2
Iran,,,,,,,,,,,-2.1,-2,-1,-6.3,-4.1,-3.2,-0.9,-2.2,-6.1,-0.6,6.6,0,-3.5,-3.4,-3,-2.9,-5.9,-2.9,-5.1,-3.8,-1,-0.8,-0.6,-0.8,-1,-1.5,-1.8,-1.6,-1.6,-4.5,-5.1,-4.5,-4,-6.8,-7.5,-7.9,-8.1,-8.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,-35.4,4.1,10.7,7.8,-0.9,-12.8,-4.2,4.7,4.1,-6.1,-5.6,-12.8,-14.5,-1.5,7.8,0.8,-12.8,1.9,11.9,8.4,5.9,4,1.8,0.6
Ireland,,,,,,,,,,,,,,,,-2.1,-0.2,1.4,2.1,3.5,4.9,1,-0.5,0.3,1.3,1.6,2.8,0.3,-7,-13.9,-32.1,-13.6,-8.5,-6.4,-3.6,-2,-0.8,-0.3,0.1,0.5,-4.9,-2,-1.4,-0.6,-0.4,0,0,0
Israel,,,,,,,,,,,,,,,,,,,,,-0.9,-3.9,-8.2,-5,-3.5,-2.7,-0.9,-0.3,-3.4,-6.2,-3.4,-2.9,-4.3,-4,-2.3,-1.2,-1.7,-1.1,-3.6,-3.9,-10.8,-4.2,-3.3,-3.1,-3.1,-3,-3,-3
Italy,,,,,,,,,-10.5,-10.9,-11.1,-11,-10,-9.7,-8.8,-7.2,-6.6,-3,-3,-1.8,-2.4,-3.2,-2.9,-3.2,-3.5,-4.1,-3.6,-1.3,-2.6,-5.1,-4.2,-3.6,-2.9,-2.9,-3,-2.6,-2.4,-2.4,-2.2,-1.5,-9.6,-7.2,-6,-3.9,-3.3,-3,-2.8,-2.5
Jamaica,,,,,,,,,,,2.1,3.2,2.9,2.4,2.5,1.6,-5.4,-6.6,-5.9,-3.5,-0.8,-4.9,-6.7,-5.6,-4.7,-3.3,-4.9,-3.8,-7.5,-11.1,-6.3,-6.4,-4.1,0.1,-0.5,-0.3,-0.2,0.5,1.2,0.9,-3.1,0.3,0.3,0.3,0.3,2.4,2.4,2.5
Japan,-4.4,-3.9,-3.8,-4,-2.6,-1.4,-1.4,-0.4,0.5,1.2,2,1.7,0.6,-2.4,-3.8,-4.3,-4.9,-3.5,-10,-6.7,-7.3,-6.2,-7.3,-7.4,-5.3,-4.4,-3,-2.9,-4.1,-9.7,-9.1,-9,-8.2,-7.6,-5.6,-3.7,-3.6,-3.1,-2.5,-3,-9,-7.6,-7.8,-3.5,-2.5,-2.5,-2.6,-2.8
Jordan,,,,,,-6.7,-2.3,-13.1,-12.7,-6.7,-7.3,-9.9,1.8,-2.1,-2.3,-1.7,-3.2,-2.9,-5.4,-2.7,-4,-2.8,-4.5,-2.5,-1.1,-5.4,-3.9,-5.1,-4.8,-8.8,-7.8,-9.8,-14.3,-10.1,-8.5,-8.4,-3.7,-3.6,-4.7,-6,-8.6,-7.9,-6.5,-4.9,-3.7,-1.8,-1.6,-1.5
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,1.9,4,3.3,6.1,7.7,5.1,1.2,-1.3,1.5,5.8,4.4,4.9,2.5,-6.3,-4.5,-4.3,2.6,-0.6,-7,-4.1,-0.5,-0.5,-0.4,-0.3,-0.7,-1
Kenya,,,-2,-1.4,-1.7,-2,-2,-1.5,-1.3,-1.6,-2.1,-4.3,-5.4,-5.6,-2.7,-0.2,-0.3,-0.6,0,0.6,0.3,-0.4,-0.9,-0.5,0.4,-0.1,-0.3,-0.7,-1.7,-3.1,-3.7,-3.6,-5.3,-5.4,-5.9,-6.7,-7.5,-7.4,-6.9,-7.4,-8.1,-8.1,-6.9,-5.3,-4.5,-4.3,-4,-3.8
Kiribati,,,,,,,,,,,-3.9,3.4,1,7.9,0.9,-6.3,-24.7,7.1,16.6,-2,0,-11.2,3.2,-9.5,-19.5,-10.1,-12.5,-13,-16.5,-9.1,-8.3,-19.4,-6.3,12.4,39.2,47.6,23.5,40.2,-1.7,3.1,3.7,-16.5,-16.9,-14.4,-12.8,-13.7,-13.2,-13.9
"Korea, Republic of",,,,,,,,,,,,,,,,2.2,2.4,2.4,1.1,1.2,4,2.5,3.3,1.6,0.1,1,1.2,2.6,1.6,0.2,1.7,1.8,1.7,0.8,0.6,0.5,1.6,2.2,2.6,0.4,-2.2,-0.6,-1.6,-1.1,-1.1,-1.2,-1.1,-1.2
Kosovo,,,,,,,,,,,,,,,,,,,,,-3.2,2.9,3.4,1.6,-4.6,-2.3,2.6,6.7,0,1.6,-1,-1,-2.4,-3.4,-2.7,-2.1,-1.7,-1.4,-2.9,-2.9,-7.9,-1.6,-3.1,-2.6,-2.4,-2.4,-2.5,-2.4
Kuwait,,,,,,,,,,,-32,-151.3,-49.6,-15.7,-9.1,-1.9,11.6,17.2,6.9,15.2,31.6,28.7,19.3,17.3,22.2,43.3,31.9,37.4,20.2,27.5,26,33.3,32.5,33.8,21.5,4.5,0.8,2.4,7.3,3.1,-12.8,-0.5,16.6,18.3,14.6,12,9,6.6
Kyrgyz Republic,,,,,,,,,,,,,,,,-13.5,-9.1,-9.3,-12,-13.5,-10.7,-6.7,-5.9,-5.2,-4.9,-3.8,-2.1,1.3,1.9,0.4,-5.9,-4.7,-5.9,-3.7,-3.1,-2.5,-5.8,-3.7,-0.6,-0.1,-3.3,-1.3,-1.2,-1.4,-1.5,-1.3,-1.2,-1.2
Lao P.D.R.,,,,,,,,,,,,,,,,,,,,,-3.6,-3.7,-2.8,-3.9,-1.8,-2.5,-1.5,-1.1,-1.9,-3.1,-1.5,-1.4,-2.3,-4,-3.1,-5.6,-4.9,-5.5,-4.7,-3.3,-5.6,-5.5,-5.2,-4.8,-4.5,-4.4,-3.7,-4.1
Latvia,,,,,,,,,,,,,,,,,,,-0.6,-3.4,-2.5,-2,-2.5,-1.6,-1,-1,-0.5,0.6,-3.1,-6.9,-6.4,-3.3,0.2,-0.6,-1.7,-1.5,-0.4,-0.8,-0.7,-0.4,-3.9,-5.5,-6.4,-1.2,-0.9,-0.7,-0.6,-0.4
Lebanon,,,,,,,,,,,-30.2,-19.5,-24,-7.2,-29.1,-13.6,-25.7,-24.5,-17.3,-16.7,-23.9,-21,-16.2,-14,-9.8,-8.6,-10.6,-10.9,-9.9,-8.1,-7.5,-5.9,-8.4,-8.8,-6.2,-7.5,-8.8,-8.6,-11.2,-10.3,-5.8,,,,,,,
Lesotho,,,-1.9,1.9,4.9,1.8,1,-2.7,-1.8,4,8.9,9.8,4.7,7.6,5.7,5.1,2.1,0.3,-11.8,-15.3,-1,-2.7,-2.4,0.9,6.1,4.4,11.5,9.5,3.6,-6.2,-3.4,-10,4.2,-3.1,3,-1.4,-8.9,-1.1,-4.8,-7.5,0.3,-6.9,-7.8,-6.1,-4.9,-3.2,-1.1,-0.5
Liberia,,,,,,,,,,,,,,,,,,,,,-0.1,-0.9,-1.6,0.4,-0.6,-0.5,4.2,2.3,-2.7,-1.4,1.2,-4.4,-2.9,1.3,-3.8,-4.6,-3.8,-7.1,-4.5,-4.8,-3.8,-2.9,-2.9,-2.7,-2,-1.9,-2.5,-2.3
Libya,,,,,,,,,,,3.5,8.7,0.1,-6,-2.8,3.9,11.7,-2.2,-2.4,5.9,14.1,0.1,7.2,6.4,11.7,31.4,31.8,28.6,32.5,-6.5,12.5,-17.2,28.6,-23.7,-72.1,-80.6,-78.8,-24.7,17.1,21.1,-54.5,13.8,25.8,17.3,12.3,9.3,7.2,4.3
Lithuania,,,,,,,,,,,,,,,,-4,-4.2,-1.7,-5.6,-8.3,-4,-3.6,-1.8,-1.3,-1.5,-0.5,-0.4,-1,-3.3,-9.3,-6.9,-8.9,-3.1,-2.6,-0.7,-0.2,0.3,0.5,0.6,0.3,-7.3,-3,-3.6,-2.6,-2.5,-2.4,-2,-2
Luxembourg,,,,,,,,,,,,,,,,2.7,2.4,2.7,3,3.2,5.6,5.6,2,0.3,-1.4,-0.2,1.9,4.4,3.4,-0.2,-0.3,0.7,0.5,0.8,1.3,1.3,1.9,1.3,3,2.4,-3.8,0.6,-0.4,-0.1,0.1,0.1,0,-0.1
Macao SAR,,,,,,,,,,,,,,,,,,,,,,3.3,2.7,4.8,7.8,8.3,9.7,16.4,17.5,13.4,19.4,24.7,24,27,24.2,13.8,11.4,13.3,13.3,14.4,-21.2,-16.6,-10.2,5,11.7,12.2,12.1,13.9
Madagascar,-11,-10,-7,-6,-6.1,-2.4,-2.2,-2.1,-0.6,-3.3,-0.5,-4.4,-5,-6.3,-7.2,-5.1,-4,-2,-5.3,-2.4,-2.4,-3.6,-4.1,-3.3,-4.2,-2.5,-5.7,-2.3,-1.7,-2.3,-0.8,-2,-2.2,-3.4,-2,-2.9,-1.1,-2.1,-1.3,-1.4,-4,-6.3,-6.3,-4.1,-3.9,-3.2,-3.4,-3.3
Malawi,,,,,,,,,,,,,,,,,,,,,,,-4.5,-2.6,-2.6,-1.6,0,-2.6,-2.9,-3,0.6,-2.8,-1.5,-3.7,-3.1,-4.2,-4.9,-5.1,-4.3,-4.5,-8.2,-8.5,-7.8,-7.5,-6.9,-6.6,-5.9,-5
Malaysia,,,,,,,,,,,0.1,1.6,1.8,3.4,5.4,3.1,3.3,4.8,-0.6,-3,-6.1,-4.4,-4,-4.6,-3.4,-2.8,-2.6,-2.6,-3.4,-5.9,-4.3,-3.6,-3.1,-3.5,-2.6,-2.5,-2.6,-2.4,-2.6,-2,-4.6,-5.5,-4.9,-3.3,-3,-2.9,-2.9,-2.9
Maldives,,,,,,,,,,,-12.8,-10.2,-12.6,-13.9,-4.8,-5.7,-2,-1.5,-2.3,-3,-3.9,-4,-4,-3.4,-2.3,-7.8,-4.5,-3.2,-9.9,-17.9,-13.5,-6.8,-6.9,-3.5,-2.4,-6.5,-10,-3.1,-5.3,-6.7,-23.5,-15.1,-13.5,-8.5,-9.8,-6.6,-6.3,-5.7
Mali,,,,,,,,,,,,,,,,,,,,,-2.6,-2.8,-3.1,-1.2,-2.4,-2.8,27.8,-2.8,-2,-3.7,-2.6,-3.4,-1,-2.4,-2.9,-1.8,-3.9,-2.9,-4.7,-1.7,-5.4,-4.9,-4.5,-3.5,-3,-3,-3,-3
Malta,,,,,,,,,,,,,,,,,,,,,-5.8,-6.5,-5.6,-9.1,-4.4,-2.6,-2.5,-2.1,-4.1,-3.2,-2.3,-2.4,-3.4,-2.3,-1.7,-1,0.9,3.1,1.9,0.4,-9.9,-9.3,-7.4,-4.3,-3,-2.7,-2.3,-2.1
Marshall Islands,,,,,,,,,,,,,,,,,,7.8,13.3,8.9,7.9,7.9,5.1,10.6,-1.6,-22.5,0.2,0.3,3.6,1.5,3.5,2.1,-0.8,-0.2,3.3,2.8,3.9,4.4,2.5,-1.8,5,3.8,-1,-2.1,-3.9,-4.2,-4.6,-4.8
