General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,-3.2,2,-1.4,-3.3,-3.6,-0.5,0.1,1.7,-0.7,-2.6,-2.4,0.1,0.5,3.3,2.6,2.9,0.7,0.1,0,0.2,0.9,1.4,0.9
Mauritius,,,,,,,,,,,,,,,,,,,,,-4.2,-5.4,-5,-4.6,-4.3,-4.3,-3.9,-3,-2.7,-3.4,-3,-3,-1.8,-3.4,-3.1,-3.6,-2.8,-1.7,-2.2,-8.4,-10.9,-7.2,-4.9,-5.2,-4.1,-2.6,-2,-1.9
Mexico,,,,,,,,,,,-3.3,1.6,2.4,-1.6,-2.4,-2.4,-3.8,-3.6,-4.8,-4.7,-2.8,-2.7,-2.3,-2.4,-1.4,-1.5,-1.3,-1.5,-0.7,-4.1,-4,-3.3,-3.7,-3.7,-4.5,-4,-2.8,-1.1,-2.2,-2.3,-4.4,-3.8,-3.2,-3.2,-2.9,-2.8,-2.8,-2.8
"Micronesia, Fed. States of",,,,,,,,,,,,,,,,-0.5,2.4,2.6,-3.3,-5.2,-3.5,-5.4,7.1,2.6,-3.8,-5.6,-5.4,-3.5,-1.5,1.9,0.5,-0.6,0.9,2.9,11.1,10.3,7.3,14.2,24.2,17,0.2,1,0.8,1.1,-4.2,-5,-5.2,-5.2
Moldova,,,,,,,,,,,,,,,,-2.6,-7.4,-7.5,-1.5,-2.6,-3.5,-0.3,-1.2,0.5,0.6,1.4,-0.4,0.1,-0.9,-6.4,-2.2,-2,-1.9,-1.6,-1.6,-1.9,-1.5,-0.6,-0.8,-1.4,-5.3,-2.6,-7.2,-6.2,-5,-4.1,-3.7,-3.4
Mongolia,,-3.1,-2.8,-3.2,-3.5,-3.9,-12.8,-13.7,-14.3,-11.8,-9.4,-6.4,-8.1,-13.3,-9.7,-5,-6.9,-8.1,-12.3,-9.9,-5.8,-4.3,-4.7,-3.4,-1.6,2.4,7.6,2.6,-4.5,-5.2,0.4,-4,-6.2,-0.9,-3.7,-5,-15.3,-3.7,2.9,0.9,-9.2,-3.5,3.4,0.3,-0.9,-1.9,-2.8,-3.2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,-1.4,-4,-2.4,-1.4,4.3,8.4,-2.3,-6.7,-4.9,-6.7,-5.8,-4.5,-0.7,-6,-6.2,-6.8,-6.2,-1.8,-10.9,-1.6,-5.1,-4.8,-5.1,-5.6,-6.1,-6.3
Morocco,,,,,,,,,,,-1.4,-1,-2,-2.2,-2.7,-2.7,0.9,1.6,1.6,3.5,-2.1,-4.1,-4.7,-4.1,-3.6,-5.9,-1.9,-0.1,0.7,-1.8,-4.3,-6.6,-7.2,-5.1,-5.2,-4.9,-4.8,-3.5,-3.7,-3.8,-7.6,-6.5,-6.3,-6.2,-5.3,-4.4,-3.7,-3.4
Mozambique,-1.5,-7.4,-3.6,-15.8,-13.4,-9.7,-12.1,-7.2,-6.5,-4.2,-4.4,-2.1,-2,-2.7,-4.2,-2.6,-2.2,-1.9,-1.1,-0.3,-1.3,-4.6,-3.5,-2.8,-3.3,-2.1,-3.1,-2.3,-2,-4.5,-3.5,-4.4,-3.5,-2.5,-9.9,-6.7,-5.1,-2,-5.6,-0.1,-5.1,-3.6,-3,-3.8,-2.7,-1.6,0.3,1.9
Myanmar,,,,,,,,,,,,,,,,,,,-4.7,-4.2,-5.6,-5.9,-3.7,-3.9,-4.3,-3.3,-3.2,-3.3,-2.6,-3.3,-5,-4.4,-2.6,-1.7,-1.3,-2.8,-3.9,-2.9,-3.4,-3.9,-5.6,-7.8,-6.9,-6.3,-6.2,-5.7,-5.2,-4.8
Namibia,,,,,,,,,,,1,-1.6,-2.8,-3,-0.6,-2,-4.2,-2.7,-3.3,-2.1,-0.8,-2,-1.4,-4.5,-2.7,-0.3,3.3,6,3.5,-0.4,-5,-7.1,-3.1,-4.7,-6.4,-8.3,-9.3,-5,-5.1,-5.5,-8.2,-8.9,-7.8,-5,-4,-3.8,-3.6,-3.3
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,2.7,8.4,1.6,27.8,10.5,21.4,20.1,33.6,29.9,35.7,43.8,16.3,18.1,14.3,11.7,10.2,8.5
Nepal,,,,,,,,,,,,,,,,,,,,,-1.5,-2.3,-2.5,-0.3,-0.1,0.2,0.2,-0.7,-0.3,-2.2,-0.7,-0.7,-1.2,1.6,1.3,0.6,1.2,-2.7,-5.8,-5,-5.3,-4.2,-5.7,-5.1,-4.3,-3.4,-3,-3
Netherlands,-4.2,-5.2,-5.8,-5.6,-6.3,-4.3,-4.2,-5.3,-4.4,-5.1,-4.1,-2.1,-3.1,-3.1,-3.5,-8.7,-1.8,-1.6,-1.3,0.3,1.2,-0.4,-2,-3.1,-1.8,-0.4,0,-0.2,0.1,-5.2,-5.3,-4.5,-4,-3,-2.3,-2.1,0,1.3,1.4,2.3,-4.4,-5.6,-2.6,-2.2,-2.1,-1.7,-1.5,-0.8
New Zealand,,,,,,-7,-5.3,-3.4,-1.9,-2.2,-2.7,-6.1,-6.3,-1.5,2,3.7,2.6,1.2,-0.5,-1.1,0.2,1.3,2.6,3.7,4.5,5.1,4.6,3.6,1.5,-1.8,-5.5,-5,-2.2,-1.3,-0.4,0.3,0.9,1.3,1.3,-2.5,-4,-4.9,-4.9,-1.8,-1.2,-0.4,0.1,0.1
Nicaragua,,,,,,,,,,,,,,,,,,,,,2.2,0.3,2.1,1.3,1.7,1.7,1,1.3,-0.4,-1.5,-0.1,-0.1,-0.1,-0.7,-1.2,-1.5,-1.8,-1.8,-3,-0.3,-2.1,-1.7,-1,-1.9,-2,-2.1,-2.4,-2.6
Niger,,,,,,,,,,,,,,,,-3.2,-0.4,-2.4,-2.2,-4.3,-2.8,-2.6,-2.2,-2.2,-2.8,-1.5,31,-0.7,1.1,-3.9,-1,-2.2,-0.8,-1.9,-6.1,-6.7,-4.5,-4.1,-3,-3.6,-5.3,-5.9,-5.4,-4.2,-3,-3,-3,-3
Nigeria,,,,,,,,,,,-0.7,-1.7,1.3,-8.6,-4.2,3.6,4.7,1.6,-4.9,-2,4.1,-3.2,1.3,-2.2,5.5,4.9,8.8,-1.1,5.7,-5.3,-4.2,0.4,-0.1,-2.7,-2.4,-3.8,-4.6,-5.4,-4.3,-4.7,-5.7,-6,-6.4,-5.9,-5.9,-6.1,-6.3,-6.4
North Macedonia ,,,,,,,,,,,,,,,,,,-0.4,-1.6,0,2.4,-5.9,-5.2,-0.1,0.4,0.2,-0.5,0.6,-0.9,-2.6,-2.4,-2.5,-3.8,-3.8,-4.2,-3.5,-2.7,-2.7,-1.8,-2,-8.2,-5.4,-6.3,-4.4,-3.8,-3.3,-3.1,-2.9
Norway,5.1,4.6,3.7,5.7,6.7,9.5,5.5,4.2,2.4,1.6,2,-0.1,-2.1,-1.6,0,3,6,7.4,3.1,5.7,15.1,13.2,9,7.2,10.9,14.8,18,17.1,18.6,10.2,10.9,13.4,13.8,10.7,8.6,6,4.1,5,7.9,6.6,-2.8,0.9,5.9,5.6,4.4,3.4,2.7,2.1
Oman,,,,,,,,,,,5.5,0.1,-5.6,-7.8,-8.6,-4.5,2.5,5.5,-5,0.3,13.9,8.6,6.1,6.8,6.2,12.8,14,12,16.8,-0.3,5.6,9.4,4.6,3.2,-1.8,-15.6,-22.5,-12,-7.7,-5.6,-16.5,-2.5,5.6,6.3,5.4,4.4,3.9,3.5
Pakistan,,,,,,,,,,,,,,-6.1,-4,-4.3,-4.8,-4.3,-4.9,-3.4,-3.6,-2.7,-2.9,-0.1,-1.4,-2.5,-2.9,-4.5,-6.3,-4.5,-5.3,-6,-7.7,-7.4,-4.3,-4.7,-3.9,-5.2,-5.7,-7.8,-7,-6.1,-5.8,-4.2,-4.2,-3.9,-3.6,-3.4
Palau,,,,,,,,,,,,,,,,,,,,,-12.2,-16.9,-12.8,-2.2,-4.9,1.6,0.1,-2.1,-1.7,-0.9,-1,1.3,1,0.8,3.6,5,3.6,4.8,6.3,0.4,-10.9,-19.8,-12.9,-3.4,-0.7,0,1.6,2.1
Panama,,,,,,,,,,,,,,,-3.3,-2.7,1.6,-0.8,-2.6,-1,-0.6,-2.2,-3.1,-4.4,-4.6,-2.4,0.5,3.2,0.4,-0.9,-1.7,-1.9,-1.4,-2.2,-3.1,-2.4,-2,-2.2,-3.2,-3.4,-10.5,-5.5,-4,-3,-2,-1.5,-1.5,-1.5
Papua New Guinea,,,,-3,-1.1,-1.9,-2.4,0.3,0.3,0.3,-2,-0.6,-4.3,-4.9,-1,1.1,2.1,0.7,-0.2,-1.9,0.3,-1.3,-1.7,0.2,2,2.8,5.3,6.9,2.7,-5.5,3.1,2.2,-1.2,-6.9,-6.3,-4.5,-4.7,-2.5,-2.6,-4.4,-8.6,-7.4,-5.8,-4.7,-3.7,-2.5,-1.3,-0.6
Paraguay,4,0.9,2.3,1,0.3,1.5,3.6,3.2,3.5,6.1,8.1,3.4,3,4.4,4.9,3.2,2.7,3.2,4.3,2.7,-0.4,0.3,-1.9,0,0.9,1,1.7,1.6,2.2,-0.4,0.5,1.4,-1.2,-1.1,-0.6,-1.8,-0.4,-0.9,-1.6,-3.8,-7.2,-6.2,-5,-4,-2.9,-2.7,-2.5,-2.4
Peru,,,,,,,,,,,,,,,,,,,,,-2.1,-2.2,-1.4,-1.6,-1,-0.4,2,3.3,2.5,-1.4,0.1,2,2.1,0.7,-0.2,-2.1,-2.3,-2.9,-2,-1.4,-8.3,-2.6,-2.4,-2,-1.4,-0.8,-0.6,-0.3
Philippines,,,,,,,,,,-1.6,-1.5,-0.3,-0.4,0.6,-0.4,0,0.5,0.4,-1.3,-2.3,-3.3,-3.5,-3.7,-3.5,-2.8,-1.6,0,-0.3,0,-2.6,-2.3,-0.3,-0.3,0.2,0.8,0.6,-0.4,-0.4,-1.6,-1.7,-5.7,-6.5,-5.5,-4.6,-3.6,-3,-2.2,-1.6
Poland,,,,,,,,,,,,,,,,-4.4,-4.8,-4.6,-4.3,-2.3,-4,-4.7,-4.8,-6,-5,-3.9,-3.5,-1.9,-3.6,-7.3,-7.4,-5,-3.8,-4.2,-3.6,-2.6,-2.4,-1.5,-0.2,-0.7,-7.1,-2.5,-4.1,-2.9,-3.5,-3.5,-3.4,-3.4
Portugal,,,,,,,-10.3,-8.5,-4.3,-3.5,-6.8,-7.9,-5.2,-8.1,-7.4,-5.1,-4.6,-3.7,-4.3,-3,-3.4,-4.8,-3.8,-5.6,-6,-6.1,-4.1,-2.9,-3.7,-9.9,-11.4,-7.7,-6.2,-5.1,-7.3,-4.4,-1.9,-3,-0.3,0.1,-5.8,-2.8,-2.4,-1.6,-1.1,-0.9,-0.8,-0.9
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,-2.1,-1.8,-1.1,0,1.9,-0.6,-0.3,1.7,1.4,1.3,1.3,1.3,1.3
Qatar,,,,,,,,,,,3.2,-2.6,-2.7,-9.5,-11.8,-5.8,-8.7,-9.4,-7,-4.4,4.6,4.5,7.9,6.7,18.3,10.6,9.2,11.1,10.2,16.1,7.1,7.3,10.5,21.5,15.4,21.4,-5.2,-2.9,5.6,4.6,1,4.1,8.5,11.8,9.6,7.9,7.9,9.9
Romania,,,,,,,,,,,1,3.2,-4.6,-0.3,-2.2,-3.3,-4.7,-5.2,-5.3,-3.6,-4,-3.2,-2.6,-2.3,-3.4,-0.7,-1.4,-3,-4.6,-6.9,-6.4,-4.4,-2.6,-2.6,-2.1,-1.5,-2.5,-3,-2.9,-4.9,-9.8,-6.9,-8,-6.8,-6.6,-6.5,-6.3,-5.9
Russian Federation,,,,,,,,,,,,,,,,,,,-7.4,-3.6,3.1,3,0.7,1.4,4.6,7.6,7.8,5.6,4.5,-5.9,-3.2,1.4,0.4,-1.2,-1.1,-3.4,-3.7,-1.5,2.9,1.9,-4,0.7,-4,-5.3,-4.8,-4.1,-3,-1.9
Rwanda,,,,,,,,,,,,,-7.2,-6.6,-9.5,-2,-5,-2.2,-2.6,-4.4,-0.2,-1.8,-2,-1.2,2.3,1.1,0,-1.6,0.8,0.3,-0.6,-0.9,-2.4,-1.3,-3.9,-2.7,-2.3,-2.5,-2.6,-5.1,-9.4,-6.9,-6.8,-6.3,-3.5,-3.8,-3.2,-3.1
Saint Kitts and Nevis,-6.5,-4.4,-4.6,-4,-4.8,-8.4,-4.3,-15.2,-7.5,-3,0.6,0.9,0.5,0.2,0.8,0.9,-2.3,-2.2,-4.9,-11,-13.3,-10.9,-11.7,-5.7,-6.6,-3.5,-1.3,-2.9,-2.9,-2.2,-6.3,1.6,4.3,10.9,8.5,5.6,3.8,0.5,1.2,-0.6,-2.7,7.2,3,3.8,2.6,1.9,1.9,1.9
Saint Lucia,,,,,,-1.5,-1.6,0.6,2.1,0.9,0.3,-0.4,-0.7,-0.3,0,-0.1,-0.6,-1.1,2.3,1.6,-1.2,-3.1,-3.1,-3.2,-2.6,-6.1,-5,-1.6,-0.7,-2.6,-4.1,-5.3,-7.5,-4.8,-3,-2.3,-1.4,-2.2,-1,-3.3,-10.8,-7.1,-4.5,-2.7,-2.6,-2.5,-2.4,-2.5
Saint Vincent and the Grenadines,-3.6,-2.7,0.3,-1.9,2.5,4.2,2.3,1.1,0.6,-1.9,1.7,-0.5,-3.3,-1.5,0.1,1.1,1.6,-2.8,-1.8,-1.9,-0.8,-1.6,-2,-2.5,-2.7,-4.3,-3.1,-3.1,-1.3,-2.9,-3.7,-3.5,-1.8,-5.8,-2.8,-2,1.1,-0.4,-0.8,-2.7,-5.3,-4.8,-6.2,-8.1,-7.4,-3.8,0.5,1.3
Samoa,,,,,,,,,,,,,-10.1,-13.5,-9.8,-6,1.2,2,1.7,0.3,-0.6,-2,-1.8,-0.5,-0.8,0.2,-0.5,0.6,-0.4,-3.1,-5.6,-5.3,-7.6,-4,-5.7,-4,-0.4,-2.1,0.1,1.6,5.8,1.9,-2.1,-3.2,-4.1,-3.5,-2.7,-2.1
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.6,1.5,1.8,0.2,-2.5,-2.2,-4,-7.1,-7.7,1.1,-3.3,-0.2,-3.5,-1.6,-0.1,-37.6,-23.3,-4.4,-3.2,-2.5,-2.5,-2.4,-2.4
Saudi Arabia,,,,,,,,,,,,-3.3,-8.1,-9.3,-8.3,-5.1,-3.2,-2.5,-8.9,-6,3.2,-3.9,-5.9,1.2,9.7,18,20.8,11.8,29.8,-5.4,4.4,11.6,11.9,5.6,-3.5,-15.8,-14.1,-9.2,-5.7,-4.4,-11.3,-2.4,5.5,4.7,4.4,4.3,4.5,4.6
Senegal,,,,,,,,,,,,,,,5.9,2.4,0.9,1,0.9,-0.6,0.8,-1.4,0.2,-0.5,0.2,-0.3,-3.7,-2.8,-3.5,-3.7,-3.9,-4.9,-4.2,-4.3,-3.9,-3.7,-3.3,-3,-3.7,-3.9,-6.4,-6.3,-4.7,-3.7,-3,-3,-3,-3
Serbia,,,,,,,,,,,,,,,,,,,,,-0.2,0.4,-2.6,-2.7,0.1,1,-0.9,-0.8,-1.8,-3.4,-3.5,-3.9,-6.4,-5,-5.9,-3.4,-1.1,1.4,0.8,0,-7.2,-3.3,-2.8,-1.4,-1,-1.1,-1.1,-1.1
Seychelles,,,,-3.1,-6.1,-4.9,-10.1,2.8,11.8,8.3,11.9,3.2,6.4,-3.6,-6.9,-2.6,-9.7,-5.9,-16.7,-10.3,-14.7,-8.9,-16.3,3.4,0.4,0.4,-2.5,-9.9,7.9,4.8,0.5,3.4,2.9,0.4,3.5,1.8,0.2,0.5,-1,0.9,-17.4,-5.8,-6.7,-0.8,1.4,1.5,1.9,2.2
Sierra Leone,,,,,,,,,,,,,,,,,,,,,-3.1,-5.1,-4.8,-4.5,-2.4,-1.9,-1.6,20.1,-3.5,-2.3,-5,-4.5,-5.2,-2.4,-3.6,-4.5,-8.5,-8.8,-5.6,-3.1,-5.8,-6.9,-3.9,-3.2,-1.6,-0.8,-0.6,-0.6
Singapore,,,,,,,,,,,2,0.7,2.7,4.4,7.9,4.8,2,5.7,2.4,5.2,4.6,1.2,2.2,0.7,2.1,2.6,2.2,7.1,3.6,-0.1,5.7,8,7.3,6,4.6,2.9,3.7,5.3,3.7,3.9,-5.9,-0.2,1.4,2,2.5,2.7,2.8,2.9
Slovak Republic,,,,,,,,,,,,,,,,-3.5,-9.8,-6.3,-5.3,-7.2,-12.6,-7.2,-8.2,-3.1,-2.3,-2.9,-3.6,-2.1,-2.5,-8.1,-7.5,-4.3,-4.4,-2.9,-3.1,-2.7,-2.6,-1,-1,-1.3,-5.5,-6.5,-5.4,-3.1,-2.5,-2.3,-2.4,-2.5
Slovenia,,,,,,,,,,,,,,,,-8.1,-1.1,-2.3,-2.3,-3,-3.6,-4.5,-2.4,-2.6,-1.9,-1.3,-1.2,0,-1.4,-5.8,-5.6,-6.6,-4,-14.6,-5.5,-2.8,-1.9,-0.1,0.7,0.4,-7.8,-5.2,-4.8,-4.2,-3.4,-2.9,-2.7,-2.7
Solomon Islands,4.9,0.6,2.2,0.6,-4.9,-6.7,-8.5,-22.2,-13.7,-12.1,2.7,3,6.7,4.9,6.5,5,5.5,3.5,2.9,6.3,-3.5,-1,-1.3,5.4,3,-2.9,-1.7,-0.3,-1.7,0.6,4.1,7.5,3.3,3.6,1.8,0,-4.2,-2.9,0.9,-0.9,-2.4,-3.1,-6,-3.8,-3.7,-4.2,-4.4,-4.4
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,0.3,0.6,0.6,0,0.4,0.4,-1.1,-0.5,0.1,-1,-1,-1.1,-1.2
South Africa,,,,,,,,,,,,,,,,,,,,,-1.4,-1,-1,-1.6,-1,-0.1,0.8,1.2,-0.5,-4.7,-4.5,-3.7,-4,-3.9,-3.9,-4.4,-3.7,-4,-3.7,-4.7,-9.7,-6.4,-5.8,-6.1,-6.6,-7,-7.5,-7.9
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,-14.8,-3.5,-9.1,-16.7,-19.3,3.3,-0.6,0.1,6.7,10,8.9,3.9,3.4,2.1,0.7,0.1
Spain,-2.1,-2.5,-5.6,-4.9,-5.5,-7,-6.1,-3.4,-3.5,-3.1,-4,-4.7,-4.4,-7.1,-6.5,-7,-6.1,-4,-2.7,-1.3,-1.2,-0.5,-0.3,-0.4,-0.1,1.2,2.1,1.9,-4.6,-11.3,-9.5,-9.7,-10.7,-7,-5.9,-5.2,-4.3,-3,-2.5,-2.9,-11,-7,-5.3,-4.3,-3.9,-3.9,-3.9,-3.9
Sri Lanka,,,,,,,,,,,-6.6,-8.2,-5.1,-6,-7.7,-7.3,-7.1,-5.9,-7,-5.8,-8,-8.8,-7.1,-6.4,-6.5,-6.1,-6.1,-6,-6.1,-8.6,-7,-6.2,-5.6,-5.2,-6.2,-7,-5.3,-5.5,-5.3,-8,-12.8,-12.6,-9.4,-10.5,-10.4,-10.4,-10.4,-10.3
Sudan,,,,,,,,,,,-16.2,-26.5,-24.5,-8,-3,-3.5,-2.6,-0.6,-0.6,-0.8,-0.7,-0.8,-0.7,0.8,0.2,-1.9,-1.3,-2.8,0.5,-3.8,0.1,-2.3,-7.4,-5.8,-4.7,-3.9,-3.9,-6.1,-7.9,-10.8,-5.9,-0.3,-2.7,-2.3,-1.6,-1.6,-1.6,-1.7
Suriname,,,,,,,,,,,-3,-9.8,-6.5,-4.7,-1.9,1.2,3.4,-0.3,-6.4,-4.9,-7.8,3.5,-3.3,-0.1,-1.2,-3.4,0.6,5,2.4,2,-0.2,2.3,-2,-3.3,-4.7,-7.6,-9.3,-7.1,-5.2,-21.9,-13.4,-7.3,-3.7,0.4,1.6,1.5,1.3,0.8
Sweden,-5.3,-4.3,-6.2,-4.7,-2.6,-3.3,0,3.6,3.6,3.6,3.7,0.3,-8.5,-10.8,-8.7,-7,-3.1,-1.5,0.8,0.6,3.1,1.4,-1.4,-1.2,0.2,1.8,2.1,3.3,1.9,-0.8,-0.1,-0.3,-1.1,-1.5,-1.5,0,1,1.4,0.8,0.6,-2.8,-1,-0.7,0,0.3,0.3,0.3,0.3
