General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Switzerland,,,,-0.6,-0.2,0,1.1,1.1,0.9,0.8,0,-1.8,-3,-3.1,-2.6,-1.9,-2,-2.3,-1.3,-1.6,0.3,0.2,-1.7,-1.4,-1.4,-0.6,0.8,1.6,1.9,0.5,0.4,0.7,0.2,-0.4,-0.2,0.5,0.2,1.1,1.3,1.3,-2.8,-1.9,-0.9,-0.3,-0.1,0,0,0
Syria,,,,,,,,,,,-3.9,-6.6,-7.3,-5,-6,-3.8,-2.8,-1.8,-2.8,-1.5,-1.4,2.3,-2,-2.7,-4.2,-4.4,-1.1,-3,-2.9,-2.9,-7.8,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,,,,,,,,,,,,,,,,,,,,,51.5,-13.5,-10.4,-8.9,-14.6,31.5,17.3,125.1,13.6,-19.3,-11.7,-12.5,-11.2,1.9,-5.3,-6.3,-4.2,-2.7,-1.9,-0.1,5.9,0.9,1.2,0.4,1.9,2.5,2.4,3.1
Taiwan Province of China,-2.4,-2.6,-2.8,-1.9,-1.6,-2,-1.7,-1.7,-1.7,-9.8,-4,-9.2,-6.8,-6,-6.2,-6.8,-7.1,-7.5,-5.2,-2.3,-5.3,-5.6,-5.2,-4.3,-4.6,-2.5,-2.2,-2.2,-2.7,-6.2,-5.1,-4,-4.3,-3.2,-2.7,-1.8,-2.2,-2,-1.9,-1.8,-2.9,-1.2,-1.2,-1.1,-1.2,-1.3,-1.3,-1.4
Tajikistan,,,,,,,,,,,,,,,,,,,-4.7,-4,-5.6,-3.2,-2.4,-1.8,-2.4,-2.9,1.7,2.2,1.8,-0.3,-3,0.9,0.6,-0.9,0.8,-2,-9,-5.7,-2.7,-2.1,-4.3,-2,-3,-2.5,-2.5,-2.5,-2.5,-2.5
Tanzania,,,,,,,,,,,,0.6,-5,-2,-3.7,-2.1,1.6,0,0.1,-1.1,-0.7,-0.4,-0.7,-1.8,-2.4,-3.3,-3.4,-1.4,-1.9,-4.5,-4.7,-3.5,-4,-3.8,-2.9,-3.2,-2.1,-1.2,-1.9,-2,-2.5,-3.3,-3.3,-3,-2.4,-2.2,-2.2,-2.1
Thailand,,,,,,,,,,,,,,,,3.1,2.7,-1.7,-6.3,-9,-1.8,-1.8,-6.7,2,1.1,2.2,1.9,0.2,0.8,-2.2,-1.1,0.1,-0.9,0.5,-0.8,0.1,0.6,-0.4,0.1,-0.8,-4.7,-7.8,-6.1,-3,-3.2,-3.4,-3.4,-3.7
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,3.2,-7.6,-8.2,-7.5,-10.5,41,-29.9,-18.6,-17.2,-19.8,-25.4,-38.7,-14.4,-37.5,-33.1,-55.4,-33.1,-26.4,-25.2,-21.5,-29.5,-39.6,-51.4,-47.4,-40.3,-33.8,-32.9
Togo,,,,,,,,,,-2.2,-1.6,-3.5,-2.3,-8.5,-5.4,-3,-3.3,-1,-3.3,-1.8,-3.4,-0.7,-0.3,1.4,0.6,-1.7,-1.9,-1.9,-0.6,-2.7,-1.7,-4.6,-4.8,-5.2,-7.2,-6.2,-7.1,-0.2,-0.6,1.6,-6.9,-6.5,-4.9,-4,-3,-3,-3,-3
Tonga,,,,,,,,,,,,,,,,,,,,1.5,1.3,2.2,2.6,2.4,4.2,4.2,1.3,5.4,2.1,6.9,-1.2,-6,-1.6,-1.3,6.4,-2.8,1.5,3.6,2.9,3.2,5.3,-0.4,-0.1,-6.7,-4.9,-8.3,-10.3,-11.9
Trinidad and Tobago,,,,,,,,,-9.3,-4.5,-1.3,-0.2,-2.8,0.2,0,0.2,-0.5,0.1,-1.8,-0.9,0.2,0.6,-0.2,1.9,1.9,2.5,1.6,3.2,5.7,-4.9,0.1,-0.7,-1.3,-2.8,-4.6,-7.9,-10.4,-10.8,-5.9,-3.7,-11.6,-10.1,-5.2,-2.2,-1.4,-1.4,-0.8,-0.3
Tunisia,,,,,,,,,,,,-5.3,-3.5,-3.2,-2.9,-4.5,-5.2,-3.7,-2.8,-3.1,-3.2,-2.9,-2.5,-2.6,-2.1,-2.6,-2.3,-2.5,-0.6,-2.6,-0.5,-3.2,-4.9,-7,-3.1,-4.9,-5.9,-5.6,-4.3,-3.6,-9.1,-7.7,-7.4,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,-8.4,-11.7,-11.3,-7.6,-4.1,-0.7,-0.7,-1.9,-2.6,-5.8,-3.4,-0.7,-1.8,-1.5,-1.4,-1.3,-2.3,-2.2,-3.7,-4.7,-5.1,-3.5,-6.9,-7.5,-6.6,-6.6,-6.8,-6.7
Turkmenistan,,,,,,,,,,,,,,,,,,-0.1,0.6,1.4,-0.3,0.4,0.1,2.2,0.8,0.5,3.1,2.3,5.9,4.2,1.3,2.4,5.3,1.2,0.7,-0.6,-2.1,-2.3,-0.2,-0.3,-0.1,-0.1,1.1,0.6,0.6,0.5,0.4,0.2
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,-12.8,-36.8,-18.6,-17.2,-13.5,-23.4,-8.8,9.6,26.1,3.3,14.7,27.5,2.1,30.3,-1.1,7.7,6.1,1.5,-3.8,-5.4,-6.2,-6.7,-7.4
Uganda,,,,,,,,,,,,,,,,,,-0.8,-0.7,-1.2,-0.6,-1,-2.1,-1,0.3,-0.2,-0.6,-0.8,-2,-1.6,-4.6,-2,-2.4,-3.2,-2.7,-2.5,-2.6,-3.6,-3,-4.8,-7.5,-7.8,-5.6,-4.1,-3.3,-3.3,-1.8,-3.6
Ukraine,,,,,,,,,,,,,,,,-4.7,-3.1,-5.4,-2.7,5,-3.2,-3,-1.8,-0.9,-4.4,-2.3,-1.4,-2,-3.1,-6.3,-5.8,-2.8,-4.3,-4.8,-4.5,-1.2,-2.2,-2.3,-2.1,-2,-6,-4,,,,,,
United Arab Emirates,,,,,,,,,,,,3.8,3.3,-2.8,-1.8,3.6,0.9,6.8,1,1.3,10.6,1.2,-1.2,2.4,6.4,16,20.2,17.1,17.6,-6.1,0.6,5.3,9,8.4,1.9,-3.4,-2.8,-1.7,1.1,0.4,-5.2,0.3,8.1,6.9,5.8,4.9,4.3,4.1
United Kingdom,-2.8,-3.8,-2.3,-2.9,-3.2,-2.5,-2.3,-1.6,0.3,0.6,-1.4,-2.6,-5.4,-6.7,-5.7,-5,-3.5,-2,-0.3,0.6,1.4,0.2,-1.9,-3.1,-3,-3.1,-2.7,-2.6,-5.1,-10,-9.2,-7.4,-7.6,-5.5,-5.5,-4.5,-3.3,-2.4,-2.2,-2.2,-12.8,-8,-4.3,-2.3,-1.5,-1.4,-1.3,-1
United States,,,,,,,,,,,,,,,,,,,,,,-0.5,-3.8,-4.8,-4.2,-3.1,-2,-2.9,-6.6,-13.2,-11,-9.7,-8.1,-4.5,-4,-3.5,-4.3,-4.6,-5.4,-5.7,-14.5,-10.2,-4.8,-4,-4.4,-5.2,-5.1,-5.2
Uruguay,,,,,,,,,,,,,,,,,,,,-2.8,-2.8,-2.9,-3.2,-2.2,-0.9,-0.3,-0.6,-0.2,-1.3,-1.4,-0.4,-0.3,-2.2,-1.7,-2.6,-1.9,-2.7,-2.5,-1.9,-2.8,-4.7,-2.6,-2.5,-2.1,-1.8,-1.8,-1.7,-1.6
Uzbekistan,,,,,,,,,,,,,7.2,-12,-4.5,-1.8,-1.6,-2,-3,-2.9,-3.7,-3.3,-6.3,-4.9,-3.7,-3.5,2.7,3.6,6,1.8,2.6,5.1,5.9,2.2,1.9,-0.2,0.8,1.2,2,0.6,-2.5,-4.6,-3.5,-2.5,-2.4,-2.4,-2.4,-2.5
Vanuatu,,,,,,,,,,,,-2.8,-2.3,-3.7,-1.5,-2.6,-1.8,-0.5,-6.6,-0.6,-6.3,-3.3,-3.6,-1.3,0.8,1.9,0.5,0.3,0,-0.8,-2.6,-2.2,-1.7,-0.2,1.4,-9,-0.7,-1.2,6.3,2.8,-2,2.3,-4.2,-3.9,-3.5,-3.6,-3.6,-3.5
Venezuela,,,,,,,,,-9.2,-0.9,3.8,-2.3,-6.4,-2.9,-11.2,-5.9,7.9,2.6,-4.5,0.7,4.4,-4.6,-1.5,0.2,2.5,4.1,-1.6,-2.8,-3.5,-8.7,-4.7,-8.2,-10.4,-11.3,-15.6,-10.7,-10.8,-23,-31,-10,-5,-4.5,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,-0.1,-1.2,-1.6,-2.2,-1.9,-2.6,-0.1,-1,0.2,-1.7,-0.4,-4.8,-2.3,-0.9,-5.5,-6,-5,-5,-3.2,-2,-1,-0.4,-3.9,-4.2,-5,-5.1,-4.7,-4.4,-4,-3.7
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,-2.2,-6.3,-6.3,-1.5,-2.5,-4.7,-2.1,-2.8,-2.5,-4.5,-7.7,-5.3,-4.5,-5,-5.2,-5.4,-5.5,-5.7
Yemen,,,,,,,,,,,-10.3,-5.8,-10.9,-12.8,-14,-5.7,-0.9,-1.5,-7.8,0.1,6.1,2.8,-0.6,-4.2,-2.2,-1.8,1.2,-7.2,-4.5,-10.2,-4.1,-4.5,-6.3,-6.9,-4.1,-8.7,-8.5,-4.9,-7.8,-5.6,-5.2,-5,-4.7,-4.4,-4.9,-4.5,-3.4,-2.7
Zambia,,,,,,,,,,,,,,,,,,,,,1.2,-5.9,-4.5,-5.3,-2.5,-2.4,16.9,-1,-0.7,-2.1,-2.4,-1.8,-2.8,-6.2,-5.8,-9.5,-5.7,-7.5,-8.3,-9.4,-13.8,-8.7,-9,-6.8,-5.5,-4.7,-5.6,-1.9
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3,-2.1,-2.5,-1.8,-2.2,0.2,-2.5,0,-1.3,-1.1,-1.8,-6.6,-10.6,-5.4,-1,0.8,-2,-2.6,-2.7,-2.7,-2.7,-2.8,-2.8
Africa (Region),,,,,,,,,,,,,,,,,,,,,1.4,-1.2,-1.6,-1.5,0.3,2.4,4.7,1.5,2.4,-4.5,-2.8,-2.5,-2.3,-4.6,-5.5,-6.5,-6.8,-5.5,-3.9,-4.2,-7.1,-5.3,-4.6,-4.4,-4.6,-4.6,-4.7,-4.7
Asia and Pacific,,,,,,,,,,,,,,,,-3.1,-3.2,-2.4,-6.6,-4.7,-5,-4.7,-5.1,-4.8,-3.4,-2.4,-1.5,-1,-2,-5.1,-4,-3.4,-3.1,-2.8,-2.2,-2.8,-3,-2.8,-3.1,-4.5,-9,-6,-6.8,-5.6,-5.3,-5.2,-5.2,-5.1
Australia and New Zealand,,,,,,,,,0.1,0.5,-0.5,-3.2,-4.9,-4.3,-3,-1.7,-0.9,-0.3,-0.3,0.4,1.1,0.1,0.5,1.4,1.7,2.2,2.1,1.7,-0.8,-4.3,-5.2,-4.6,-3.4,-2.6,-2.6,-2.4,-2,-1.3,-0.9,-4.1,-8,-7.3,-5.1,-3.2,-2.1,-1.5,-1,-0.7
Caribbean,,,,,,,,,,,,,,,,,,-1.8,-1.8,-1.1,-0.9,-1.6,-3.5,-2.2,-2,-1.3,-1.5,-0.5,-0.1,-4.8,-2.6,-2.5,-3,-3.2,-3.7,-3.9,-4,-4.3,-2.5,-2.4,-7.2,-5.9,-2.8,-1.4,-1.1,-0.7,-0.5,-0.3
Central America,,,,,,,,,,,,,,,,,,-1.4,-1.7,-1.9,-1.6,-2.5,-2.8,-3.9,-2.6,-1.5,-1.3,0,-1.6,-3.2,-3.3,-3,-3.8,-3.5,-3.2,-2.2,-2.6,-2.8,-2.8,-3.1,-7.3,-3.5,-3.2,-2.8,-2.5,-2.4,-2.3,-2.2
Central Asia and the Caucasus,,,,,,,,,,,,,,,,,,,,,,,-8.6,-5.8,-3.1,-0.1,0.6,-0.6,-0.6,-3.9,-1.5,1.3,0.1,0,-0.3,-2.1,-2.4,-2.3,-1.8,-2.9,-5.1,-3.2,-3.2,-3.9,-3.8,-4.1,-4.5,-4.6
East Asia,,,-3,-3.1,-2,-1,-1.2,-0.4,0.3,0.5,1.4,1,0.1,-2.3,-3.6,-3.5,-3.6,-2.5,-7.3,-5.1,-5.4,-4.7,-5.2,-5.2,-3.7,-2.8,-1.8,-0.9,-1.8,-5.2,-4,-3.5,-3.2,-2.8,-1.9,-2.5,-2.9,-2.7,-3.1,-4.7,-9.4,-5.7,-7.1,-5.8,-5.6,-5.6,-5.6,-5.6
Eastern Europe ,,,,,,,,,,,,,,,,,,,-5.3,-3.1,-1.4,-1.6,-2.7,-2.3,-0.3,1.6,2.1,1.6,0.5,-6.1,-4.5,-1.2,-1.3,-2.2,-2,-2.7,-2.5,-1.2,1,0.2,-5.6,-2.1,-4.4,-4.2,-3.9,-3.4,-2.8,-2.2
Europe,,,,,,,,,,,,-4.3,,,,,,,-2.1,-1,-0.3,-1.1,-2.2,-2.7,-2.2,-1.6,-0.6,0,-1.4,-6,-5.6,-3.4,-3.1,-2.6,-2.4,-2.1,-1.6,-0.9,-0.2,-0.4,-7.2,-4.8,-3.8,-2.4,-2,-1.8,-1.6,-1.5
Middle East (Region),,,,,,,,,,,,-5.1,-7.7,-7.9,-7.2,-3.2,-1.3,-0.5,-5.5,-1.6,5.6,-0.2,-3,0.1,2.9,10.1,11,8.4,10.8,-2.7,1.5,5.8,7.1,5,0.4,-5.6,-7.2,-4.1,-1.6,-2.7,-8.2,-2.7,2,0.6,-0.4,-1,-1.4,-1.6
North Africa,,,,,,,,,,,,,,,,,,,,1.6,4.1,-0.5,-2.8,-1.1,0.3,5.3,6,4.4,5.5,-5,-2.1,-6,-3.3,-8.4,-10.6,-12.5,-12.8,-8.4,-4.9,-4.7,-8.9,-5.6,-4.5,-4.8,-5.7,-5.7,-5.5,-5.5
North America,,,,,,,,,,,,,,,,,,,,,,-0.6,-3.5,-4.3,-3.7,-2.6,-1.7,-2.4,-5.6,-11.9,-10,-8.7,-7.3,-4.2,-3.7,-3.3,-4,-4.1,-4.8,-5.1,-13.8,-9.4,-4.5,-3.7,-4,-4.7,-4.6,-4.7
Pacific Islands ,,,,,,,,,,,,,-3.7,-4.2,-0.7,0.9,0.8,-0.2,1.1,-0.5,-0.5,-2.1,-2.1,-0.7,0.9,1.4,3,4.4,1.9,-4.3,1.8,1.3,-1.2,-4.9,-4.9,-4,-4.4,-2,-2.3,-3.6,-7.4,-7.4,-6.6,-5.2,-3.9,-2.9,-1.9,-1.4
South America,,,,,,,,,,,,,,,,,-3.4,-3.6,-5.1,-4,-2.4,-3.5,-3.2,-2.9,-0.8,-0.8,-1.2,-1,-0.8,-3.4,-3.1,-2.4,-2.5,-3,-5.2,-7.7,-7.2,-6.9,-6.2,-4.8,-10.5,-4.8,-5.4,-4.8,-3.7,-3.1,-2.8,-2.8
South Asia,,,,,,,,,,,,,,-7.1,-6.5,-5.8,-5.9,-7,-8.2,-7.2,-7.1,-9.1,-9,-8.9,-7.5,-6.4,-5.6,-4.4,-8.2,-8.5,-7.9,-7.7,-7.2,-6.7,-6.4,-6.6,-6.4,-6,-6.1,-7.4,-11.5,-9.4,-9.2,-8.3,-7.8,-7.3,-7.1,-6.9
Southeast Asia,,,,,,,,,,,,,,,,1.8,1.7,0.7,-2,-2.4,-1.7,-2,-2.4,-1.2,-0.4,0.3,0.6,0.1,0.3,-2.5,-1,0.2,-0.7,-0.9,-1.1,-1.4,-1.2,-1,-0.8,-1.1,-5.4,-4.9,-3.9,-2.9,-2.7,-2.5,-2.3,-2.1
Sub-Saharan Africa (Region) ,,,,,,,,,,,,,,,,,,,,,-0.3,-1.6,-0.9,-1.7,0.4,1.2,4.2,0.3,1.1,-4.2,-3.1,-1.2,-1.9,-3.1,-3.6,-4.2,-4.3,-4.5,-3.5,-4,-6.3,-5.2,-4.6,-4.2,-4.1,-4.3,-4.4,-4.4
Western Europe,,,,,,,,,,,,-4.3,-5.1,-5.9,-5.1,-6.6,-3.9,-2.6,-1.8,-0.9,-0.2,-1,-2.2,-2.7,-2.4,-2,-1,-0.3,-1.8,-6,-5.8,-3.9,-3.5,-2.7,-2.5,-2,-1.5,-0.8,-0.4,-0.5,-7.6,-5.4,-3.7,-2,-1.6,-1.5,-1.4,-1.3
Western Hemisphere (Region),,,,,,,,,,,,,,,,,,,,,,-0.9,-3.5,-4.2,-3.5,-2.4,-1.6,-2.2,-4.9,-10.6,-8.7,-7.4,-6.4,-4,-4,-3.9,-4.4,-4.5,-5,-5,-13.3,-8.8,-4.6,-3.8,-4,-4.4,-4.4,-4.4
ASEAN-5,,,,,,,,,,,,,,,,1.6,1.8,0.1,-2.6,-3.5,-2.9,-2.6,-3.1,-1.5,-0.8,-0.2,0.1,-1,-0.4,-2.8,-1.9,-1,-1.9,-1.9,-1.9,-1.9,-1.7,-1.7,-1.4,-1.6,-5.3,-5.5,-4.8,-3.5,-3.3,-3.1,-2.8,-2.7
Advanced economies,,,,,,,,,,,,,,,,,,,,,,-1.7,-3.5,-3.9,-3.2,-2.4,-1.4,-1.2,-3.5,-8.6,-7.6,-6.2,-5.5,-3.7,-3.1,-2.6,-2.6,-2.4,-2.5,-3,-10.5,-7.3,-4.3,-2.9,-2.8,-3,-3,-3
Emerging and Developing Asia,,,,,,,,,,,,,,,,-1.4,-1.2,-2.1,-3.4,-4,-4,-4.3,-4.5,-4,-2.9,-2.4,-1.9,-1.1,-1.6,-3.3,-2.2,-1.6,-1.7,-1.9,-1.8,-3.1,-3.7,-3.6,-4.2,-5.7,-10.2,-6.5,-7.6,-6.9,-6.7,-6.6,-6.5,-6.4
Emerging and Developing Europe,,,,,,,,,,,,,,,,,,,,,-3,-3.2,-4.3,-3.2,-1,1.5,2,1.2,0.3,-6,-4.2,-0.8,-1.1,-1.9,-1.8,-2.5,-2.7,-1.7,0.1,-0.7,-5.5,-1.9,-4.8,-4.9,-4.6,-4.2,-3.8,-3.3
Emerging market and developing economies,,,,,,,,,,,,,,,,,,,,-3.4,-1.6,-3,-3.5,-2.8,-1.2,0.5,1,0.5,0.7,-3.8,-2.4,-1,-1,-1.7,-2.5,-4.2,-4.5,-3.9,-3.5,-4.5,-9,-5.3,-5.7,-5.4,-5.3,-5.2,-5.2,-5.1
Euro area,,,,,,,,,,,,-5.1,-5.1,-5.9,-5.1,-7.3,-4.4,-3.1,-2.4,-1.5,-1.3,-2,-2.7,-3.1,-2.9,-2.6,-1.5,-0.6,-2.2,-6.2,-6.3,-4.2,-3.7,-3,-2.5,-2,-1.5,-0.9,-0.4,-0.6,-7.2,-5.5,-4.3,-2.5,-2,-1.8,-1.7,-1.7
European Union,,,,,,,,,,,,-4.8,-5.2,-5.9,-5.1,-7.2,-4.3,-3,-2.4,-1.5,-1.2,-1.9,-2.7,-3.1,-2.7,-2.3,-1.4,-0.5,-2,-6,-6,-4.1,-3.6,-2.8,-2.4,-1.9,-1.4,-0.8,-0.4,-0.5,-6.9,-5.1,-4.1,-2.5,-2.1,-1.9,-1.8,-1.7
Latin America and the Caribbean,,,,,,,,,,,,,,,,,-3.4,-3.5,-4.8,-4.1,-2.5,-3.2,-2.8,-2.7,-1.1,-1.1,-1.3,-1.1,-0.8,-3.6,-3.3,-2.6,-2.8,-3.1,-4.9,-6.5,-5.9,-5.4,-5,-4,-8.7,-4.5,-4.6,-4.2,-3.4,-3,-2.7,-2.7
Major advanced economies (G7),,,,,,,,,,,,,,,,,,,,,,-2,-4.1,-4.7,-3.9,-3.2,-2.2,-2.2,-4.5,-9.8,-8.8,-7.4,-6.4,-4.3,-3.6,-3,-3.3,-3.2,-3.4,-3.8,-11.9,-8.4,-4.9,-3.3,-3.3,-3.6,-3.6,-3.6
Middle East and Central Asia,,,,,,,,,,,,,,,,,,,,-1,5,0,-2,0.5,2.4,8.3,8.9,6.6,8.9,-2.7,0.9,3.5,4.3,2,-1.6,-6.9,-7.9,-5,-2,-3,-7.6,-3.2,1,-0.2,-1.1,-1.6,-2,-2.2
Other advanced economies,,,,,,,,,,,,,,,,-1.8,-0.7,0.1,-0.6,0.5,1.8,0.4,-0.2,-0.1,0.6,1.9,2.7,3.5,2,-1.2,-0.4,0.2,0.2,0.1,0.2,0,0.5,1.2,1.2,-0.1,-4.7,-2.6,-1.7,-0.9,-0.6,-0.5,-0.4,-0.3
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,-0.3,-1.6,-0.9,-1.8,0.4,1.4,4.5,0.5,1.1,-4.2,-3.3,-1.1,-1.8,-3.1,-3.6,-4.2,-4.4,-4.4,-3.5,-3.9,-6.4,-5.3,-4.7,-4.2,-4.2,-4.3,-4.4,-4.5
