"Inflation rate, end of period consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,52.4,6.5,13.3,10.6,4.3,16.1,18.8,-9.8,10.2,9.3,5.9,7.2,1.5,1.1,4.6,3,0.8,2.8,5,,,,,,,
Albania,,,,,,,,,,,0,104,236.6,30.9,15.8,6,17.4,42.1,8.7,-1,4.2,3.5,1.7,3.3,2.2,2,2.5,3,2.2,3.5,3.5,1.7,2.5,1.8,0.7,1.9,2.2,1.8,1.8,1.1,1.1,3.7,4.8,3,3,3,3,3
Algeria,14.1,6.6,5.3,12.7,10.7,12.5,11.9,3.2,8.6,10.7,47.4,25.9,31.7,20.5,29,29.8,18.7,5.7,5,2.6,0.3,4.2,2.1,5.6,2.2,1.2,3.8,4.8,4.9,5.8,2.7,5.2,9,1.1,5.3,4.4,7,4.9,2.7,2.4,3.5,8.5,9.5,7.7,10.3,10.4,10.3,8
Andorra,,,,,,,,,,,,,,,,,,,,,,,3.1,2.8,3.3,3.3,3,4.1,0.9,1,1.7,2.2,1.1,0.2,-0.9,-0.5,0.9,2.4,0.8,1,-0.2,3.3,1.8,0.9,1.6,1.7,1.7,1.7
Angola,,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,175.7,495.8,1837.9,972,3783.9,1650.8,149.6,134.8,329,268.4,116.1,105.6,76.6,31,18.5,12.2,11.8,13.2,14,15.3,11.4,9,7.7,7.5,12.1,41.1,23.7,18.6,16.9,25.1,27,18,12,9,7,6.6,6.2
Antigua and Barbuda,17.7,7.2,2.6,3.1,3.2,-0.7,2,5.8,5.5,4.9,7.9,3.2,2.9,-0.5,0.1,-1.3,3.2,-1.1,4.7,1.1,0.4,0.9,2.5,1.8,2.8,2.5,0,5.2,0.7,2.4,2.9,4,1.8,1.1,1.3,0.9,-1.1,2.4,1.7,0.7,2.8,1.2,5.4,2.4,2,2,2,2
Argentina,,,,,,,,,,,,,,,,,,,0.7,-1.8,-0.7,-1.5,41,3.7,6.1,12.3,9.8,8.5,7.2,7.7,10.9,9.5,10.8,10.9,23.9,,,24.8,47.6,53.8,36.1,50.9,48,42,37,32,27,22
Armenia,,,,,,,,,,,,,,10896.2,1884.5,31.9,5.8,21.8,-1.2,2.1,0.4,2.8,2,8.5,1.9,-0.2,5.2,6.6,5.3,6.6,9.3,4.6,3.1,5.6,4.6,-0.2,-1.2,5.6,1.3,0.7,3.7,7.7,7.5,5,4,4,4,4
Aruba,,,,,,,,,,,,,,,,,3.1,2.8,1.5,3.7,3.5,2.5,4.2,2.3,2.8,3.8,2.5,9.9,-1.9,6.8,-0.7,6.1,-3.7,0.1,2.2,-0.9,-0.9,-0.5,4.5,3.6,-3.1,3.6,4,1.4,1.4,1.3,1.3,1.3
Australia,,,,,,,,,,7.8,6.9,1.5,0.3,1.8,2.8,4.9,1.7,-0.3,1.5,1.8,5.8,3.1,3.1,2.4,2.6,2.7,3.3,3,3.7,2.1,2.6,3,2.1,2.7,1.6,1.7,1.4,2.1,1.7,1.8,0.9,3.7,3.3,2.5,2.5,2.6,2.5,2.6
Austria,6.7,6.4,4.7,3.8,5,2.8,1.1,1.6,1.9,2.5,3.1,2.7,3.7,3.1,2.4,0.6,2.2,0.9,0.4,1.7,1.8,1.8,1.7,1.3,2.5,1.5,1.6,3.5,1.5,1.1,2.2,3.3,2.8,1.8,0.7,1,1.5,2.3,1.7,1.8,1,3.8,4.3,2,2,2,2,2
Azerbaijan,,,,,,,,,,,,,,1350,1792.1,84.6,6.7,0.4,-7.6,-0.5,2.2,1.8,3.2,3.5,10.5,5.3,11.3,19.6,15.5,0.7,7.9,5.6,-0.3,3.7,-0.1,6.9,15.5,7.9,1.6,2.4,2.7,12,11,6,4,4,4,4
"Bahamas, The",12.1,9,4.6,3.5,4.6,4.8,6.8,4.1,5.1,4.4,7,6.4,3.5,2.6,1.4,1.6,1,0.8,1.5,1.5,1.1,2.6,1.9,3.1,1.7,1.2,2.4,2.7,4.2,1.6,1.7,3,0.7,1,0.2,2,1,1.6,2,1.4,1.2,5.5,6.7,3.5,3.1,2.7,2.6,2.2
Bahrain,3,7.7,10,5.8,1.6,-1.2,-2.4,-2.1,-0.8,0.7,-0.2,0.3,1.1,3.3,3.6,1.5,2.2,2,-0.8,-1,-1,-0.8,0.6,2,2.4,2.3,1.1,4,5.1,1.6,1,0.2,2.6,4,2.5,0.8,2.3,1.3,2,1.2,-1.6,-0.4,3,2.3,2.1,2,2,2
Bangladesh,6.4,16.3,12.3,8.5,10.5,11.7,11.6,10.4,8.8,8.1,10.2,6.6,1.7,3.5,7.2,8.2,4.1,3.4,9.4,7.6,2.3,2,3.2,5.2,6,6.3,14.3,9.8,14.3,2.5,9.6,11.1,5.5,8,7,6.3,5.5,5.9,5.5,5.5,6,5.6,6.4,5.9,5.5,5.5,5.5,5.5
Barbados,14,12.3,6.9,5.5,5.1,2.4,-0.5,6.3,4.4,6.6,3.4,8.1,3.3,-1,0.8,2.8,1.8,3.6,1.7,2.9,3.8,-0.3,0.9,0.3,4.3,7.4,5.6,4.7,7.3,4.4,6.5,9.6,2.4,1.2,2.4,-2.5,3.8,6.6,0.6,7.2,1.3,5,4.3,3.5,2.3,2.3,2.3,2.3
Belarus,,,,,,,,,,,,147.5,1559.2,1996.6,1959.7,244,39.3,63.1,181.7,251.2,107.5,46.1,34.8,25.4,14.4,7.9,6.6,12.1,13.3,10.1,9.9,108.7,21.8,16.5,16.2,12,10.6,4.6,5.6,4.7,7.3,10,15.9,12.4,9,6.9,5,5
Belgium,8.8,8.1,8.1,7.2,5.3,4,0.6,1.4,1.9,3.6,3.5,2.8,2.2,2.5,2,1.2,2.1,0.9,0.7,2.1,3,1.9,1.3,1.6,2,2.8,2.1,3.1,2.7,0.3,3.4,3.2,2.1,1.2,-0.4,1.5,2.2,2.1,2.2,0.9,0.4,6.6,4.4,1.6,1.8,1.7,1.7,1.7
Belize,,,,,,,,,,2.5,4.4,3.1,2,2.3,1.8,3.9,6.4,-0.5,-0.9,-1,1,0.9,3.2,2.3,3,4.2,3,4.1,4.4,-0.4,0,2.3,0.8,1.6,-0.2,-0.6,1.1,1,-0.1,0.2,0.4,4.9,5.2,2.5,2,2,2,2
Benin,,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,2.5,2.9,54,3.1,6.9,2.4,6.4,-3.3,9.1,2,1.7,1.1,2.8,3.2,7.5,0.3,7.4,-0.5,4,1.8,6.8,-1.8,-0.8,2.3,-2.8,3,-0.1,0.3,1.2,1.7,4.6,1.8,2,2,2,2
Bhutan,-11.5,4.9,7.9,3,15.1,14.8,6.5,8.9,8.8,9,9,11.4,14.7,12.2,8.5,9.5,9.5,7,9,8.1,-7.3,-8.8,2.7,3,3.6,5.4,3.1,4.3,6,7.2,5.7,9.6,9.5,12.9,8.1,4.8,3.6,4.9,2.5,2.7,4.5,9,6.5,5.1,4.3,4.1,4,4
Bolivia,23.9,25.1,296.8,328.4,2177.3,8170.5,64.6,10.7,21.5,16.6,18,15.4,10.5,9.3,8.5,12.6,7.9,6.7,4.4,3.1,3.4,0.9,2.4,3.9,4.6,4.9,3,11.7,11.8,0.3,7.2,6.9,4.5,6.5,5.2,3,4,2.7,1.5,1.5,0.7,0.9,4.2,3.6,3.5,3.5,3.5,3.5
Bosnia and Herzegovina,,,,,,,,,,,,,,,,12.9,-11.7,5.7,-0.3,2.8,7,3,-0.4,0.5,0.6,4.3,4.5,4.9,3.8,0,3.1,3,1.8,-1.4,-0.4,-1.3,-0.5,0.7,1.6,0.6,-1.1,1.8,5.9,2.7,2.3,2.1,2.1,2
Botswana,,14.6,12.7,8.3,6.5,10.4,10.8,8.1,10.4,11.3,12,12.6,16.5,12.7,9.8,10.8,9.6,7.8,6.4,8.4,8.5,5.8,10.6,6.4,7.9,11.3,8.5,8.1,13.7,5.8,7.4,9.2,7.4,4.1,3.8,3.1,3,3.2,3.5,2.2,2.2,8.7,8.9,4.5,4.5,4.6,4.6,4.5
Brazil,,95.7,104.8,164,215.3,242.2,79.7,363.4,980.2,1972.9,1621,472.7,1119.1,2477.1,916.4,22.4,9.6,5.2,1.7,8.9,6,7.7,12.5,9.3,7.6,5.7,3.1,4.5,5.9,4.3,5.9,6.5,5.8,5.9,6.4,10.7,6.3,2.9,3.7,4.3,4.5,10.1,6.7,3.5,3,3,3,3
Brunei Darussalam,,,,,,,,,,,,,1.3,4.3,2.4,6,2,1.7,-0.4,0,1.2,0.6,-2.3,0.9,1.7,-0.5,-0.3,1.9,1.9,0.5,0.2,0.2,0,0.2,1.2,-1,-0.6,-0.5,0,0.3,2,0.7,0.7,0.5,0.9,0.8,0.7,0.6
Bulgaria,,,,,,,,,,69.6,64.3,4027.8,79.4,63.8,121.9,32.9,310.8,549.2,1.6,7,11.3,4.8,3.8,5.6,4,7.4,6.1,11.6,7.2,1.6,4.4,2,2.8,-0.9,-2,-0.9,-0.5,1.8,2.3,3.1,0,6.6,11,0.4,2,2,2,2
Burkina Faso,,6.5,13.4,2.7,7.5,1,-3.5,3,2.2,1.6,-1.4,-0.9,-0.2,2.7,29.1,3.9,6.9,4.2,1,0.7,2.4,1,3.9,3.2,0.7,4.5,1.5,2.3,11.6,-1.8,-0.3,5.1,1.7,0.1,-0.1,2.9,-0.3,1.6,0.3,-2.6,2.3,8,4,2,2,2,2,2
Burundi,,11,8,5.3,25,-5.5,4.4,5,5.4,12,10.7,8.3,3.5,15.5,13.2,19.2,37.4,26.6,-1.2,21,14.1,3.7,3.3,10.9,12.1,1.1,9,14.7,25.7,4.6,4.1,14.9,11.8,9,3.7,7.1,9.5,-4.9,-5.9,5.1,7.5,10.1,7.1,6,6.4,5.7,6.3,5.8
Cabo Verde,,20.7,21.8,17.9,9.7,5.9,11.1,3.7,3.6,4.7,11.1,10.6,13.9,4.4,3.9,5.7,9.1,0.4,8.4,-1.6,-1,4.6,3,-2.3,-0.3,1.8,5.8,3.4,6.6,-0.3,3.4,3.5,4.1,0.1,-0.3,-0.5,-0.3,0.3,1,1.9,-0.9,5.4,2.5,2,2,2,2,2
Cambodia,,,,,,,,,31,89,151,150,112,41,29.9,-1.9,10,16.7,8,0.2,0.3,-0.5,1.4,0,5.3,8.4,4.2,14,12.5,5.3,3.1,4.9,2.5,4.7,1,2.8,3.9,2.2,1.6,3.1,2.9,4.1,3,3,3,3,3,3
Cameroon,,4.6,13.4,13.5,16.6,3.7,8.5,18.9,-1.9,0,-0.7,-0.2,0.8,-4.1,33.8,16.2,0.8,4.6,5.9,-0.5,1.5,5,2.4,-0.1,1,3.5,2.4,3.4,5.3,0.9,2.6,2.7,2.5,1.7,2.6,1.5,0.3,0.8,2,2.4,2.1,2.1,2.7,2,2,2,2,2
Canada,7.3,12.4,9.6,4.7,3.7,4.1,4.4,4.2,4.1,5.2,4.9,4.1,1.8,1.8,0,2.1,2,1,1.1,2.4,3.1,1.1,3.8,1.7,2.3,2.3,1.4,2.5,1.8,0.8,2.2,2.7,1,1,2,1.3,1.4,1.8,2.1,2.1,0.7,4.7,4.6,2.2,1.8,2,2,2
Central African Republic,,14.7,13.2,14.6,2.6,10.5,2.4,-7,-3.9,0.6,-1.1,-0.8,0,-4.8,44.7,5,4.6,0.4,-3,-4.2,8.1,2.6,9.5,-1.7,-0.2,1.5,7.1,-0.1,14.5,-1.2,2.3,4.3,5.9,2.6,14,10.7,-4.5,7.2,4.6,-2,1.8,2.7,5.4,2.4,2.5,2.5,2.5,2.5
Chad,,8.1,6.5,11.6,20.3,5.1,-16,-4.7,14.9,-4.8,3.4,2.1,-6.8,31.4,15.3,10,10.5,0.6,3.5,3.3,13,0.7,12.6,-11.9,9.2,-8.1,8,1.7,9.7,4.7,-2.2,10.7,2.1,0.9,3.7,2.2,-5,3.1,4.4,-1.7,3,1,3.8,3.1,3,3,3,3
Chile,31.2,11.2,20.7,23.4,23.6,26.8,17.3,21.1,12.3,21.2,27.2,18.8,12.9,12.5,9.2,8.3,6.7,6,4.7,2.3,4.6,2.7,2.9,1.1,2.4,3.7,2.6,7.9,7.1,-1.5,2.9,4.4,1.5,3.1,4.7,4.4,2.7,2.2,2.1,2.9,2.9,7.1,6,3.9,3,3,3,3
"China, People's Republic of",,,,,,11.2,6.6,8.9,27.9,6.6,4.3,4.5,8.8,18.8,25.5,10.1,7,0.4,-1,-1,1.5,-0.3,-0.4,3.2,2.4,1.6,2.8,6.5,1.2,1.9,4.6,4.1,2.5,2.5,1.5,1.6,2.1,1.8,1.9,4.5,-0.3,1.8,2.5,1.4,2,2,2,2
Colombia,25.9,27.5,23.3,16.8,18.6,22.7,20.6,24.2,28.3,26.3,32.4,26.9,25.2,22.6,22.6,19.4,21.5,17.5,16.5,9,8.5,7.5,6.8,6.4,5.5,4.8,4.5,5.7,7.6,1.9,3.1,3.7,2.4,2,3.7,6.8,5.7,4.1,3.1,3.8,1.6,5.6,6.9,3.8,3,3,3,3
Comoros,,,,,,,,,,,,,,,,-7,0,1.5,4.2,-1.3,3.3,9.4,-0.9,4.6,3.3,7.2,1.7,2.2,7.4,2.2,6.7,4.9,1,2.2,-0.9,2.7,-1.4,1.4,0.6,6.3,-4.8,11.3,0.2,1.1,1.3,1.8,1.9,1.9
"Congo, Dem. Rep. of the",,52.2,40.7,-11.1,159.1,39.2,38.3,106.5,120.6,56.1,265,4228,2729.8,4583.1,9796.9,370.3,1705.1,20,133.3,485.7,509.8,135.1,15.8,4.4,9.2,21,18.2,10,27.6,53.4,9.8,8.7,2.8,1.1,1,0.8,11.2,54.7,7.2,4.6,15.8,5.3,6.4,5.8,5.9,5.6,5.7,5.6
"Congo, Republic of ",,0.8,3.5,3.5,3.5,3.5,3.5,3.5,-13,-11.6,1.5,7.4,-2.7,0,19.4,28.8,5.5,16,-2.5,3.8,-3.1,8.3,-2.9,6.7,1.1,3.1,18.1,-3.9,11.8,-1.8,2.6,1.8,7.5,2.1,0.5,4.1,0,1.8,0.9,1.4,0.6,1.5,3,3,3,3,3,3
Costa Rica,18,64.9,82.7,10.3,17.6,11,15.3,16.6,25.2,10,27.3,17,17,9,19.9,22.6,13.9,11.2,12.4,10.1,10.2,11,9.7,9.9,13.1,14.1,9.4,10.8,13.9,4,5.8,4.7,4.6,3.7,5.1,-0.8,0.8,2.6,2,1.5,0.9,3.3,5.2,3.4,3.2,3.1,3,3
Croatia,,,,,,,,,,,,,,1151.6,-3,3.7,3.6,4,6,3.8,5.4,2.5,1.8,1.7,2.8,3.6,2.1,5.8,2.9,1.9,1.8,2.1,4.6,0.3,-0.5,-0.6,0.2,1.2,0.8,1.5,-0.7,5.5,5.8,2.1,1.8,1.8,1.8,1.7
Cyprus,13.5,10.3,4.6,4.1,8.2,1.9,2.8,2.2,4.2,2.8,5.8,6.5,6.5,3.2,5.2,1.6,2,3.8,0.8,3.5,3.7,2.2,3.1,2.3,3.9,1.4,1.5,3.8,2,1.8,2.1,4.4,1.6,-1.1,-0.9,-0.5,0.1,-0.4,1,0.6,-0.9,4.7,3,2.5,2,1.8,1.8,2
Czech Republic,,,,,,,,,,,,,,,,,8.7,10.1,6.8,2.3,4,4.1,0.7,1,2.7,2.3,1.7,5.4,3.7,1,2.3,2.4,2.4,1.4,0.1,0,2,2.4,2,3.2,2.3,6.6,6,2,2,2,2,2
Côte d'Ivoire,,7.8,5.7,8.4,4.1,4.4,8.3,7.5,4.1,0.1,0.1,1.7,3.6,2.5,32.2,7.7,3.5,5.2,2,1.6,3.6,4.8,4.4,-0.1,4.4,2.5,2,1.5,2.5,-0.1,5.1,2,3.4,0.4,0.9,1,0.7,0.8,0.6,1.6,2.3,5.6,4.2,1.7,1.9,1.6,1.6,1.9
Denmark,10.7,12.4,8.8,6.1,5.7,3.4,4.5,3.9,4.7,4.8,5.9,2.2,1.2,1,2.5,1.7,2.3,1.5,1.2,3.1,2.3,2,2.6,1.2,1,2.3,1.6,2.5,2.5,1.2,2.8,2.4,1.7,0.5,0,0.3,0.3,0.8,0.7,0.8,0.4,3.4,3.8,2.1,2,2,2,2
Djibouti,,,,,,,,,,,,5.2,3.9,5.4,5.7,4.7,2.6,2.4,2,-0.6,2.4,1.4,1.4,1.8,3.1,3.5,3.5,8.2,9.2,2.2,2.8,7.6,1.1,1.1,3.4,-1.6,2.4,-0.8,2,3.3,0.3,2.5,5,3.5,2.5,2.5,2.5,2.5
Dominica,21.3,7.4,4.1,2.7,2,3.5,3,2.9,5.2,8.2,4.6,2,4.3,1.6,-0.2,1.4,2,2.2,1.5,0,1.1,1.1,0.4,2.8,0.8,2.7,1.8,6,2,3.2,0,1.9,1.3,-0.4,0.5,-0.7,0.7,-1.5,4,0.1,-0.7,0.5,5,4.2,2,2,2,2
Dominican Republic,-5.9,7.4,7.2,6,38.6,30.9,4.4,22.7,55.8,34.6,79.9,7.9,5.2,2.8,14.3,9.2,3.9,8.4,7.8,5.1,9,4.4,10.5,42.7,28.7,7.4,5,8.9,4.5,5.8,6.2,7.8,3.9,3.9,1.6,2.3,1.7,4.2,1.2,3.7,5.6,8.5,6.9,4.5,4,4,4,4
Ecuador,13.5,17.3,24.4,52.5,25.1,24.4,27.3,32.5,85.7,54.2,49.5,49,60.2,32,25.4,22.8,25.5,30.7,43.4,60.7,91,22.4,9.4,6.1,1.9,3.1,2.9,3.3,8.8,4.3,3.3,5.4,4.2,2.7,3.7,3.4,1.1,-0.2,0.3,-0.1,-0.9,1.9,3.8,1.4,1.3,1.1,1,1
Egypt,20.3,9.6,15.6,16.7,19.6,11.4,28,25.1,10,16.7,21.4,20.7,9.7,15,6.4,9.7,8.2,4.8,3.4,2.9,2.5,2.5,2.4,4.2,12,4.6,7.3,8.6,20.1,9.8,10.2,11.8,7.2,9.9,8.3,11.3,14,29.8,14.4,9.4,5.7,4.9,10.7,8.6,7.3,7.4,7.4,7.4
El Salvador,18.5,11.7,13.4,14.8,9.8,32,30.3,19.6,18.2,23.5,19.3,9.8,19.9,12.1,8.9,11.4,7.3,1.9,4.2,-1,4.3,1.4,2.8,2.5,5.4,4.3,4.9,4.9,5.5,0.1,2.1,5.1,0.8,0.8,0.5,1,-0.9,2,0.4,0,-0.1,6.1,5,2,1.5,1.5,1.2,1.2
Equatorial Guinea,,16.7,38.3,60.1,59.5,61.3,-13.5,3.1,-0.3,-8.2,7,-0.1,2.8,-2.7,43.7,11.7,0,3.7,6.6,1.1,6.6,12.2,6.2,5.9,5.1,3.2,3.8,3.7,5.5,5,5.4,4.9,2.6,4.9,2.6,1.6,2,-0.2,2.6,4.1,-0.5,2.9,4.9,3,3.7,2.8,3.4,2.7
Eritrea,,,,,,,,,,,,,,10.6,7.3,12.3,3.5,7.7,9,10.6,26.8,7.7,23.8,20.8,17.4,18.5,8.8,14.9,36.5,19,4.7,7.7,6.6,9.9,1.3,50.8,-22,-18.2,-29.3,27.2,4,4,4,2,2,2,2,2
Estonia,,,,,,,,,,,,,,,,28.9,12.9,11,5.1,3.7,5,4.2,2.7,1.2,4.8,3.7,5.1,9.7,7.5,-1.9,5.4,4.1,3.6,2,0.1,-0.2,2.4,3.8,3.3,1.8,-0.9,12,7.8,2.6,2.5,2.4,2.4,2.3
Eswatini,,14.4,11.5,10.6,18.6,18.2,8.9,16.3,17.8,8.6,11,9.6,8.6,13.2,13.8,10.1,5.8,7.8,4.9,9.1,6.4,10.8,11.5,4.6,3.2,7.6,4.8,9.8,12.9,4.5,4.5,7.8,8.3,4.4,6.2,4.9,8.7,4.7,5.2,2,4.6,3.5,4.8,4.2,4.5,4.4,4.4,4.4
Ethiopia,,5.4,5.2,-0.2,9.1,20.5,-11.8,-4.7,6.9,11,5,45,2.1,4.7,6.3,14.8,-9,2.6,2.3,7.1,-4.1,-4.3,14,6.2,7.9,12.3,18.5,18.4,39.2,7.1,14.6,35.9,15,7.7,7.1,9.4,6.2,16.5,10.6,19.5,18.2,35.1,33.4,28.1,13.5,11.9,11.9,11.9
Fiji,,,,,,,,,,,,,,,1.2,2.2,2.4,2.9,8.1,0.2,3,2.3,1.6,4.2,3.3,2.7,3.1,4.3,6.6,6.8,3.6,6.4,2.5,3.4,0.1,1.6,3.9,2.8,4.8,-0.9,-2.8,3,4.5,3.2,2.7,2.5,2.4,2.4
Finland,13.8,9.9,8.9,8.5,6.1,4.9,3.4,3.6,5.9,7.1,2.1,4.5,2.6,2.9,1.6,-0.5,1.7,1.6,0.8,2.2,2.9,2.3,1.7,1.2,0.1,1,1.2,1.9,3.4,1.8,2.8,2.6,3.4,1.9,0.6,-0.2,1.1,0.5,1.3,1.1,0.2,3.2,3.3,2.7,1.8,1.8,1.8,1.8
France,13.7,13.9,9.7,9.3,6.7,4.7,2.1,3.1,3.1,3.6,3.2,3.3,2,2.2,1.4,2.1,1.7,1.1,0.2,1.4,1.8,1.5,2.2,2.4,2.2,1.7,1.7,2.8,1.2,1,2,2.6,1.5,0.8,0.1,0.3,0.8,1.2,1.9,1.6,-0.2,3.3,3.4,1.8,1.5,1.7,1.7,1.5
Gabon,,,,,,,,,,,15.4,-16.7,-4.5,1.3,47,3.5,0.8,2.1,0.5,-0.9,1.8,0.9,0.4,3.5,-0.5,1.1,-0.7,-0.2,5.6,0.9,0.7,2.3,2.2,3.3,1.7,-1.2,4.1,1.1,6.3,1,1.6,1.7,3.6,1.7,2.8,1.4,2.5,1.5
"Gambia, The",,4.1,12.7,15.4,24.7,25.5,52.3,15.3,12.4,8.4,10.5,11.6,4.2,5.1,5,4,2.3,0.3,4.8,1.7,0.2,8.1,13,17.6,8.1,4.8,0.4,6,6.8,2.7,5.8,4.4,4.9,5.6,6.9,6.7,7.9,6.9,6.4,7.7,5.7,7.6,8.5,7.5,5,5,5,5
Georgia,,,,,,,,,,,,,,,,,,7.1,10.8,11,4.4,3.5,5.5,6.9,7.5,6.2,8.8,11,5.5,3,11.2,2,-1.4,2.4,2,4.9,1.8,6.7,1.5,7,2.4,13.9,7.6,3.4,3,3,3,3
Germany,,,,,,,,,,,,,3.3,4.2,2.5,1.5,1.5,1.4,0.1,1.4,2,1.4,1,1.1,2.2,2.1,1.4,3.1,1,0.9,1.8,2.2,2.2,1.3,0.2,0.2,1.7,1.6,1.7,1.5,-0.7,5.7,4.7,2.5,1.8,1.9,2,2
Ghana,,100.2,16.8,142.4,6,19.5,33.3,34.2,26.6,30.5,35.9,10.3,13.3,27.7,34.2,70.8,26.1,22.1,15.8,13.8,40.5,21.3,15.2,23.6,11.8,14.8,10.9,12.7,18.1,9.5,6.9,8.4,8.1,13.5,17,17.7,15.4,11.8,9.4,7.8,10.5,12.6,15.8,10.3,7.8,6,6,6
Greece,27.6,22.5,19,20.2,18,24.8,17,15.8,14,14.8,22.9,18,14.4,12,10.7,7.8,7,4.5,3.7,2.3,3.7,3.5,3.5,3.1,3.1,3.5,3.2,3.9,2.2,2.5,5.2,2.2,0.3,-1.8,-2.5,0.4,0.3,1,0.6,1.1,-2.4,4.4,2.4,1.5,2.4,1.6,0.8,1.6
Grenada,21.8,10.5,11.9,7.4,7,3.7,1.9,-0.8,0.6,6.9,3.8,3.8,1,4.9,3.7,1.9,2.2,1.6,1.2,1.1,3.4,-0.7,2.3,1.6,2.5,6.2,1.7,7.4,5.2,-2.3,4.2,3.5,1.8,-1.2,-0.6,1.1,0.9,0.5,1.4,0.1,-0.8,1.9,5.4,2.3,1.8,2,2,2
Guatemala,9,8.8,-2.1,7.2,7.2,27.9,21.5,9.3,12.3,20.2,59.8,10,14.2,11.6,11.6,8.6,10.8,7.1,7.5,4.9,5.1,8.9,6.3,5.9,9.2,8.6,5.8,8.7,9.4,-0.3,5.4,6.2,3.4,4.4,2.9,3.1,4.2,5.7,2.3,3.4,4.8,3.1,4.8,4.5,4,4,4,4
Guinea,,,,,,,,33.7,26.3,26.1,27.3,12.2,16.1,5,2.5,5.2,2.1,5.3,4.5,6.2,7.2,1.1,6.1,12.1,27.6,29.7,39.1,12.8,13.5,7.9,20.8,19,12.8,10.5,9,7.3,8.7,9.5,9.9,9.1,10.6,12.5,12.8,11.8,7.5,7.5,7.7,7.8
Guinea-Bissau,,27,20.2,46.3,94.6,54.1,78.5,96.9,50.3,66.8,32.1,60.1,86.7,30.7,19.3,49.7,65.6,16.7,7.9,-7.9,16.7,-1.9,2.5,0.7,2.9,0.3,3.2,9.3,8.7,-6.4,5.7,3.4,1.6,-0.1,-0.1,2.4,0.9,-0.5,2.4,-0.1,1.5,5.8,0.7,3,2,2,2,2
Guyana,8.5,29,19.3,11.2,28.1,7.7,6.6,34.6,36.3,104.3,75.3,79,12.5,6.8,16.1,8.1,4.5,4.2,4.8,8.6,5.9,1.5,6.1,5,5.5,8.3,4.2,14,6.4,3.7,4.4,3.3,3.5,0.9,1.2,-1.8,1.5,1.5,1.6,2.1,0.9,5.7,7.4,5,3.1,3.1,3.1,3.1
