"Inflation rate, end of period consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Saudi Arabia,4.4,2.8,0.9,0.2,-1.6,-3.1,-3.2,-1.6,0.9,1,2.1,4.6,-0.4,0.8,0.6,5,0.9,-0.4,-0.2,-1.2,-1.7,-0.6,0.6,0.3,0.4,1.2,2.5,7.3,5.4,3.5,3.7,2.5,3.6,2.5,1.9,1.2,1,-1.1,1.9,-0.2,5.3,1.2,2.5,2,2,2,2,2
Senegal,,11.3,15.9,12.4,9.7,11.7,4.1,-5.2,-2.1,0.8,-0.9,-0.7,-0.5,0.5,37.5,5.5,2.5,2,0.9,0.5,1.4,4.1,1.5,-1.5,1.7,1.4,3.9,6.2,5.5,-4.5,4.3,2.7,1.1,-0.1,-0.8,1,2.9,-0.8,1.1,0.6,2.4,3.8,0.8,3.4,0.9,2.9,1.3,0.2
Serbia,,,,,,,,,,,,,,,,,,9,44.4,45.4,112,26.3,2.5,4.1,14.2,15.8,5.7,11,8.6,6.6,10.2,7,12.2,2.2,1.8,1.6,1.5,3,2,1.9,1.3,7.9,6,4,3.7,3.5,3.2,3
Seychelles,,,,3.8,0.9,1.5,2.3,1.4,1.9,3.6,3,2,0.8,0.9,1.4,-0.8,-0.1,2.3,4.5,6.3,6.1,3,1.8,3.6,1.8,-1.6,0.2,16.7,63.3,-2.5,0.4,5.5,5.8,3.4,0.5,3.2,-0.2,3.5,3.4,1.7,3.8,7.9,7.4,-4.2,-0.9,1,2,3
Sierra Leone,,25.4,44.7,83.1,52.3,74.5,116.3,116.8,38.3,85.5,98.3,115.4,34.8,26.7,17.7,34.5,6.4,66.9,-5.7,36.7,-3.1,3.4,-3.1,11.3,14.4,13.1,8.3,13.8,9.3,7.5,7.4,6.6,6.2,5.4,4.6,8.4,17.4,15.3,14.2,13.9,10.4,17.9,16.7,12.3,11,10,8.5,7
Singapore,6,10.3,0.8,1.1,0.9,0.7,-1.4,1.5,1.4,3.3,3.8,2.9,1.8,2.6,2.9,0.8,2,2,-1.4,0.7,2.1,-0.6,0.4,0.7,1.3,1.3,0.8,3.8,5.4,-0.5,4.6,5.5,4.3,1.5,-0.1,-0.6,0.2,0.4,0.5,0.8,0,4,2.3,2,1.5,1.5,1.5,-0.8
Slovak Republic,,,,,,,,,,,,,,,11.8,7.4,5.5,6.3,5.9,12,8.4,6.6,3.1,9.2,5.8,3.7,3.5,2.3,3.5,0,1.3,4.6,3.3,0.3,-0.1,-0.5,0.3,2,1.9,3.1,1.6,5,8.1,2.8,2,2,2,2
Slovenia,,,,,,,,,,,,,,22.7,19.3,9,9.1,8.8,6.5,7.9,8.9,7,7.3,4.6,3.1,2.2,2.8,5.7,2.1,1.8,1.9,2,2.6,0.6,0.1,-0.5,0.5,1.7,1.4,1.8,-1.1,4.9,5.8,4.2,3.1,2.6,2.3,2.2
Solomon Islands,,,,,,,,,,,,,,,12.9,10.7,9.6,10.3,10.3,6.8,8.1,6.4,15.4,3.8,7.5,8.8,9.9,11.1,18.1,1.7,0.9,9.4,5.1,0.9,5.8,3.5,-2.2,2.1,3.8,2.7,-2.5,3.5,4.5,3,3.2,3.2,3.4,3.4
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.3,0.3,1.2,6.1,3.2,3.1,4.8,5.7,8.7,3.5,3.7,3.6,3.4,3.2
South Africa,,13.2,11.6,12.5,11.1,20,16.7,15.5,12.4,15.6,15.1,15.9,9.5,9.8,9.4,7.2,9.3,6.2,9.1,2.3,6.5,4.9,12.2,0.3,3.6,3.5,6,8.7,10.1,6.3,3.5,6.2,5.7,5.4,5.3,5.3,6.7,4.7,4.9,3.7,3.2,5.4,5.5,4.5,4.5,4.5,4.5,4.5
"South Sudan, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,-8.8,9.9,109.9,479.7,117.7,40.1,30,87.7,0.9,10,15,13,11.4,11.3,10.5
Spain,15.2,14.4,14,12.2,9,8.2,8.3,4.6,5.8,6.9,6.5,5.5,5.4,4.9,4.3,4.3,3.3,1.9,1.4,2.8,4,2.7,4,2.6,3.2,3.7,2.7,4.2,1.4,0.8,3,2.4,2.9,0.3,-1,0,1.6,1.1,1.2,0.8,-0.5,6.5,2.7,0.8,1.5,1.8,1.7,1.7
Sri Lanka,24.7,18.3,5.4,21.4,9.5,1.5,9.1,10.2,15,15.1,19.6,9,13.8,10.3,4.2,11.5,16.8,10.7,3.7,4,10.8,10.8,11.3,12.2,13.1,7.5,13.3,18.8,13.9,5.1,6.8,4.9,9.3,4.6,1.4,4.6,4.5,7.1,2.8,4.8,4.2,12.1,17.2,9.5,8,7,6,5
Sudan,,,,,,,,,,,,97.8,150.3,118.6,105.6,70.8,85.6,30.3,26.4,8,1.8,4.2,22.7,8.3,7.3,5.5,15.8,8.7,14.9,13.4,15.4,18.9,44.4,41.9,25.7,12.6,30.5,25.2,72.9,57,269.3,318.2,244.4,69.2,30.7,14.4,8.8,8.1
Suriname,,,,,,,,,,,,14,33,139.1,255.8,-49.3,4.2,17,14.9,71.9,44.7,0.9,28.4,13.1,9.1,20.1,4.8,8.3,9.4,1.3,10.3,15.2,4.3,0.6,3.9,25.1,52.4,9.3,5.4,4.2,60.7,60.6,25.8,17.6,12.1,9.6,5.9,5
Sweden,14.1,9.1,9.6,9.2,8.2,5.6,3.3,5.1,6,6.6,5.2,6.5,0.5,5.1,2.6,2.3,0.5,2.6,0.1,1,1.5,3,1.6,1.9,1.1,1.1,1.4,2.3,2.7,2.3,1.8,0.8,1,0.3,0.3,0.8,1.4,1.8,2.2,1.7,0.4,3.9,4.3,2.2,1.7,1.9,2,2
Switzerland,4.4,6.6,5.4,2.1,2.9,3.2,0,1.9,2,5,5.3,5.3,3.5,2.5,0.4,1.9,0.8,0.3,-0.2,1.6,1.5,0.3,0.9,0.6,1.3,1,0.6,2,0.7,0.3,0.5,-0.6,-0.4,0.1,-0.3,-1.3,0,0.9,0.7,0.1,-0.8,1.5,2.4,1.7,1,1,1,1
Syria,,,,,,,,,,,,9.6,8.2,17.3,14.1,9.3,4.9,1.6,-2.2,-3.7,-3.9,8.5,-0.5,4.8,10,4.9,6.7,4.8,15.4,1.7,6.3,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,,11.5,0.4,7,3.2,0.1,13.9,25,41.2,44.8,40.4,52.7,27.3,32.7,75.4,36.9,51.7,80.5,20.8,9.6,9.6,9.4,9,10,15.2,17.2,24.6,27.6,24.8,16.1,12.9,11.9,10.4,7.1,6.4,4.2,5.1,7.7,9,7.7,9.4,9.5,15,5,5,5,5,5
Taiwan Province of China,22,7.7,2.4,-1.2,1.6,-1.3,2.6,1.9,1.1,3.1,4.6,3.9,3.4,4.6,2.7,4.6,2.5,0.3,2.1,0.2,1.6,-1.7,0.8,-0.1,1.6,2.2,0.7,3.3,1.3,-0.2,1.2,2,1.6,0.3,0.6,0.1,1.7,1.2,-0.1,1.1,0,2.6,2.3,2.2,1.4,1.4,1.4,1.4
Tajikistan,,,,,,,,,,,,,,7344,1.1,2144.2,40.5,163.6,2.7,30.1,60.6,12.5,14.5,13.7,5.7,7.1,12.5,19.8,11.9,4.9,9.8,9.3,6.4,3.7,7.4,5.1,6.1,6.7,5.4,8,9.4,8,12,9,6.5,6.5,6.5,6.5
Tanzania,,26.3,23.4,34.5,27.6,39.2,28.5,32.3,30.8,36.9,18.6,37.8,20.7,26.1,38,26.8,15.5,15.4,11.3,7,5.5,4.9,4.4,4.6,4.1,5,6.7,6.4,13.5,12.2,5.6,19.8,12.1,5.6,4.8,6.8,5,4,3.3,3.8,3.2,4.2,6.3,5,4.4,4.4,4.3,4.3
Thailand,,,,,-0.8,3.6,1.9,3.7,3,6.4,3.5,4.7,3.1,4.4,4.8,7.5,4.7,7.5,4.3,0.6,1.6,0.6,1.6,1.9,2.9,5.7,3.7,3,0.5,3.5,3.1,3.5,3.6,1.7,0.6,-0.9,1.1,0.8,0.4,0.9,-0.3,2.2,4,0.8,4.2,0.2,3.8,0.2
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,6,5.7,5.5,2.5,1,6.6,7.7,6.2,1,8,15.5,9.2,4,0.3,-0.6,0,0.6,2.1,0.3,1.2,5.3,6,4,2.5,2,2,2
Togo,,11,16.6,-0.2,-3.1,4.6,1.4,-0.5,0.7,-3,1.5,5,-2.1,2.4,48.5,6.4,4.9,3,-1.4,4.5,-1.2,6.6,1.5,-1.7,3.7,3.6,0.6,3,8.7,1.8,1.6,1.5,2.9,-0.5,1.8,1.6,0.4,-0.7,2,-0.3,3.5,6.2,0.2,3.9,1.7,3,2,2
Tonga,,,,3.9,5.3,12.5,27.4,2.5,13.6,4,6.9,13.8,8.4,-2.7,7.6,0,3.1,2,3.2,4.4,6,6.6,10.7,12.3,10.1,8.7,6.4,5.7,12.2,1.2,2.7,7.1,2.3,0.2,1.5,0.2,0.2,9.8,6.7,-0.1,-1.4,6.9,5.1,3.5,2.1,2.5,3,2.3
Trinidad and Tobago,,14.4,37.8,-2,-7.9,-8.6,3.5,-4.9,-3.4,2.9,5.8,224,8.7,13.4,5.4,3.8,4.3,3.6,5.4,3.5,5.5,3.2,4.3,3,5.6,7.2,9.1,7.6,14.5,1.3,13.4,5.2,7.2,5.7,8.4,1.6,3.1,1.3,1,0.4,0.8,3.5,5.5,3.1,2.1,1.9,1.9,1.9
Tunisia,,,,,,,,,,,,6.6,4.8,4.7,5.6,5.6,3.2,3.8,2.8,2.8,1.7,2.9,1.6,4.5,1.3,3.5,3.4,5.1,4.1,4.1,3.5,3.4,5.4,5.2,4.4,3.8,4.2,6.2,7.5,6.1,4.9,6.6,8.4,,,,,
Turkey,,,,,,,30.7,55,66.2,64.3,60.4,71.1,66,71.1,115.7,76.3,80.1,99,69.6,68.8,39,68.5,29.7,18.4,9.4,7.7,9.7,8.4,10.1,6.5,6.4,10.4,6.2,7.4,8.2,8.8,8.5,11.9,20.3,11.8,14.6,36.1,52.4,29.7,19.2,15.5,15,15
Turkmenistan,,,,,,,,,,,,,,,1327.9,1261.5,445.8,21.5,19.8,20.1,7.4,11.7,7.8,3.1,9,10.4,7.1,8.6,8.9,0.1,4.8,5.6,7.8,4,4.4,6,6.2,10.4,7.2,6.3,8.9,21,14,7,8,8,8,8
Tuvalu,,,,,,,,,,,,,,,,,,,,,,4.6,0,5.8,2.2,3.9,6.1,0.5,12.3,-4,-1.8,1.7,1.4,3.1,0.4,4,2.6,4.3,2.3,3.7,0.1,3,4.4,3.1,3.2,3.2,3.1,2.9
Uganda,,,100,150,20,150,146.7,240.5,198.4,77.1,26.9,32.3,66.3,-2.4,7.7,11.5,5.4,10.4,-0.9,8.5,4.2,-4.4,5.7,5.9,8,3.7,10.9,5.2,14.2,10.9,3.1,27,5.2,6.7,1.8,6.4,5.6,3.3,2.2,2.5,2.5,2.9,6.4,4.9,5.1,5,3.8,5
Ukraine,,,,,,,,,,,,,2001,10155,401.1,181.7,39.7,10.1,20,19.2,25.8,6.1,-0.6,8.2,12.3,10.3,11.6,16.6,22.3,12.3,9.1,4.6,-0.2,0.5,24.9,43.3,12.4,13.7,9.8,4.1,5,10,,,,,,
United Arab Emirates,,,,,,,,,,,,6.1,6,4.5,4.2,3.6,2.3,1.8,1.7,3.2,2.5,2.7,2.8,2.1,5,6,12,11.3,8.8,0.2,1.7,0.2,0.6,1.4,3.1,3.6,1.6,2,3.1,-1.9,-2.1,0.2,3.7,2.8,2,2,2,2
United Kingdom,15.2,12,5.4,5.3,4.6,5.6,3.7,3.7,7.7,5.5,7.6,7.2,2.6,2.4,2,3,2.3,1.7,1.6,1.1,0.8,1.1,1.7,1.3,1.7,1.9,3,2.1,3.1,2.9,3.7,4.2,2.7,2,0.5,0.2,1.6,3,2.1,1.3,0.6,5.4,7.6,3.5,1.8,2,2,2
United States,11.9,8.6,4,3.9,3.9,3.3,1.7,4.2,4.5,4.9,5.8,2.9,3.1,2.7,2.7,2.7,3.1,1.7,1.6,2.9,3.4,1.6,2.6,1.9,3.2,3.7,2.2,4.1,0.7,1.9,1.7,3.1,1.8,1.3,0.5,0.7,2.2,2.2,1.9,2.1,1.5,7.4,5.3,2.3,2.1,2,2,2
Uruguay,42.8,29.4,20.5,51.5,66.1,83,70.7,57.3,69,89.2,129,81.4,58.9,52.9,44.1,35.4,24.3,15.2,8.6,4.2,5,3.6,26,10.2,7.6,4.9,6.4,8.5,9.2,5.9,6.9,8.6,7.5,8.5,8.3,9.4,8.1,6.6,8,8.8,9.4,8,6,5,5,4.5,4.5,4.5
Uzbekistan,,,,,,,,,,,,,,884.8,1281.4,116.9,64.4,50.2,26.1,26,28.2,26.5,21.6,8.7,9.3,11.4,10.9,11.9,13.8,12.4,11.9,13.6,10.8,10.8,9.2,8.4,9.8,18.8,14.3,15.2,11.2,10,12.1,11.3,6.2,5.1,5,5
Vanuatu,18.4,26.7,-1.2,4.8,3.2,0.9,8,17.7,5.9,7.9,4.3,5.6,5.1,1.7,2.7,1.7,-0.1,5.1,4.4,0,4.1,2.3,2.3,2.9,0.8,1.9,1.9,4.1,5.8,2.4,3.3,1.2,0.8,1.5,1.1,1.5,2.1,3.3,1.9,3.5,6.6,3.2,5,3.1,2.9,2.9,2.9,2.9
Venezuela,,,,,,9.1,12.7,40.3,35.5,81,36.5,31,31.9,45.9,70.8,56.6,103.2,37.6,29.9,20,13.4,12.3,31.2,27.1,19.2,14.4,17,22.5,30.9,25.1,27.2,27.6,20.1,56.2,68.5,180.9,274.4,862.6,130060.2,9585.5,2959.8,686.4,500,500,,,,
Vietnam,,,,,,,,-34.6,266.7,34.7,66.3,67.6,17.6,5.3,14.5,29.9,9.2,-0.2,-12.8,-0.3,-0.6,0.9,4.1,3.1,9.8,8.8,6.7,12.6,19.9,6.5,11.7,18.1,6.8,6,1.8,0.6,4.7,2.6,3,5.2,0.2,1.9,3.8,3.2,3.5,3.5,3.5,3.5
West Bank and Gaza,,,,,,,,,,,,,,,,,,8.9,9.7,2.5,0.6,1.8,6.4,3.8,3.9,4.6,3.2,4.8,7,4.3,2.8,2.8,1.7,2.7,1.2,1,-1,0,0.3,1.3,0.1,1.3,2.6,2.3,2.3,2.2,2.3,2
Yemen,,,,,,,,,,,,,,,,57.2,27.2,7,11.9,10.2,8.5,22.3,4.3,13.6,10,12.5,7.9,11.2,10.8,8.8,12.5,23.2,5.8,8.1,10,34,11.9,47,14.3,10,35,85.1,46,25.8,17.3,13.3,12.1,9.6
Zambia,,14,12.5,19.7,20,37.4,54.8,47,54,128.3,96,99.7,180.7,128.1,38.4,46,35.2,18.6,30.6,20.6,30.1,18.7,26.7,17.2,17.5,15.9,8.2,8.9,16.6,9.9,7.9,7.2,7.3,7.1,7.9,21.1,7.5,6.1,7.9,11.7,19.2,16.6,10.8,8.8,7.6,7,7,7
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,3.2,4.9,2.9,0.3,-0.8,-2.5,-0.9,3.4,42.1,521.1,348.6,60.7,85.8,42,30,20,11,6
Africa (Region),,13.8,12.7,14.4,15.3,14.6,15.8,16.8,13.4,14.7,23.5,30.6,29.1,31.4,33,28.6,23,9.4,9.9,8.6,9.9,7.2,8.3,7.5,6.9,6.1,7.1,7.2,12.6,7.9,7.2,9.7,8.1,6.8,6.7,7.9,11.7,13,9.5,9.2,12.1,13.3,14,9.5,7.7,7.1,6.8,6.6
Asia and Pacific,,,,,,4.7,4.9,6.9,11.5,8,10,9.3,7.5,16.8,17.3,9.7,8.2,7.6,8.9,3.3,3.8,3.9,3.1,3.2,3.4,3.6,4,5.4,4.9,3.2,4.9,4.9,3.9,3.9,3.1,2.6,2.6,2.9,2.9,4.3,1.7,4.4,5.5,3.6,3.4,3.1,3.2,3.1
Australia and New Zealand,,,,,,,,,,7.7,6.6,1.5,0.5,1.8,2.8,4.6,1.8,-0.1,1.3,1.6,5.5,3,3,2.3,2.6,2.8,3.2,3,3.7,2,2.8,2.8,2,2.6,1.5,1.5,1.4,2,1.7,1.8,0.9,4,3.5,2.6,2.5,2.6,2.4,2.3
Caribbean,,,13.9,7.8,8.3,9.2,0.4,2.1,6.5,12.4,19.8,53.1,17.4,22,24.4,8.5,9.1,6.6,5.1,6.5,7.3,5.7,6.2,11.2,8.8,9.4,6.6,8.5,12.6,2.1,8.1,6.1,5,4.3,4.7,4.2,6.2,4.8,4.4,6.1,9.7,9.4,10.9,5.9,4.7,4.4,4.2,4.2
Central America,9,14,11.8,7.7,14.7,20.9,13.1,13.1,22.7,19.6,43.2,10.3,10.9,7.9,13.2,11.6,9.3,6.9,8.3,5.1,6.8,5.9,6.9,13.5,12.9,7.9,5.7,8.9,8.4,2.5,5.6,6.4,4,3.8,2.8,1.6,2,3.5,1.6,2.5,2.8,5.1,5.6,3.9,3.3,3.3,3.3,3.3
Central Asia and the Caucasus,,,,,,,,,,,,,,245.4,243.4,85.9,70.9,75.4,51.3,53.2,31.6,48.2,23.6,14.5,8.9,7.8,9.4,11,10.6,5.8,7.4,9.5,6,6.7,7.2,8.8,8.4,11,15.3,10.1,12.2,27.7,38.1,22.4,14.7,12,11.7,11.6
East Asia,,,,,,3.9,1.8,3.4,8.2,4,4.5,4.1,4,7.3,9.4,4.1,3.5,1.8,0.2,-0.8,0.6,-0.4,0,1.7,1.7,1,1.9,4.3,1.4,0.9,3.2,3.1,1.8,2.1,1.7,1.2,1.7,1.5,1.6,3.4,-0.3,1.7,2.4,1.4,1.8,1.9,1.9,1.9
Eastern Europe ,,,,,,,,,,,,190.8,1253.7,721.6,159.8,88.9,26.4,22.5,44.7,27.5,19.2,13.8,9.5,8.8,9.1,7.9,6.9,9.8,10.3,6.6,6.9,6.8,5.3,4.1,7.5,8.8,3.9,3.2,3.6,3.2,3.6,8.2,15.6,8.2,4.5,3.3,3.2,3.2
Europe,,,,,,,,,,,,,95.7,70.6,26.2,17.2,7.1,5.9,9.1,6.8,5.8,4.5,3.9,3.4,3.8,3.6,3.3,4.7,4.1,2.7,3.6,3.9,3.1,1.9,2.2,2.6,2,2,2.2,1.8,0.9,5.8,7.4,3.8,2.5,2.2,2.2,2.2
Middle East (Region),,,,,,,,,,,,16.5,6.5,11,13.7,14.2,6.9,6.1,6.3,5.7,3,4.6,6.9,6.5,8.1,6.2,11.6,11.5,10,4.3,7.8,7.5,11.3,6.1,5.2,3.5,3.7,2.7,11.4,4.8,13.8,11.9,9.8,8.4,7,7.7,6.8,7.4
North Africa,15.3,10.2,10.4,13.7,13.3,10.4,15,11.3,7.5,11.6,25.2,18.1,14.6,13.5,12.8,13.9,9,4.4,3.7,2.4,0.5,1.1,0.9,3.6,5.1,4,5,6.5,11.8,6.2,6.1,8.4,6.1,5.7,6.4,7.9,10.2,17.8,8.6,6.1,4.3,5.5,9.2,7.3,7,7.1,7.1,6.6
North America,11.5,11,12.9,10.6,8.8,8.6,9.4,14.1,8.3,6.3,7.9,4.6,3.9,3.1,3,6.6,5.2,3,3.2,3.8,4,1.8,3,2.1,3.3,3.6,2.3,3.9,1.4,2,2,3.1,1.9,1.6,1,0.9,2.3,2.6,2.2,2.1,1.6,7.2,5.3,2.4,2.2,2.1,2.1,2.1
Pacific Islands ,,,,,,,,,,,,,,,5.2,12.2,4.5,4.7,16,8.1,7.3,7.2,10,6.7,3.3,4.1,0.9,4,10.1,5.8,4.2,4.9,4.7,2.8,4.6,4.7,5.4,4.1,4.7,1.7,2.8,5,5.6,4.6,4.1,3.9,3.9,3.9
South Asia,13,10.1,9.3,10.4,5.4,8.2,7.5,8.9,6.6,6.8,14.5,12.7,7.4,9.1,9.8,9.4,10.3,9.4,8.3,4,3.4,4.6,4,4,5.1,5.6,7.7,6.9,11.4,9.9,9.4,9.3,10.2,7.4,5.6,5.1,3.7,4.7,3,6.7,5.3,6.6,6.7,5.1,4.7,4.5,4.4,4.4
Southeast Asia,,,,,12.3,3.8,4.7,2.8,14.4,9.1,12.3,11.6,5.8,7.2,8,8.6,5.5,7.2,29.5,2,5.1,5.1,6,3.6,5.1,9.8,5.4,5.8,8.3,2.9,5.5,5.1,3.6,5.2,4.2,2,2.5,2.7,2.5,2.5,1,2.5,4,2.8,3.1,2.6,3.1,2.5
Sub-Saharan Africa (Region) ,,,,,,,,,,,,,,,,42.8,33.9,13,14.5,13.4,17.2,11.8,13.7,10.3,8.1,7.6,8.5,7.6,13.1,9.1,7.9,10.4,9.3,7.4,6.9,8,12.5,10.6,10,10.8,16.3,17.6,16.6,10.7,8,7.1,6.7,6.6
Western Europe,,,,,,,,,,,,,3.5,3.6,2.7,2.8,2.1,1.6,1,1.7,2.3,2,2.2,1.8,2.1,2.1,2,2.8,1.8,1.2,2.4,2.7,2.2,1,0,0.3,1.2,1.6,1.6,1.3,-0.1,4.8,4.6,2.3,1.8,1.8,1.8,1.8
Western Hemisphere (Region),,19.4,22.8,24.2,25.2,27.4,17.4,37,48.2,57.5,54.8,29.1,37.9,49.1,34.4,8.9,6.3,3.8,3.6,4.7,4.6,2.7,4.2,3.2,4,3.9,2.6,4.2,2.4,2.2,2.6,3.7,2.5,2.2,1.9,2.2,2.8,3.4,3.6,3.7,2.9,8.5,6.6,3.7,3.3,3.1,3,2.8
ASEAN-5,,,,,13.1,4.1,5,2.9,15.2,8.9,12.4,11.8,5.7,7.4,8.3,9.2,5.8,7.5,32,1.7,5.6,6.3,5.5,3.4,5.5,10.6,5.2,5.1,8.4,3.3,5.6,5.1,3.6,5.5,4.6,1.8,2.6,2.9,2.5,2.4,1,2.2,3.8,2.7,3.1,2.5,3.1,2.6
Advanced economies,,,,,,,,,,4.9,5.9,4,3,3,2.6,2.5,2.5,1.9,1.3,1.8,2.4,1.4,2.1,1.6,2.4,2.4,1.9,3.1,1.5,1.2,1.9,2.6,1.7,1.2,0.7,0.5,1.5,1.7,1.6,1.5,0.5,5.3,4.4,2.2,1.9,1.8,1.8,1.8
Emerging and Developing Asia,,,,,,8.1,6.6,7.2,16,7.7,10.5,9.9,7.2,12.1,15,9.5,7.5,4.9,10.6,1.3,3,2.7,2.6,3.7,3.8,4.7,4.8,6.5,5,4.1,5.9,5.5,4.6,4.3,3,2.6,2.6,2.8,2.3,4.7,1.2,3,3.7,2.5,2.8,2.7,2.8,2.7
Emerging and Developing Europe,,,,,,,,,,45.2,63.2,134,891,548.3,158.1,90.1,37.7,36.9,54.6,37.7,24.5,23.3,13.9,11.1,9.7,8.3,7.8,9.9,10.8,7.2,7.2,7.9,5.7,5.1,8.4,9.7,5.3,5.3,7.6,5.3,6.4,15,26,14.7,8.9,6.9,6.7,6.8
Emerging market and developing economies,,,,,,,24.4,51.1,67.3,70.3,67.5,47.6,127.4,124.6,68,28.8,16,11.8,15.9,9.9,8.2,7.3,6.7,6.2,6.2,5.8,6.2,7.6,7.8,5,6.5,6.6,5.8,4.9,4.7,4.7,4.3,4.6,5.1,5.6,4.5,7.3,8.5,5.6,4.7,4.3,4.2,4.1
Euro area,,,,,,,,,,,,4.2,3.2,3.1,2.6,2.3,1.8,1.5,0.8,1.7,2.5,2.1,2.3,2,2.3,2.3,1.9,3.1,1.6,0.9,2.2,2.8,2.2,0.8,-0.2,0.3,1.1,1.3,1.5,1.3,-0.3,5,4.2,2.1,1.8,1.8,1.8,1.8
European Union,,,,,,,,,,,,,10.5,18.4,6.7,4.9,6.9,9.1,2.3,3.4,3.8,3,2.6,2.3,2.6,2.4,2.1,3.4,2,1.2,2.5,2.8,2.4,0.8,-0.1,0.2,1.1,1.5,1.6,1.6,0.1,5.3,4.8,2.6,2,2,1.9,1.9
Latin America and the Caribbean,,,81.6,97.4,106.8,123.4,71.6,185.5,291.1,388.1,356.7,140.3,209.8,316.1,180.6,28,16,10.1,9.6,10,8.2,6.1,8.6,6.9,6.4,4.8,3.7,4.9,6.7,3.3,5,5.3,4.4,4.5,4.9,6.1,4.5,6.2,7.6,7.7,6.3,11.6,10,7.1,6.2,5.7,5.3,4.8
Major advanced economies (G7),,,,,,,,,,,,,2.7,2.6,2.2,2.2,2.2,1.7,1.1,1.8,2.2,1.1,1.9,1.5,2.4,2.4,1.8,3,1.2,1.1,1.6,2.6,1.6,1.3,0.8,0.5,1.6,1.8,1.7,1.6,0.6,5.6,4.7,2.2,1.9,1.8,1.8,1.9
Middle East and Central Asia,,,,,,,,,,,13.7,17.6,11.9,38.7,33.2,19.6,10.8,7.8,6,5.6,3.3,4.1,5.9,5.6,7.6,6.2,9.9,10.5,11.9,5.6,8.2,8.6,10.2,6.5,6.3,5.4,6.4,7.3,10.7,6.7,13.1,13,12.5,9,7.4,7.3,6.8,7
Other advanced economies,,,,,,,,,,6.2,6.9,5.4,3,4,3.8,3.9,3.4,3,2,1.2,2.6,1.5,2.2,1.4,2.1,2.2,1.9,3.3,3.1,1.7,2.5,2.9,1.8,1.5,1,0.7,1.2,1.4,1.3,1.3,0.4,3.6,3.3,2.1,1.9,1.9,1.9,1.7
Sub-Saharan Africa,,,,,,,,,,,,,,,,,31.6,12.1,13.9,13.8,18.4,12.4,13.1,10.5,8.1,7.7,8,7.6,13.1,8.8,7.5,9.9,8,6.1,6.1,7.8,11.5,10,7.7,9.1,10.6,11.5,11.6,8.9,7.2,6.8,6.7,6.6
World,,,,,,16.5,9.7,18.2,23,24.3,25.1,18.9,41.8,42,25.5,12.6,7.9,6,7.2,5.1,4.8,3.9,4.1,3.6,4.1,4,3.9,5.3,4.7,3.1,4.3,4.7,4,3.3,2.9,2.8,3,3.3,3.6,3.8,2.8,6.4,6.8,4.1,3.5,3.3,3.3,3.2
